"","SITE_ID","ECO_TYPE","LAT","LON"
"94","CBP_WQX-SEV0116","River/Stream",39.0818,-76.6112
"95","CBP_WQX-FRG0018","River/Stream",39.33305,-76.40514
"96","CBP_WQX-TF4.0M","Channelized Stream",37.88389,-77.16528
"97","CBP_WQX-TF5.0J","Channelized Stream",37.67111,-78.0858
"98","CBP_WQX-MTI0015","River/Stream",38.74332,-76.70744
"99","CBP_WQX-XJG7035","River/Stream",39.45078,-76.27457
"100","CBP_WQX-XIG8710","River/Stream",39.31147,-76.3176
"101","CBP_WQX-XHF3719","River/Stream",39.06102,-76.47017
"102","CBP_WQX-XED0694","River/Stream",38.5104,-76.6773
"103","CBP_WQX-XJG7856","River/Stream",39.462,-76.2407
"104","CBP_WQX-XEE3604","River/Stream",38.5605,-76.6605
"105","CBP_WQX-MDR0028","River/Stream",39.3145,-76.42478
"106","CBP_WQX-CTT0001","River/Stream",39.08497,-76.52428
"107","CBP_WQX-WXT0013","River/Stream",38.796,-76.7208
"108","CBP_WQX-XJG4337","River/Stream",39.40389,-76.27275
"109","CBP_WQX-XDJ9007","River/Stream",38.48375,-75.82098
"110","CBP_WQX-CCM0069","River/Stream",38.44167,-75.90556
"111","CBP_WQX-XCH4378","River/Stream",38.23858,-76.03598
"112","CBP_WQX-XHF3339","River/Stream",39.0562,-76.4358
"113","CBP_WQX-XHG6496","River/Stream",39.1063,-76.173
"114","CBP_WQX-XFD1283","River/Stream",38.6863,-76.6958
"115","CBP_WQX-TF3.0","Channelized Stream",38.32236,-77.51806
"116","CBP_WQX-XHE1284","River/Stream",39.0208,-76.5263
"117","CBP_WQX-XHF5111","River/Stream",39.08657,-76.4329
"118","CBP_WQX-XCI4821","River/Stream",38.24675,-75.96413
"119","CBP_WQX-XHG0859","River/Stream",39.0139,-76.2349
"120","CBP_WQX-FRG0002","River/Stream",39.3136,-76.40628
"121","CBP_WQX-XJG6745","River/Stream",39.44482,-76.25823
"122","CBP_WQX-XCI4078","River/Stream",38.23379,-75.86963
