core_site,sample_date,sample_area,core_type,dist_leftbank,avg_coredepth,corevolume,dry_bulkd,totdry_weight,total_weight,4mm,2mm,1mm,point_50mm,point_25mm,point_125mm,point_063mm,silt_weight,clay_weight,sand_weight,om_weight,perc_silt,perc_clay,perc_sand,perc_om
0a,2005-06-24,channel,channel,7.35,102,50.06874,1.317189128,40.376,40.2023,3.5,1.1,2.2,5,8,4.3,1.4,4.873487059,9.149812941,26.179,0.37,12.12240857,22.75942655,65.11816488,1.53146323
0c,2005-06-24,channel,channel,1.95,127,62.34049,1.345337517,86.409,39.9984,4.9,0.4,0.4,2.3,6.2,9.2,1.6,7.045651236,7.689748764,25.263,1.37,17.61483268,19.22514092,63.1600264,1.693116646
0c,2005-06-24,channel,channel,3.69,70,34.3609,1.362507967,33.27,40.3379,3.5,1.8,1.1,2.4,8.8,11.7,1.4,5.448669854,4.229230146,30.66,0.36,13.50756944,10.48450749,76.00792307,1.302945511
0c,2005-06-24,channel,channel,5.51,49,24.05263,1.383216721,46.817,32.9441,1.9,1.4,1.8,4.7,10.3,5.2,0.6,2.31030285,4.68679715,25.947,0.61,7.012796982,14.22651446,78.76068856,1.082055906
0c,2005-06-24,channel,channel,7.33,130,63.8131,1.354095006,83.869,40.1216,0.4,0.9,2,5,14.3,9,1.3,2.241367006,4.687232994,33.193,1.42,5.586434754,11.68256748,82.73099777,1.585482994
1a_channel,2005-06-24,channel,channel,1.6,49,24.05263,1.107363311,26.635,26.2092,4.6,1,0.7,2.1,3.7,2.2,0.2,3.19160761,8.64859239,14.369,0.45,12.17743239,32.99830743,54.82426018,1.689506289
1a_channel,2005-06-24,channel,channel,3.2,38,18.65306,1.487691564,27.75,27.3746,6,2.6,2.8,4,5.3,2.2,0.5,2.00476698,1.72883302,23.641,0.36,7.323456709,6.315464042,86.36107925,1.297297297
1a_channel,2005-06-24,channel,channel,4.8,102,50.06874,1.371194881,68.654,39.9096,0.8,1.1,2.7,6.4,15,4.7,0.5,1.826177009,6.688422991,31.395,0.85,4.575783793,16.75893267,78.66528354,1.238092464
1a_channel,2005-06-24,channel,channel,6.4,187,91.79269,1.266277304,116.235,40.5509,0,0,0.2,1.9,16.5,15.4,2,2.8529,1,36.698,1.52,7.035355565,2.466036512,90.49860792,1.307695617
1a_channel,2005-06-24,channel,channel,10,121,59.39527,0.676383827,40.174,36.8453,0,0.3,0.8,1.6,5.2,10.9,2.7,11.49094617,3.458353826,21.896,3.17,31.18700669,9.386146472,59.42684684,7.890675561
1b_channel,2005-06-24,channel,channel,1.2,79,38.77873,1.127396385,43.719,39.571,0.2,0.1,0.3,2.6,21.5,8.8,1.2,4.422443211,0.271556789,34.877,0.96,11.17597031,0.686252026,88.13777767,2.195841625
1b_channel,2005-06-24,channel,channel,2.4,80,39.2696,1.445978569,56.783,39.7997,11.1,3.9,3.2,6,7.3,3.5,0.3,2.497012184,2.728687816,34.574,0.63,6.273947251,6.856051216,86.87000153,1.109486994
1b_channel,2005-06-24,channel,channel,3.6,32,15.70784,1.069911586,16.806,16.3178,1.3,0.5,0.5,1.5,1.9,1.9,0.4,4.326935234,3.957864766,8.033,0.37,26.51665809,24.254892,49.22844991,2.201594669
1b_channel,2005-06-24,channel,channel,4.8,21,10.30827,1.209514303,12.468,11.6846,0,0,0.1,0.5,1.5,2.9,0.9,1.794735234,3.957864766,5.932,0.92,15.3598346,33.87248829,50.76767711,7.378889958
1c,2005-06-24,channel,channel,1.04,82,40.25134,1.259287268,50.688,41.2653,0.2,0.4,0.9,7.1,20.8,5.9,1.1,5.139498568,0.271801432,35.854,0.67,12.45477088,0.658668255,86.88656086,1.321811869
2a_channel,2005-06-24,channel,channel,1.36,172,84.42964,0.739574396,62.442,40.1825,0,0.1,0.1,0.5,5.1,19.7,5.9,5.842911663,2.228588337,32.111,3.88,14.54093614,5.546166458,79.91289741,6.213766375
2a_channel,2005-06-24,channel,channel,2.52,103,50.55961,1.314329758,66.452,40.1879,0.7,0.7,1.1,4.3,20.3,6.9,0.9,3.6929,1.5,34.995,1.16,9.189084277,3.732466738,87.07844899,1.745620899
2b_channel,2005-06-24,channel,channel,2.8,144,70.68528,0.969155106,68.505,40.0353,0.9,0.5,0.9,3.4,15.3,13.4,2,2.6953,1,36.34,2.42,6.732308738,2.497795695,90.76989557,3.532588862
2b_channel,2005-06-24,channel,channel,4.2,117,57.43179,1.371975347,78.795,39.8411,4.2,1.8,2.3,7.7,15.4,2.5,0.4,2.869213391,3.728886609,33.243,1.32,7.201642001,9.359396726,83.43896127,1.6752332
2c,2005-06-24,channel,channel,4.2,180,88.3566,0.988698071,87.358,39.3363,0,1.1,4.1,5.4,7.1,4.9,1.1,6.284773264,9.151526736,23.9,3.04,15.97703206,23.26483868,60.75812926,3.479933149
3a,2005-06-24,channel,channel,2,98,48.10526,0.898259359,43.211,41.1839,0,0,0.1,0.6,7.4,20.2,3.9,5.233432797,2.957467203,32.993,1.87,12.70747257,7.181124669,80.11140276,4.327601768
3a,2005-06-24,channel,channel,4,126,61.84962,1.090160295,67.426,40.7133,0.5,0.3,2.7,9.3,10,4.9,1.4,5.754839709,5.458460291,29.5,1.99,14.13503624,13.40706917,72.45789459,2.951383739
3a,2005-06-24,channel,channel,6,129,63.32223,1.178796135,74.644,39.7147,11.9,1.5,0.8,1.9,7.7,7.3,1.4,3.179835234,3.957864766,32.577,2.12,8.006695842,9.965742575,82.02756158,2.840147902
3a,2005-06-24,channel,channel,8,111,54.48657,1.061013751,57.811,40.0678,0.5,0.2,0.4,1.4,17.7,15.2,0.9,2.264066399,1.228733601,36.575,1.44,5.65058825,3.066636055,91.2827757,2.490875439
3b,2005-06-24,channel,channel,1.75,76,37.30612,1.393363877,51.981,39.0343,3.1,1.2,3.5,10.9,14.3,2.5,0.3,0.698144671,2.958155329,35.378,0.69,1.788541541,7.578348604,90.63310985,1.327408091
3b,2005-06-24,channel,channel,3.5,40,19.6348,1.435970827,28.195,27.8354,1.3,1.1,1.9,4,7.8,2.3,0.2,5.147169854,4.229230146,18.459,0.41,18.49145281,15.19371069,66.3148365,1.454158539
3b,2005-06-24,channel,channel,5.25,35,17.18045,0.895960234,15.393,14.964,0,0,0.1,0.7,7.4,3.8,0.2,1.112656383,1.728343617,12.123,0.38,7.435554551,11.55001081,81.01443464,2.468654583
3b,2005-06-24,channel,channel,7,51,25.03437,1.100966391,27.562,26.9802,1.6,0.1,0.7,1.3,9.3,8.7,1.1,1.172732797,2.957467203,22.85,0.5,4.346642343,10.96162075,84.6917369,1.814091866
3c,2005-06-24,channel,channel,1.45,104,51.05048,1.408292341,71.894,41.4777,0,0.3,1.5,8.7,19.2,3.9,0.3,1.827307162,5.687392838,33.963,0.81,4.405517089,13.71192915,81.88255376,1.126658692
3c,2005-06-24,channel,channel,2.9,115,56.45005,1.002514612,56.592,39.0867,0.3,1.4,2.8,5.7,11.9,8,1.2,3.240636616,4.458063384,31.388,1.97,8.290893363,11.40557628,80.30353036,3.481057393
3c,2005-06-24,channel,channel,4.35,62,30.43394,0.942303231,28.678,27.2706,0,0.7,1,3.3,7.5,6.4,1,2.709826782,4.457773218,20.103,1.39,9.936806606,16.34644349,73.71674991,4.846920985
3c,2005-06-24,channel,channel,5.8,59,28.96133,0.98344931,28.482,27.6824,10.2,0.4,0.1,0.6,3.2,6,0.5,3.269024368,3.457375632,20.956,0.73,11.80903523,12.489436,75.70152877,2.56302226
