"","SITE_ID","LAT_DD83","LON_DD83","ECO_TYPE"
"114","NLA_114",46.9902,-102.8888,"River/Stream"
"115","NLA_115",37.5063,-88.5368,"River/Stream"
"116","NLA_116",37.5519,-113.4091,"River/Stream"
"117","NLA_117",39.7343,-93.9403,"River/Stream"
"118","NLA_118",37.4297,-93.2445,"River/Stream"
"119","NLA_119",39.7379,-101.8769,"River/Stream"
"120","NLA_120",42.4497,-103.2627,"River/Stream"
"121","NLA_121",40.4803,-101.5834,"River/Stream"
"122","NLA_122",45.0232,-114.4462,"River/Stream"
"123","NLA_123",48.9561,-119.6933,"River/Stream"
"124","NLA_124",40.3949,-116.1207,"River/Stream"
"125","NLA_125",41.1572,-86.5854,"River/Stream"
"126","NLA_126",43.0563,-85.5942,"River/Stream"
"127","NLA_127",38.6891,-75.7699,"River/Stream"
"128","NLA_128",47.0152,-108.165,"River/Stream"
"129","NLA_129",43.4326,-71.65,"River/Stream"
"130","NLA_130",38.5904,-88.748,"River/Stream"
"131","NLA_131",37.3186,-113.7169,"River/Stream"
"132","NLA_132",37.3659,-108.5933,"River/Stream"
"133","NLA_133",41.1726,-86.517,"River/Stream"
"134","NLA_134",43.0223,-86.024,"River/Stream"
"135","NLA_135",42.0905,-71.2976,"River/Stream"
"136","NLA_136",37.0769,-113.597,"River/Stream"
"137","NLA_137",32.5481,-93.781,"River/Stream"
"138","NLA_138",40.3946,-82.5034,"River/Stream"
"139","NLA_139",38.4803,-93.6143,"River/Stream"
"140","NLA_140",32.0662,-93.4141,"River/Stream"
"141","NLA_141",40.9064,-86.7115,"River/Stream"
"142","NLA_142",36.5347,-89.4672,"River/Stream"
"143","NLA_143",39.9881,-108.778,"River/Stream"
"144","NLA_144",30.1884,-83.6082,"River/Stream"
"145","NLA_145",39.4573,-77.7981,"River/Stream"
"146","NLA_146",46.5856,-111.2657,"River/Stream"
"147","NLA_147",43.4303,-72.395,"River/Stream"
"148","NLA_148",36.6087,-89.3058,"River/Stream"
"149","NLA_149",43.3496,-104.2957,"River/Stream"
"150","NLA_150",32.7846,-91.9574,"River/Stream"
"151","NLA_151",38.5881,-80.8945,"River/Stream"
"152","NLA_152",39.2088,-92.5346,"River/Stream"
"153","NLA_153",39.3588,-75.6755,"River/Stream"
"154","NLA_154",37.7866,-96.43,"River/Stream"
"155","NLA_155",41.7152,-115.229,"River/Stream"
"156","NLA_156",39.7309,-108.6747,"River/Stream"
"157","NLA_157",39.9689,-87.4721,"River/Stream"
"158","NLA_158",39.5986,-77.8846,"River/Stream"
"159","NLA_159",46.4577,-110.3713,"River/Stream"
"160","NLA_160",36.4729,-89.4374,"River/Stream"
"161","NLA_161",42.204,-72.5905,"River/Stream"
"162","NLA_162",44.3869,-104.6773,"River/Stream"
"163","NLA_163",41.7978,-113.7102,"River/Stream"
"164","NLA_164",44.7831,-72.859,"River/Stream"
"165","NLA_165",39.3098,-82.9643,"River/Stream"
"166","NLA_166",48.2525,-120.1167,"River/Stream"
"167","NLA_167",37.7783,-91.0322,"River/Stream"
"168","NLA_168",40.1107,-97.0579,"River/Stream"
"169","NLA_169",46.8603,-116.039,"River/Stream"
"170","NLA_170",35.0468,-98.3083,"River/Stream"
"171","NLA_171",32.9748,-92.0764,"River/Stream"
"172","NLA_172",41.1316,-115.4998,"River/Stream"
"173","NLA_173",39.643,-107.711,"River/Stream"
"174","NLA_174",40.3174,-87.3004,"River/Stream"
"175","NLA_175",39.1799,-77.5074,"River/Stream"
"176","NLA_176",46.9309,-110.8698,"River/Stream"
"177","NLA_177",41.0421,-74.0473,"River/Stream"
"178","NLA_178",43.3512,-72.3934,"River/Stream"
"179","NLA_179",36.5617,-89.3962,"River/Stream"
"180","NLA_180",44.7331,-106.1027,"River/Stream"
"181","NLA_181",44.6254,-105.3017,"River/Stream"
"182","NLA_182",41.7932,-113.837,"River/Stream"
"183","NLA_183",47.4629,-120.6611,"River/Stream"
"184","NLA_184",38.7815,-117.3402,"River/Stream"
"185","NLA_185",45.1145,-116.8564,"River/Stream"
"186","NLA_186",40.8675,-85.6082,"River/Stream"
"187","NLA_187",44.0295,-85.0382,"River/Stream"
"188","NLA_188",39.0664,-77.3896,"River/Stream"
"189","NLA_189",47.499,-110.7164,"River/Stream"
"190","NLA_190",36.9116,-89.1159,"River/Stream"
"191","NLA_191",42.1588,-72.5767,"River/Stream"
"192","NLA_192",47.2558,-101.8084,"River/Stream"
"193","NLA_193",40.5821,-94.1479,"River/Stream"
"194","NLA_194",40.8346,-93.8599,"River/Stream"
"195","NLA_195",45.0792,-116.0948,"River/Stream"
"196","NLA_196",45.1931,-118.7041,"River/Stream"
"197","NLA_197",44.6475,-84.0945,"River/Stream"
"198","NLA_198",41.1105,-74.8429,"River/Stream"
"199","NLA_199",31.3742,-92.5609,"River/Stream"
"200","NLA_200",44.9015,-118.477,"River/Stream"
"201","NLA_201",40.8149,-75.0403,"River/Stream"
"202","NLA_202",31.8147,-93.0575,"River/Stream"
"203","NLA_203",44.8515,-118.1429,"River/Stream"
