"","DATE_COL","DOC","NO3","TP","DOC_UNITS","NO3_UNITS","TP_UNITS","YEAR","LAT_DD83","LON_DD83","ECO_TYPE","SITE_ID"
"45",2008-06-25,1.96,0.31185,0.0346163,"mg/L","mg N/L","mg/L",2008,38.81709494,-82.10041106,"River/Stream","NLA_44"
"46",2008-06-25,0.83,0.03744,0.024495,"mg/L","mg N/L","mg/L",2008,39.10655601,-96.60643503,"River/Stream","NLA_45"
"47",2008-06-25,4.82,0.04179,0.0203725,"mg/L","mg N/L","mg/L",2008,35.96545355,-96.36807122,"River/Stream","NLA_46"
"48",2008-06-26,1.22,0.19585,0.029761,"mg/L","mg N/L","mg/L",2008,40.74129868,-115.5543686,"River/Stream","NLA_47"
"49",2008-06-26,1.7,0.0053,0.0358325,"mg/L","mg N/L","mg/L",2008,41.87729618,-115.6285161,"River/Stream","NLA_48"
"50",2008-06-26,3.99,0,0.0324475,"mg/L","mg N/L","mg/L",2008,39.64269107,-78.4987201,"River/Stream","NLA_49"
"51",2008-06-26,12.83,0.24413,0.2615813,"mg/L","mg N/L","mg/L",2008,46.74676239,-100.7427914,"River/Stream","NLA_50"
"52",2008-06-27,3.56,0,0.2841338,"mg/L","mg N/L","mg/L",2008,41.01579472,-116.0832885,"River/Stream","NLA_51"
"53",2008-06-28,7.46,0.15953,0.050095,"mg/L","mg N/L","mg/L",2008,32.46103578,-94.70198008,"River/Stream","NLA_52"
"54",2008-06-30,5.4,0.00553,0.1976075,"mg/L","mg N/L","mg/L",2008,39.08215943,-119.7573042,"River/Stream","NLA_53"
"55",2008-06-30,3.49,0.00931,0.0474163,"mg/L","mg N/L","mg/L",2008,39.2413809,-104.9580488,"River/Stream","NLA_54"
"56",2008-06-30,10.69,0.00459,0.1174013,"mg/L","mg N/L","mg/L",2008,33.06838281,-94.46843757,"River/Stream","NLA_55"
"57",2008-06-30,12.03,0.19703,0.0953725,"mg/L","mg N/L","mg/L",2008,45.95828509,-103.1202439,"River/Stream","NLA_56"
"58",2008-07-01,5.53,0,0.1547088,"mg/L","mg N/L","mg/L",2008,39.20075374,-119.6299202,"River/Stream","NLA_57"
"59",2008-07-01,2.59,0.32232,0.0399125,"mg/L","mg N/L","mg/L",2008,39.38895974,-104.8672149,"River/Stream","NLA_58"
"60",2008-07-01,0.71,0.2125,0.00084,"mg/L","mg N/L","mg/L",2008,43.94606478,-72.71105066,"River/Stream","NLA_59"
"61",2008-07-01,3.97,1.2928,0.0258138,"mg/L","mg N/L","mg/L",2008,41.6946525,-85.91740108,"River/Stream","NLA_60"
"62",2008-07-01,8.36,0.31135,0.0392775,"mg/L","mg N/L","mg/L",2008,41.60258314,-86.11116261,"River/Stream","NLA_61"
"63",2008-07-01,6.85,2.26295,0.131195,"mg/L","mg N/L","mg/L",2008,43.31096671,-83.96788131,"River/Stream","NLA_62"
"64",2008-07-01,0.97,0.01543,0.0106263,"mg/L","mg N/L","mg/L",2008,34.24605238,-84.68608632,"River/Stream","NLA_63"
"65",2008-07-01,1.82,0.45337,0.0103513,"mg/L","mg N/L","mg/L",2008,39.59669875,-79.08394335,"River/Stream","NLA_64"
"66",2008-07-01,2.65,0.00256,0.023105,"mg/L","mg N/L","mg/L",2008,47.08177722,-111.5943272,"River/Stream","NLA_65"
"67",2008-07-01,17.08,0,0.0307675,"mg/L","mg N/L","mg/L",2008,46.4179424,-103.5123702,"River/Stream","NLA_66"
"68",2008-07-01,0.94,0.33511,0.0027788,"mg/L","mg N/L","mg/L",2008,37.87068546,-91.92974504,"River/Stream","NLA_67"
"69",2008-07-01,0.65,0.0809,0.0140225,"mg/L","mg N/L","mg/L",2008,43.60292561,-115.5733393,"River/Stream","NLA_68"
"70",2008-07-02,1.94,0.00139,0.0168775,"mg/L","mg N/L","mg/L",2008,39.34428,-104.9728388,"River/Stream","NLA_69"
"71",2008-07-02,1,0.09906,0.0043063,"mg/L","mg N/L","mg/L",2008,30.28718756,-98.89560053,"River/Stream","NLA_70"
