"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NWCA16-3163",30.56791,-88.61144,16.8,1.6,160,0.095238095
"NWCA16-3221",46.75415,-111.29636,4.275,0.4065,36.5,0.0958132435
"NWCA16-3222",45.826445,-111.209695,27.4,4.995,519,0.186797629
"NWCA16-3224",45.89908,-112.38479,20.3,0.454,156,0.022364532
"NWCA16-3236",45.89572,-112.38927,6.96,0.58,126,0.083333333
"NWCA16-3239",46.22283,-111.17152,3.71,0.352,124,0.094878706
"NWCA16-3247",46.75549,-111.30205,5.65,1.99,60,0.352212389
"NWCA16-3250",48.39425,-113.27354,10.2,0.934,76,0.091568627
"NWCA16-3256",45.41148,-110.92498,3.14,0.253,80,0.080573248
"NWCA16-3259",44.45963,-112.91182,1.57,0.262,52,0.166878981
"NWCA16-3275",45.06081,-113.28033,8.05,0.416,124,0.051677019
"NWCA16-3286",47.23712,-114.16817,1.13,0.438,24,0.387610619
"NWCA16-3292",47.46093,-112.84186,1.58,0.251,34,0.158860759
"NWCA16-3296",48.86691,-108.70363,60.8,4.74,1540,0.077960526
"NWCA16-3300",48.55938,-114.70449,1.85,0.181,20,0.097837838
"NWCA16-3302",45.09199,-113.42198,2.21,0.247,62,0.111764706
"NWCA16-3308",48.40427,-107.72778,15.5,2.5,750,0.161290323
"NWCA16-3314",48.95504,-115.63235,2.21,0.245,26,0.110859729
"NWCA16-3316",48.86295,-107.59708,126,9.59,739,0.076111111
"NWCA16-3321",47.09175,-113.76997,4.47,0.409,18,0.091498881
"NWCA16-3328",35.6535515,-77.6207995,20.05,5.7345,117.5,0.265546448
"NWCA16-3329",34.88363,-76.51601,59.7,3.11,155,0.052093802
"NWCA16-3330",35.60197,-75.81847,41.5,2.78,58,0.066987952
"NWCA16-3331",35.395914,-76.307561,44.5,2.98,28,0.066966292
"NWCA16-3332",35.69546,-76.23489,25.2,2.32,115,0.092063492
"NWCA16-3333",35.69804,-76.23035,21.6,1.62,93,0.075
"NWCA16-3336",35.632763,-77.699575,33.8,1.5,43,0.044378698
"NWCA16-3337",35.78773,-75.881138,47.4,1.73,15,0.03649789
"NWCA16-3341",35.39648,-76.44037,23.4,1.92,26,0.082051282
"NWCA16-3344",34.99125,-76.54071,37.4,5.16,24,0.137967914
"NWCA16-3345",36.308028,-75.914179,222,6.35,65,0.028603604
"NWCA16-3348",35.095578,-77.00548,18.3,1.13,174,0.061748634
"NWCA16-3349",35.64872,-76.00309,54.5,1.22,22,0.022385321
"NWCA16-3350",35.853235,-79.099261,1.18,0.866,98,0.733898305
"NWCA16-3352",35.462858,-76.622998,28,37.4,194,1.335714286
"NWCA16-3471",40.8599265,-97.3947515,21.4775,1.54,1385,0.0715207605
"NWCA16-3473",40.432264,-101.6113925,3.252,0.9205,17,0.2819752285
"NWCA16-3476",42.185171,-100.182421,51,4.05,524,0.079411765
"NWCA16-3477",42.802306,-103.398995,16.765,0.919,64,0.054816582
"NWCA16-3478",41.844786,-101.44456,2.115,2.05,221,0.969267139
"NWCA16-3481",42.424804,-101.903079,17.2,1.25,253,0.072674419
"NWCA16-3494",44.624095,-71.445315,9.78,0.976,45,0.099887705
"NWCA16-3496",45.1762,-71.082,3.01,0.341,26,0.113289037
"NWCA16-3497",42.91508,-70.8166,10.1,1.56,192,0.154455446
"NWCA16-3499",42.895694,-70.847891,7.87,0.928,78,0.117916137
"NWCA16-3500",43.21037,-71.03356,7.83,0.667,28,0.085185185
"NWCA16-3509",42.90417,-70.81633,17.5,1.03,55,0.058857143
"NWCA16-3526",39.362837,-75.305289,28.5,0.799,146,0.028035088
"NWCA16-3527",39.386884,-74.4759815,6.195,0.5595,140,0.086694253
"NWCA16-3531",39.34935,-74.46652,17.4,1.08,50,0.062068966
"NWCA16-3532",40.92202,-74.82581,1.2,3.6,58,3
