"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"FW08AL001",1.305,0.04411,25.3822
"FW08AL002",2.055,0.185795,12.9444
"FW08AL003",6.14,0.00243,45.8175
"FW08AL004",1.74,0.51914,56.6638
"FW08AL006",2.71,0.49781,63.115
"FW08AL007",0.61,0.06,43.3113
"FW08AL008",0.88,0.31049,27.8225
"FW08AL009",1.45,0.0367,20.665
"FW08AL011",2.25,0.77292,53.3325
"FW08AL012",1.875,0.71808,176.63255
"FW08AL013",0.78,0.0744,31.8288
"FW08AL014",2.71,0.50548,13.9544
"FW08AL015",5.15,0.07628,24.7256
"FW08AL016",1.88,0.14389,18.78655
"FW08AL018",1.51,0.03841,22.58
"FW08AL019",7.01,0.00437,29.9513
"FW08AL020",2.89,0.49235,129.7675
"FW08AL021",4.39,0.3962,30.6188
"FW08AL022",5.27,0.07338,37.5481
"FW08AL023",3.9,0.00243,73.1838
"FW08AL024",3.94,2.82623,311.2425
"FW08AL025",2.31,0.27767,22.1656
"FW08AL026",4.22,0,60.5438
"FW08AL027",5.07,0.00096,138.5844
"FW08AL028",1.59,1.02523,170.805
"FW08AL029",2.04,0.14636,40.835
"FW08AL030",6.14,0.05757,31.34
"FW08AL031",2.43,0.41103,116.83
"FW08AL032",1.64,0.18665,9.7925
"FW08AL033",1.71,0.00349,32.6688
"FW08AL034",17.08,0.00062,101.0713
"FW08AL035",2.31,0.27,19.5588
"FW08AL036",0.7,0.27757,24.9875
"FW08AL046",1.32,0.09421,41.0169
"FW08AL047",1.44,0.05875,20.2781
"FW08AL051",2.08,0.00144,17.7756
"FW08AR001",5.09,0.077925,147.71175
"FW08AR002",9.605,0.0382,202.6163
"FW08AR003",1.165,0.735815,55.27595
"FW08AR004",0.72,0.01316,5.3963
"FW08AR006",5.77,0.14995,67.7913
"FW08AR007",1.43,0.52615,26.7769
"FW08AR008",14.21,0.00527,27.17
"FW08AR009",14.83,0.14986,102.7163
"FW08AR010",3.130790029,NA,194
"FW08AR012",2.79,0.214155,105.27315
"FW08AR013",9.29,0.00374,108.6613
"FW08AR014",4.26,0.91673,424.1875
"FW08AR016",0.67,0.02522,7.7713
"FW08AR017",3.48,0.04302,55.9475
"FW08AR019",3.32,0.00037,49.3025
"FW08AR020",2.49,0.02585,9.9013
"FW08AR022",5.3,0.13828,202.0088
"FW08AR024",4.19,0.03359,59.5888
"FW08AR025",1.92,0.13974,7.5456
"FW08AR026",3.48,0.37132,273.675
"FW08AR027",7.14,0.02655,452.0538
"FW08AR028",2.44,0.18866,115.3413
"FW08AR030",3.29,0.07259,20.984
"FW08AR031",2.75,0.12843,19.8706
"FW08AR032",4.52,0.46702,157.5925
"FW08AR035",0.78,0.00546,2.2138
"FW08AR036",4.44,0,66.92
"FW08AR037",3.34,0.22496,215.96
"FW08AR041",2.06,0.39,4.1938
"FW08AR042",5.32,0.14355,219.965
"FW08AR043",2.58,0.30082,96.28
"FW08AR044",9.66,0.14611,279.3788
