"UniqueLakeName","Lat","Lon","DOC_Median","TN_Median","TP_Median","pH"
"L0001",-78.1,163.85,NA,NA,NA,NA
"L0002",-77.73333,162.1667,NA,NA,NA,NA
"L0003",-77.71667,161.6246,NA,NA,NA,NA
"L0004",-77.62847,162.8818,NA,NA,NA,NA
"L0005",-77.60976,163.1698,NA,NA,NA,NA
"L0006",-77.52963,161.5755,NA,NA,NA,NA
"L0007",-77.43333,162.7667,NA,NA,NA,NA
"L0008",-68.619237,78.39965,NA,NA,NA,NA
"L0009",-68.5833,78.4167,NA,NA,NA,NA
"L0012",-46.01667,170.083,NA,NA,NA,NA
"L0013",-41.4616063,-72.5691535,NA,NA,NA,NA
"L0014",-41.35,-71.51666667,NA,NA,0.0099,NA
"L0015",-41.25,-71.28333333,NA,NA,0.0096,NA
"L0016",-41.1763314,-71.3230519,NA,NA,0.0275,NA
"L0017",-41.0833333,-71.45,NA,NA,0.0516,NA
"L0018",-41.0833333,-71.18333333,NA,NA,0.014,NA
"L0019",-41.0666667,-71.05,NA,NA,0.5204,NA
"L0020",-41.05,-71.5,NA,NA,0.014,NA
"L0021",-41.0333333,-71.55,NA,NA,0.0068,NA
"L0024",-38.3003,176.3939,NA,0.797,0.044,8
"L0025",-38.2897,176.5006,NA,0.36,0.009,7.400000095
"L0026",-38.266,176.4386,NA,0.194,0.047,7.300000191
"L0027",-38.1997,176.4243,NA,0.1,0.016,7.800000191
"L0028",-38.1971,176.3303,NA,0.177,0.0042,6.900000095
"L0029",-38.1674,176.3581,NA,0.196,0.009,7.679999828
"L0030",-38.1149,176.4236,NA,0.1,0.01,7.5
"L0031",-38.0853,176.28285,NA,0.35,0.023,6.900000095
"L0032",-38.0578,176.5911,NA,0.11,0.006,7.300000191
"L0033",-38.04146775,176.387223,NA,0.1975,0.02,7.199999809
"L0034",-38.0243794408654,176.534888425481,NA,0.34,0.031,7.900000095
"L0035",-37.83337186,-71.09999232,NA,NA,NA,NA
"L0036",-36.8,-57.78333333,NA,NA,0.0291,NA
"L0037",-35.85,-57.86666667,NA,NA,0.17565,9.54
"L0038",-35.8277776216667,-57.86110539,0.0072,NA,0.0722,9.85
"L0039",-35.7833333,-57.86666667,NA,NA,0.0622,NA
"L0040",-35.7,-57.91666667,NA,NA,0.19375,8.645
"L0041",-35.66831093,-57.80594886,NA,NA,0.099,NA
"L0042",-35.6166667,-57.8,NA,NA,0.6467,NA
"L0043",-35.5983634,-58.031556798,NA,2.68,0.1376,8.95
"L0045",-35.58333333,-57.91666667,NA,NA,0.20625,8.585
"L0046",-35.5833333,-57.9,NA,NA,0.126,NA
"L0047",-35.5333333,-58.11666667,NA,NA,0.0802,NA
"L0048",-35.445,139.082,NA,NA,NA,8.42
"L0049",-35.42,-57.55,NA,NA,0.0468,NA
"L0050",-35.37050433,150.4401827,NA,NA,NA,NA
"L0051",-35.294302,149.107614,NA,NA,NA,NA
"L0052",-34.51801367,150.8446883,NA,NA,NA,NA
"L0053",-33.523,-53.13,0.009817,0.14,0.015,7.252
"L0054",-33.2953854,151.5019256,NA,0.0505,0.0169,NA
"L0055",-33.0857007,151.5720067,NA,0.022,0.02,NA
"L0057",-32.07861111,-52.1675,NA,2.87,0.255,8.25
"L0061",-28.1539822,153.2824011,0.00315,0.36,0.027,7.68
"L0062",-27.7333333,-48.51666667,0.0049,0.6605,0.01255,7.025
"L0064",-26.89472,28.14555,NA,NA,NA,NA
"L0065",-25.89122884,28.71715933,NA,NA,NA,NA
"L0066",-25.8666667,28.26666667,NA,NA,NA,NA
"L0067",-25.7366067,27.86112708,NA,NA,NA,NA
"L0068",-25.62604186,28.37304995,NA,NA,NA,NA
"L0069",-25.43259755,29.31058309,NA,NA,NA,NA
"L0070",-25.4101543,27.58835636,NA,NA,NA,NA
"L0071",-25.23538001,28.51010664,NA,NA,NA,NA
"L0073",-23.7692778,-46.53330556,NA,NA,0.0305,NA
"L0074",-23.6786111,-46.71980556,NA,NA,0.051,NA
"L0075",-23.6315149253846,-47.3057508707692,NA,0.8145,0.0495,6.58
"L0076",-23.574277,-46.628766,NA,NA,NA,7.56
"L0077",-23.3660833,-46.66866667,NA,NA,0.02,NA
"L0079",-22.765,-53.25694,NA,0.8835,0.04605,5.795
"L0080",-22.55463571,-48.42391808,NA,NA,NA,7.9
"L0081",-21.659055556,-43.392333334,NA,1.46,0.028,7.11
"L0082",-20.625902,31.608379,NA,1.09,0.15,7.79
"L0083",-20.473,-40.9178,NA,NA,NA,NA
"L0084",-20.08333333,-53.16666667,NA,NA,NA,NA
"L0085",-19.95277778,-54.89277778,NA,NA,NA,NA
"L0086",-19.02194444,-50.49194444,NA,NA,NA,NA
"L0088",-18.50166667,-49.49083333,NA,NA,NA,NA
"L0091",-18.09441,-67.0961,NA,NA,NA,8.74
"L0092",-17.9892,-48.5317,NA,NA,NA,NA
"L0095",-15.34833333,-49.81388889,NA,NA,NA,NA
"L0096",-13.83416667,-48.30444444,NA,NA,NA,NA
"L0097",-13.49722222,-48.12583333,NA,NA,NA,NA
"L0106",-6.9125,107.366,NA,1.3055,0.265,NA
"L0107",-5.75,-43.083,NA,NA,NA,NA
"L0108",-5.4975148,-38.446833,NA,NA,0.03645,8.55
"L0112",-2.93138889,-79.24611111,0.0014,0.526,0.035,NA
"L0113",-2.91166667,-79.25527778,0.0056,0.333,0.011,NA
"L0114",-2.89416667,-79.29138889,0.0016,0.349,0.006,NA
"L0115",-2.88666667,-79.29305556,0.0029,0.397,0.009,NA
"L0116",-2.87916667,-79.26611111,0.0025,0.303,0.01,NA
"L0117",-2.86916667,-79.23444444,0.0123,0.18,0.008,NA
"L0118",-2.86694444,-79.29972222,0.0023,0.758,0.022,NA
"L0119",-2.86388889,-79.29805556,0.0024,0.393,0.024,NA
"L0120",-2.85944444,-79.21583333,0.0057,0.298,0.009,NA
"L0121",-2.8575,-79.22916667,0.0033,0.168,0.008,NA
"L0122",-2.85277778,-79.3425,0.0032,0.195,0.012,NA
"L0123",-2.84277778,-79.14666667,0.0041,0.344,0.011,NA
"L0124",-2.83916667,-79.30472222,0.0024,0.243,0.009,NA
