"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_CA_10088",0.92,0.001,57.801
"NRS18_CA_10094",0.45,0.0186,22.481
"NRS18_CA_10108",0.44,0.0016,21.615
"NRS18_CA_10247",2.59,0.3487,83.289
"NRS18_CA_10322",1.34,0.1233,81.288
"NRS18_CA_10324",0.79,NA,43.216
"NRS18_CA_10343",0.44,0.109,102.195
"NRS18_CA_10352",0.42,0.1204,14.305
"NRS18_CA_10389",0.47,0.0108,13.313
"NRS18_CA_10548",8.89,0,173.646
"NRS18_CA_10788",1.33,0.0399,13.093
"NRS18_CA_10795",1.34,0.0061,23.138
"NRS18_CA_10889",2.84,0.0012,75.576
"NRS18_CO_10002",3.15,0.89205,141.783
"NRS18_CO_10003",2.285,0.08515,6.4475
"NRS18_CO_10004",1.84,0.0076,94.75
"NRS18_CO_10005",4.03,0.0021,88.125
"NRS18_CO_10009",4.59,0.0103,67.335
"NRS18_CO_10010",4.15,1.0383,91.313
"NRS18_CO_10011",3.47,NA,55.376
"NRS18_CO_10012",3.69,3.6021,444.3
"NRS18_CO_10013",3.415,0.0056,41.6815
"NRS18_CO_10014",3.485,0.5545,112.221
"NRS18_CO_10016",8.01,0.9821,144.248
"NRS18_CO_10017",1.26,0.0035,14.513
"NRS18_CO_10018",2.72,0.1231,48.815
"NRS18_CO_10020",5.81,3e-04,140.265
"NRS18_CO_10021",4.53,2.4338,808.6
"NRS18_CO_10024",1.41,0.0016,11.864
"NRS18_CO_10026",4.14,0.004,42.414
"NRS18_CO_10028",8.06,0.3524,569.805
"NRS18_CO_10033",2.89,0.0042,16.998
"NRS18_CO_10034",1.12,0.0265,83.816
"NRS18_CO_10042",2.17,0.0086,10.999
"NRS18_CO_10046",2.47,NA,72.953
"NRS18_CO_10048",3.69,0.0102,74.643
"NRS18_CO_10050",7.45,0.1871,279.606
"NRS18_CO_10053",5.13,0.0201,88.569
"NRS18_CO_10055",1.11,0.0554,13.314
"NRS18_CO_10060",3.87,0,72.519
"NRS18_CO_10061",6.24,3.7026,1337.619
"NRS18_CO_10063",4.66,0.0273,70.84
"NRS18_CO_10064",0.93,0.1069,8.344
"NRS18_CO_10065",7.07,0.0065,34.975
"NRS18_CO_10068",1.95,0.0028,5.486
"NRS18_CO_10069",2.45,0.0273,7.348
"NRS18_CO_10070",3.88,2.3694,4351.7
"NRS18_CO_10071",3.25,0.0039,43.119
"NRS18_CO_10072",3.62,0.0037,71.1
"NRS18_CO_10135",3.06,0.1992,243.404
"NRS18_CO_10224",2.15,0.2309,15.518
"NRS18_CO_10374",2.48,NA,85.68
"NRS18_CO_10398",2.55,0.1135,79.944
"NRS18_CO_10523",5.52,0.2876,360.234
"NRS18_CO_10825",2.23,0.0059,77.805
"NRS18_CO_10974",2.99,0.0077,20.618
"NRS18_CO_10975",7.85,0.1526,886.888
"NRS18_CO_10977",2.86,0.1932,56.878
