"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_LA_10016",3.04,1.4645,193.051
"NRS18_LA_10018",6.89,0.0084,236.801
"NRS18_LA_10019",5.24,0.2593,172.913
"NRS18_LA_10020",22.54,0.0042,293.051
"NRS18_LA_10021",6.16,0.676,155.014
"NRS18_LA_10022",3.06,1.3409,128.051
"NRS18_LA_10181",18.5,0.1612,516.801
"NRS18_LA_10481",3.64,1.4081,149.603
"NRS18_MA_10001",6.42,0.6563,47.23
"NRS18_MA_10002",6.37,1.3377,65.6225
"NRS18_MA_10003",1.75,5.8456,42.341
"NRS18_MA_10004",2.53,0.17,7.835
"NRS18_MA_10005",7.33,0.2685,44.1385
"NRS18_MA_10006",3.89,0.12205,13.453
"NRS18_MA_10007",26.55,0.0239,248.333
"NRS18_MA_10008",4.1,0.8996,63.948
"NRS18_MA_10009",6.72,0.1361,43.494
"NRS18_MA_10010",2.6,0.2071,10.883
"NRS18_MA_10011",1.54,0.0102,21.039
"NRS18_MA_10013",4.78,0.0027,49.913
"NRS18_MA_10014",6.05,0.1224,21.466
"NRS18_MA_10016",8.98,0.06,28.468
"NRS18_MA_10017",8.25,0.3983,41.944
"NRS18_MA_10018",2.8,0.8535,64.376
"NRS18_MA_10019",2.26,0.094,14.216
"NRS18_MA_10182",7.55,0.3082,62.82
"NRS18_MA_10185",28.73,0.2195,349.934
"NRS18_MA_10631",2.72,0.2118,11.311
"NRS18_MD_10001",4.53,3.27145,94.7455
"NRS18_MD_10002",2.04,1.42125,30.9655
"NRS18_MD_10003",1.39,2.2875,9.163
"NRS18_MD_10004",2.13,0.7131,17.3
"NRS18_MD_10005",3.79,1.08155,41.472
"NRS18_MD_10006",1.765,0.55155,13.824
"NRS18_MD_10007",4.14,7.3299,66.586
"NRS18_MD_10008",3.29,0.6652,107.415
"NRS18_MD_10009",1.3,1.9286,13.921
"NRS18_MD_10010",1.83,1.4543,15.619
"NRS18_MD_10013",2.66,1.0375,14.48
"NRS18_MD_10014",2.17,1.0248,21.15
"NRS18_MD_10015",2.65,3.1325,21.306
"NRS18_MD_10018",1.82,2.338,44.043
"NRS18_MD_10019",2.86,0.7953,75.305
"NRS18_MD_10034",39.12,0.2148,245.604
"NRS18_MD_10039",1.49,2.3539,91.046
"NRS18_MD_10481",1.62,0.0194,8.861
"NRS18_MD_10632",1.47,1.5211,26.233
"NRS18_MD_11081",1.77,1.1595,31.996
"NRS18_ME_10001",6.855,0.05735,12.021
"NRS18_ME_10002",8.065,0.06575,53.657
"NRS18_ME_10003",12.44,0.0017,14.023
"NRS18_ME_10004",3.25,0.0437,12.344
"NRS18_ME_10005",3.56,0.0324,9.644
"NRS18_ME_10006",7.53,0.00205,13.8285
"NRS18_ME_10007",5.715,0.0064,6.552
"NRS18_ME_10008",0.87,0.0042,31.78
"NRS18_ME_10009",2.78,0.0318,4.638
"NRS18_ME_10010",3.41,0.0221,13.74
"NRS18_ME_10011",4.32,0.0016,5.591
"NRS18_ME_10012",3.24,0.0445,13.586
"NRS18_ME_10013",5.71,0.0075,5.565
"NRS18_ME_10014",11.3,0.0167,11.819
"NRS18_ME_10015",5.41,0.074,13.318
"NRS18_ME_10016",25.68,0.001,45.645
"NRS18_ME_10017",15.35,0.1078,50.499
"NRS18_ME_10018",13.3,0.0208,17.76
"NRS18_ME_10019",11.79,0.0258,27.559
"NRS18_ME_10020",29.92,0.0097,45.1
"NRS18_ME_10021",15.81,0.0015,9.915
"NRS18_ME_10025",5.08,0.003,8.418
"NRS18_ME_10026",4.66,0.0017,8.34
"NRS18_ME_10044",7.68,0.0392,31.679
"NRS18_ME_10193",2.82,0.0285,16.048
"NRS18_ME_10194",12.96,0.0052,13.15
"NRS18_ME_10493",4.56,0.0669,8.088
"NRS18_MI_10001",4.485,0.59155,106.309
"NRS18_MI_10002",4.825,0.87655,61.9125
"NRS18_MI_10004",2.98,0.0437,21.335
"NRS18_MI_10005",4.22,0.0417,21.53
"NRS18_MI_10006",27.1,0,22.901
"NRS18_MI_10007",8.53,0.0026,16.163
"NRS18_MI_10008",7.51,1.3278,36.711
"NRS18_MI_10009",8.01,1.5361,117.513
"NRS18_MI_10010",6.66,3.9984,110.176
"NRS18_MI_10011",6.54,2.7285,79.328
"NRS18_MI_10012",11.77,0.6976,117.126
"NRS18_MI_10013",6.07,0.06785,82.595
"NRS18_MI_10014",2.63,0.02335,16.707
"NRS18_MI_10015",5.58,0.0133,114.926
"NRS18_MI_10017",14.28,0.0378,109.451
"NRS18_MI_10019",6.64,0,24.226
"NRS18_MI_10021",5.07,0.0615,16.509
"NRS18_MI_10022",4.97,0.7888,43.559
"NRS18_MI_10023",5.36,0.8432,75.803
"NRS18_MI_10024",6.21,0.0077,52.345
"NRS18_MI_10025",5.64,1.381,77.826
"NRS18_MI_10028",12.63,0.0063,88.665
"NRS18_MI_10030",4.18,0.1105,44.961
"NRS18_MI_10032",2.77,1.9055,26.776
"NRS18_MI_10033",5.52,0.3869,57.139
"NRS18_MI_10034",0.84,0.7021,11.538
"NRS18_MI_10035",5.26,0.0526,21.728
"NRS18_MI_10037",14.08,0.023,25.793
"NRS18_MI_10039",8.58,1.8896,116.711
"NRS18_MI_10040",3.23,0.0391,13.336
"NRS18_MI_10041",6.53,0.0704,8.163
"NRS18_MI_10042",5.6,0.0152,22.123
"NRS18_MI_10044",9.54,0.0115,19.836
"NRS18_MI_10045",4.24,0.0201,32.43
"NRS18_MI_10046",3.36,2.4143,16.333
"NRS18_MI_10047",7.14,10.3595,89.82
"NRS18_MI_10048",7.01,0.3873,78
"NRS18_MI_10049",6.86,0.0651,59.725
"NRS18_MI_10050",5.85,0.0345,32.075
"NRS18_MI_10052",6.7,3.0708,106.57
"NRS18_MI_10053",4.87,0.1167,12.754
"NRS18_MI_10054",5.19,1.8573,84.533
"NRS18_MI_10055",7.49,0.0564,26.268
"NRS18_MI_10056",12.96,0.6838,136.264
"NRS18_MI_10057",7.65,0.0159,20.981
"NRS18_MI_10062",9.9,0.2052,49.151
"NRS18_MI_10072",5.12,0.0349,23.133
"NRS18_MI_10075",2.85,0.2413,47.276
"NRS18_MI_10077",6.33,0.0101,50.589
"NRS18_MI_10081",5.95,0.1673,55.801
"NRS18_MI_10231",4.48,0.4208,28.836
"NRS18_MI_10233",18.66,0.0391,25.31
"NRS18_MI_10236",1.41,0.8349,10.6
"NRS18_MI_10381",7.39,0.88,45.389
"NRS18_MI_10531",2.91,1.4776,47.31
"NRS18_MI_10532",2.82,0.0468,21.388
"NRS18_MI_10682",2.39,0.2882,82.426
"NRS18_MI_10982",4.13,0.9829,30.334
"NRS18_MN_10001",3.215,5.8883,184.7015
"NRS18_MN_10002",6.46,2.15875,144.565
"NRS18_MN_10003",2.73,11.7666,156.166
"NRS18_MN_10004",9.34,0.0075,42.37
"NRS18_MN_10005",11.62,0.0072,14.393
"NRS18_MN_10006",47.22,0.0014,92.771
"NRS18_MN_10007",4.42,13.5113,82.409
"NRS18_MN_10008",9.26,1.7841,68.333
"NRS18_MN_10009",19.59,0.0012,55.064
"NRS18_MN_10010",22.56,0.0072,58.615
"NRS18_MN_10011",4.08,2.1107,283.77
"NRS18_MN_10012",8.34,0.5413,186.703
"NRS18_MN_10013",9.99,0.3959,53.261
"NRS18_MN_10014",14.7,0.1383,55.31
"NRS18_MN_10015",5.95,3.7852,297.353
"NRS18_MN_10016",5.99,0.0707,33.415
"NRS18_MN_10017",9.27,0,21.025
"NRS18_MN_10018",7.1,3.8857,215.505
"NRS18_MN_10019",1.07,6.91715,121.6435
"NRS18_MN_10020",9.19,0.088,331.285
"NRS18_MN_10021",11.49,0.0084,13.005
"NRS18_MN_10022",16.76,0.0101,60.771
"NRS18_MN_10023",15.11,0.0015,16.096
"NRS18_MN_10024",6.66,0.0974,92.854
"NRS18_MN_10025",5.27,0.0036,16.67
"NRS18_MN_10026",7.79,0.0023,12.884
"NRS18_MN_10028",10.76,0.0069,83.608
"NRS18_MN_10029",15,0.1063,44.56
"NRS18_MN_10030",13.95,0.0663,35.549
"NRS18_MN_10031",1.94,5.5724,89.165
"NRS18_MN_10032",6.26,2.6537,310.769
"NRS18_MN_10033",9.96,0.3482,53.24
"NRS18_MN_10034",7.23,1.5082,182.446
"NRS18_MN_10035",7.47,0.0043,29.829
"NRS18_MN_10036",11.23,0.2965,654.056
"NRS18_MN_10037",25.72,0.0022,89.606
"NRS18_MN_10038",27.83,0,41.035
"NRS18_MN_10039",11.94,0,139.189
"NRS18_MN_10044",23.42,0.0179,46.673
"NRS18_MN_10045",10.16,0.1712,58.233
"NRS18_MN_10046",41.92,0.0019,11.285
"NRS18_MN_10050",22.13,0.0043,28.175
"NRS18_MN_10052",9.69,5.7884,206.55
"NRS18_MN_10054",11.8,0.0012,26.133
"NRS18_MN_10055",0.77,4.2939,55.891
"NRS18_MN_10056",9.19,0.8176,189.12
"NRS18_MN_10057",14.33,0.074,201.913
"NRS18_MN_10058",18.89,0.012,56.476
"NRS18_MN_10059",1.46,6.2357,148.095
"NRS18_MN_10060",7.77,0.7974,45.965
"NRS18_MN_10061",9.81,0.0327,76.503
"NRS18_MN_10062",29.21,0.0069,54.709
"NRS18_MN_10063",6.9,0.6088,64.17
"NRS18_MN_10064",6.38,0.0024,25.814
"NRS18_MN_10065",6.42,0.1169,54.485
"NRS18_MN_10066",7.62,0.2491,120.27
"NRS18_MN_10067",11.12,0.0083,17.243
"NRS18_MN_10068",11.65,0.6778,340.999
"NRS18_MN_10069",10.75,0.0431,219.971
"NRS18_MN_10071",9.24,0.0013,228.485
"NRS18_MN_10072",5.57,2.693,164.345
"NRS18_MN_10073",5.79,3.8514,314.668
"NRS18_MN_10090",6.51,0.0021,23.074
"NRS18_MN_10253",22.84,0.0265,27.778
"NRS18_MN_10257",9.5,0.0607,15.611
"NRS18_MN_10260",6.22,0.0023,41.449
"NRS18_MN_10261",19.62,0.0098,39.093
"NRS18_MN_10402",4.75,13.4246,98.154
"NRS18_MN_10405",18.44,0.0058,57.139
"NRS18_MN_10553",22.65,0.0213,18.806
"NRS18_MN_10554",42.32,0.0297,74.786
"NRS18_MN_10556",9.48,0.0025,44.763
"NRS18_MN_RF001",11.855,0.0259,59.8475
"NRS18_MN_RF002",21.495,0.10895,42.51
"NRS18_MN_RF003",5.85,0.0028,70.491
"NRS18_MO_10001",10.015,0.3357,281.017
"NRS18_MO_10002",4.62,3.06445,259.2505
"NRS18_MO_10003",7.45,0.7738,395.188
"NRS18_MO_10004",4.86,0.1045,313.875
"NRS18_MO_10006",6.33,1.8082,1053.581
"NRS18_MO_10008",3.72,0.6665,201.228
"NRS18_MO_10009",3.92,1.8459,213.775
"NRS18_MO_10010",1.04,0.0563,27.196
"NRS18_MO_10011",4.61,4.0186,351.945
"NRS18_MO_10012",0.63,1.4142,28.603
"NRS18_MO_10013",5.185,0.1533,289.0205
"NRS18_MO_10014",3.74,1.38175,223.0615
"NRS18_MO_10019",3.8,0.2995,43.934
"NRS18_MO_10020",4.4,0.0042,59.041
"NRS18_MO_10021",3.09,5e-04,20.724
"NRS18_MO_10023",5.46,0.0077,124.126
"NRS18_MO_10024",4.09,0.9805,219.226
"NRS18_MO_10025",4.22,1.1789,232.943
"NRS18_MO_10026",1.64,0.8461,31.086
"NRS18_MO_10027",2.12,0.006,268.06
"NRS18_MO_10029",15.04,0.3144,313.336
"NRS18_MO_10030",5.72,0.0689,134.761
"NRS18_MO_10031",2.56,0.9952,80.043
"NRS18_MO_10033",3.08,3.6388,373.275
"NRS18_MO_10034",1.97,0.5854,39.713
"NRS18_MO_10035",1.9,0.0617,65.088
"NRS18_MO_10037",4.83,0.1286,150.438
"NRS18_MO_10038",2.8,NA,46.279
"NRS18_MO_10039",6.75,0.6998,475.836
"NRS18_MO_10040",1.24,0.0477,76.56
"NRS18_MO_10041",1.51,0.0464,25.986
"NRS18_MO_10042",4.14,1.1594,245.141
"NRS18_MO_10051",2.02,0.8618,82.461
"NRS18_MO_10053",2.67,1.8313,375.575
"NRS18_MO_10055",1.43,NA,31.1
"NRS18_MO_10213",0.61,0.8494,7.776
"NRS18_MO_10214",5.74,0.0011,136.533
"NRS18_MO_10361",7.46,0.1074,104.211
"NRS18_MO_10362",3.49,0.2839,157.185
"NRS18_MO_10665",0.56,0.2763,8.799
"NRS18_MO_10812",5.64,0.2257,82.79
"NRS18_MO_11111",0.81,0.2721,16.086
"NRS18_MO_RF001",4.52,0.021,116.788
"NRS18_MO_RF002",0.68,0.3115,18.663
"NRS18_MO_RF003",1.9,0.425,25.664
"NRS18_MO_RF004",1.28,0.2542,6.773
"NRS18_MO_RF005",1.75,0.7616,62.614
"NRS18_MO_RF006",0.63,0.4588,15.535
"NRS18_MO_RF007",0.93,0.324,12.809
"NRS18_MS_10001",2.325,0.02865,13.837
"NRS18_MS_10002",5.155,0.0565,137.397
"NRS18_MS_10003",7.1,0.9118,262.369
"NRS18_MS_10004",6.37,0.0331,23.689
"NRS18_MS_10005",2.87,0.2203,91.33
"NRS18_MS_10006",2.95,0.0169,50.129
"NRS18_MS_10007",3.62,0.0567,84.923
"NRS18_MS_10008",4.69,0.2594,261.278
"NRS18_MS_10009",1.3,0.0488,19.2565
"NRS18_MS_10010",4.355,0.11955,111.616
"NRS18_MS_10012",6.88,0.005,646.831
"NRS18_MS_10013",4.35,0.0269,36.054
"NRS18_MS_10014",6.75,0.0067,95.973
"NRS18_MS_10015",4.15,0.2182,158.315
"NRS18_MS_10016",6.66,0.0074,68.954
"NRS18_MS_10017",4.74,0.37,217.929
"NRS18_MS_10018",3.87,0.1054,23.226
"NRS18_MS_10019",1.66,0.6043,39.705
"NRS18_MS_10020",3.14,0.2342,88.508
"NRS18_MS_10021",9.18,0.3115,244.586
"NRS18_MS_10022",5.43,0.2128,168.336
"NRS18_MS_10031",5.27,0.001,185.359
"NRS18_MT_10001",0.47,0.0105,12.1765
"NRS18_MT_10002",1.71,0.00375,19.1215
"NRS18_MT_10003",1.22,0.0121,10.181
"NRS18_MT_10006",0.61,0.0261,6.176
"NRS18_MT_10009",0.73,0.0196,16.485
"NRS18_MT_10010",12.3,0.0053,83.004
"NRS18_MT_10011",19.6,0.0111,134.684
"NRS18_MT_10012",1.12,0.0449,11.676
"NRS18_MT_10013",1.23,0.0412,7.428
"NRS18_MT_10015",1.04,0.0056,9.735
"NRS18_MT_10017",3.04,0.0424,50.371
"NRS18_MT_10018",3.73,0.0071,28.083
"NRS18_MT_10019",7.66,0,112.644
"NRS18_MT_10021",3.03,0,42.765
"NRS18_MT_10022",2.72,0.036,87.045
"NRS18_MT_10023",0.67,0.0089,4.985
"NRS18_MT_10024",2.87,0.0114,55.645
"NRS18_MT_10025",6.06,0,62.884
"NRS18_MT_10027",2.31,0.01085,63.733
"NRS18_MT_10028",6.46,0.0028,125.928
"NRS18_MT_10029",1.25,0.2711,63.148
"NRS18_MT_10030",1.18,0.0031,16.861
"NRS18_MT_10032",4.61,0.0021,14.143
"NRS18_MT_10035",0.99,0.0016,10.641
"NRS18_MT_10037",11.87,0.1542,34.756
"NRS18_MT_10040",18.83,0.0053,212.413
"NRS18_MT_10041",7.59,0.0016,33.56
"NRS18_MT_10043",1.11,0.0509,13.186
"NRS18_MT_10044",6.55,0.3201,256.756
"NRS18_MT_10047",3,0.1766,56.276
"NRS18_MT_10048",2.57,0.0084,38.858
"NRS18_MT_10049",1.38,0.0033,11.624
"NRS18_MT_10051",2.65,0.0299,96.075
"NRS18_MT_10052",1.47,0.1273,46.948
"NRS18_MT_10062",1.35,0.0239,10.248
"NRS18_MT_10063",4.76,0.0239,69.15
"NRS18_MT_10064",6.17,0.0855,208.646
"NRS18_MT_10065",1.24,0.0702,8.214
"NRS18_MT_10067",2.25,0.262,12.793
"NRS18_MT_10068",1.45,0.0022,10.459
"NRS18_MT_10070",1.42,0.023,226.994
"NRS18_MT_10071",2.61,0.006,30.933
"NRS18_MT_10072",4.6,0,66.341
"NRS18_MT_10073",2.86,0.0184,49.015
"NRS18_MT_10078",11.75,0.0459,245.93
"NRS18_MT_10079",0.92,0.0034,56.771
"NRS18_MT_10080",4.29,0.0038,38.655
"NRS18_MT_10083",2.19,0.0656,52.33
"NRS18_MT_10084",0.49,0.0621,3.529
"NRS18_MT_10087",7.19,0.0136,247.408
"NRS18_MT_10089",1.49,0.0482,13.675
"NRS18_MT_10090",1.5,0.0131,14.453
"NRS18_MT_10094",1.47,0.1181,11.209
"NRS18_MT_10096",1.11,0.1866,8.758
"NRS18_MT_10097",1.1,0.0187,6.686
"NRS18_MT_10106",0.46,0.066,2.715
"NRS18_MT_10107",0.81,0.0989,10.855
"NRS18_MT_10108",28.45,0.0523,85.45
"NRS18_MT_10112",3.19,0.0442,41.154
"NRS18_MT_10113",8.08,0.0013,105.024
"NRS18_MT_10114",4.02,0,83.054
"NRS18_MT_10117",1.44,0.0033,9.403
"NRS18_MT_10120",1.6,0.023,21.145
"NRS18_MT_10270",0.36,0.013,9.889
"NRS18_MT_10272",1.19,0.0109,13.689
"NRS18_MT_10274",1.07,0.0029,6.321
"NRS18_MT_10421",1.2,0.0437,29.88
"NRS18_MT_10589",6.71,0,44.206
"NRS18_MT_10592",1.93,0.3734,46.408
"NRS18_MT_10593",14.42,0,113.129
"NRS18_MT_10603",0.83,0.0031,6.465
"NRS18_MT_11020",9.83,0.0169,218.71
"NRS18_MT_11320",1.27,0.3094,15.705
"NRS18_MT_11470",5.33,0,190.03
"NRS18_MT_11621",1.65,0.0023,19.404
"NRS18_NC_10001",5.59,11.46045,1516.6
"NRS18_NC_10002",9.62,0.07845,105.427
"NRS18_NC_10003",1.45,0.2016,38.939
"NRS18_NC_10006",2.52,0.1309,22.875
"NRS18_NC_10007",1.14,0.6473,106.444
"NRS18_NC_10008",8.12,0.6299,123.328
"NRS18_NC_10009",13.12,0.16815,74.5105
"NRS18_NC_10010",1.585,0.20955,24.962
"NRS18_NC_10012",7.64,0.0336,54.648
"NRS18_NC_10014",1.6,NA,54
"NRS18_NC_10016",4.68,0.0042,22.489
"NRS18_NC_10017",0.71,0.086,20.688
"NRS18_NC_10020",9.8,NA,70
"NRS18_NC_10023",0.8,NA,9
"NRS18_NC_10026",5.02,0.552,100.25
"NRS18_NC_10027",5.23,0.3182,80.336
"NRS18_NC_10030",12.1,NA,84
"NRS18_NC_10032",0.47,0.1427,16.303
"NRS18_NC_10035",0.32,0.0694,28.725
"NRS18_NC_10037",3.11,0.81,87.765
"NRS18_NC_10038",18.54,0.3755,111.283
"NRS18_NC_10111",9.42,0.9691,81.249
"NRS18_NC_10155",8.35,0.175,61.326
"NRS18_NC_10346",4.38,0.1742,65.26
"NRS18_NC_10555",3.49,0.3164,21.384
"NRS18_NC_10645",6.82,0.4991,105.341
"NRS18_NC_10897",3.68,3.7799,340.111
"NRS18_NC_RF001",0.66,0.161,19.545
"NRS18_NC_RF002",0.73,0.0706,17.55
"NRS18_ND_10001",17.145,0.0038,64.3605
"NRS18_ND_10002",15.01,0.16115,790.9595
"NRS18_ND_10003",11,0.0119,59.748
"NRS18_ND_10004",19.44,0.0061,114.858
"NRS18_ND_10005",15.6,0.0012,771.5
"NRS18_ND_10007",13.28,0.0054,101.568
"NRS18_ND_10008",9.03,0.2999,126.219
"NRS18_ND_10009",11.3,0.0057,61.048
"NRS18_ND_10010",6.425,0.20695,215.1655
"NRS18_ND_10011",11.21,0.0011,150.491
"NRS18_ND_10013",19.77,NA,899.025
"NRS18_ND_10014",17.52,0.0157,297.913
"NRS18_ND_10015",15.44,0.1902,223.051
"NRS18_ND_10017",10.3,0,84.31
"NRS18_ND_10018",12.17,0,143.208
"NRS18_ND_10019",12.84,NA,173.533
"NRS18_ND_10023",47.09,NA,256.72
"NRS18_ND_10026",13.14,0.0641,320.836
"NRS18_ND_10027",12.28,0,64.841
"NRS18_ND_10028",8.38,0.3551,63.929
"NRS18_ND_10029",12.31,0,73.506
"NRS18_ND_10030",16.35,0.0423,797.225
"NRS18_ND_10031",12.15,0.0053,60.086
"NRS18_ND_10032",10.7,0.0404,53.555
"NRS18_ND_10033",8.68,0.3564,361.739
"NRS18_ND_10034",12.27,0,67.331
"NRS18_ND_10035",6.75,0.0934,199.199
"NRS18_ND_10036",12.24,0.1669,476.068
"NRS18_ND_10037",12.56,0.0072,513.889
"NRS18_ND_10038",3.11,0.0454,14.516
"NRS18_ND_10039",11.47,0.0052,23.229
"NRS18_ND_10040",12.24,0,71.594
"NRS18_ND_10042",3.21,0.0447,13.863
"NRS18_ND_10043",10.06,0.0053,59.82
"NRS18_ND_10044",12.22,0.0295,80.769
"NRS18_ND_10045",12.57,0.2486,962.569
"NRS18_ND_10049",15.61,0.1685,217.09
"NRS18_ND_10054",16.48,NA,112.591
"NRS18_ND_10071",14.45,0.0118,39.96
"NRS18_ND_10075",25.25,NA,86.018
"NRS18_ND_10225",11.41,0.0713,84.945
"NRS18_ND_10377",14.98,0,309.07
"NRS18_ND_10378",15.92,0.1223,117.536
"NRS18_ND_10525",13.98,0,319.229
"NRS18_ND_10528",29,0,309.14
"NRS18_ND_10676",7.03,0.0057,146.34
"NRS18_ND_10975",12.59,0.0079,134.375
"NRS18_NE_10003",4.19,0.4399,288.375
"NRS18_NE_10004",4.05,0.2773,411.093
"NRS18_NE_10005",1.63,10.2022,390.911
"NRS18_NE_10006",4.87,8.0126,329.731
"NRS18_NE_10007",2.8,0.4883,92.071
"NRS18_NE_10008",5.84,0.5393,1160.744
"NRS18_NE_10009",3.37,NA,432.855
"NRS18_NE_10010",3.14,2.2665,444.639
"NRS18_NE_10011",2.69,2.4681,529.081
"NRS18_NE_10012",1.59,2.3597,209.586
"NRS18_NE_10013",5.585,0.85815,423.798
"NRS18_NE_10014",4.405,0.77845,312.2025
"NRS18_NE_10015",2.75,0.4366,113.038
"NRS18_NE_10016",3.29,9.0666,390.443
"NRS18_NE_10018",3.48,0.6476,270.695
"NRS18_NE_10020",1.13,6.3994,314.805
"NRS18_NE_10021",4.45,2.1804,319.216
"NRS18_NE_10024",3.52,0.5417,117.715
"NRS18_NE_10025",3.59,0.0241,63.949
"NRS18_NE_10026",4.3,1.8925,248.555
"NRS18_NE_10028",3.72,3.0724,255.728
"NRS18_NE_10029",6.96,0.2315,447.966
"NRS18_NE_10030",16.84,0.3832,243.625
"NRS18_NE_10033",7.17,1.4875,1587.681
"NRS18_NE_10034",2.05,2.9593,381.925
"NRS18_NE_10035",2.97,3.6793,680.513
"NRS18_NE_10037",1.58,3.3619,74.544
"NRS18_NE_10038",9.58,0.7091,966.081
"NRS18_NE_10041",6.68,0.4756,107.693
"NRS18_NE_10042",3.66,1.2698,647.95
"NRS18_NE_10043",4.38,0.964,479.803
"NRS18_NE_10044",4.61,2.1118,1058.013
"NRS18_NE_10045",3.75,6.069,291.134
"NRS18_NE_10046",5.53,0.0672,334.64
"NRS18_NE_10048",8.27,0.267,294.54
"NRS18_NE_10049",5.48,0.0822,428.928
"NRS18_NE_10050",5.42,0.5044,355.311
"NRS18_NE_10052",7.08,2.7302,1039.869
"NRS18_NE_10053",6.88,0.3515,108.095
"NRS18_NE_10054",4.97,0.5282,277.118
"NRS18_NE_10056",5.08,0.3336,449.21
"NRS18_NE_10057",3.89,0.0206,76.92
"NRS18_NE_10058",2.855,4.83185,467.6555
"NRS18_NE_10059",4.79,0.5509,273.104
"NRS18_NE_10071",2.6,2.0169,71.835
"NRS18_NE_10073",5.53,2.2774,1066.875
"NRS18_NE_10075",5.99,0.4713,1091.425
"NRS18_NE_10079",7.18,6.785,406.399
"NRS18_NE_10544",1.18,14.9843,154.813
"NRS18_NE_10678",10.9,0.2001,464.588
"NRS18_NE_10683",6.94,0.3913,713.7
"NRS18_NE_10983",3.05,5.011,336.124
"NRS18_NE_11133",2.85,2.0805,300.133
"NRS18_NE_11149",7.86,1.4978,743.563
"NRS18_NE_11433",3.9,0.0669,30.261
"NRS18_NE_11578",6.75,0.012,34.57
"NRS18_NE_11590",4.72,0.0714,40.405
"NRS18_NE_RF001",1.06,0.2034,59.933
"NRS18_NE_RF002",2.6,0.5037,92.666
"NRS18_NH_10001",2.18,0.13445,11.2725
"NRS18_NH_10002",3.735,0.14825,10.6555
"NRS18_NH_10003",3.17,0.0442,10.013
"NRS18_NH_10004",3.16,0.1703,9.194
"NRS18_NH_10005",2.07,0.1311,16.2
"NRS18_NH_10006",1.905,0.1532,9.302
"NRS18_NH_10007",4.29,0.14445,9.567
"NRS18_NH_10008",0.92,0.0145,16.324
"NRS18_NH_10009",2.66,0.1121,12.605
"NRS18_NH_10010",4.06,0.0926,24.288
"NRS18_NH_10011",4.29,0.0134,7.576
"NRS18_NH_10012",3.52,0.0177,5.569
"NRS18_NH_10014",4.71,0.0291,58.9
"NRS18_NH_10016",2.65,0.0484,4.401
"NRS18_NH_10017",2.44,0.0077,11.501
"NRS18_NH_10018",2.22,0.0492,34.095
"NRS18_NH_10019",9.56,0.049,30.223
"NRS18_NH_10020",2.63,0.165,6.915
"NRS18_NH_10031",2.31,0.0316,6.685
"NRS18_NH_10035",2,0.1116,5.725
"NRS18_NH_RF001",2.6,0.0599,10.039
"NRS18_NH_RF002",0.94,0.0593,5.494
"NRS18_NJ_10001",4.765,1.06035,53.653
"NRS18_NJ_10002",3.14,0.1394,26.7255
"NRS18_NJ_10003",2.98,1.2724,112.1445
"NRS18_NJ_10005",1.26,2.0834,40.913
"NRS18_NJ_10006",2.74,2.0818,107.536
"NRS18_NJ_10007",4.1,1.7799,179.586
"NRS18_NJ_10008",2.37,0.1777,22.361
"NRS18_NJ_10009",14.36,1.0845,95.108
"NRS18_NJ_10013",6.09,0.7038,62.799
"NRS18_NJ_10016",13.39,0.6133,236.373
"NRS18_NJ_10019",3.28,0.1342,27.164
"NRS18_NJ_10020",1.74,0.1417,26.784
"NRS18_NJ_10032",1.76,1.4138,115.047
"NRS18_NJ_10034",2.11,0.7313,45.228
"NRS18_NJ_10183",1.7,1.5665,21.688
"NRS18_NJ_10334",6.23,3.8242,145.319
"NRS18_NJ_10633",1.89,1.2706,42.029
"NRS18_NJ_10783",1.59,3.5222,59.258
"NRS18_NJ_11083",4.3,1.9633,182.086
"NRS18_NJ_11233",2.42,1.4336,124.524
"NRS18_NM_10001",8.945,0.074,56.0345
"NRS18_NM_10002",4.4,0.188,261.303
"NRS18_NM_10003",5.91,0.0177,77.846
"NRS18_NM_10007",7.68,0.00495,131.9425
"NRS18_NM_10008",4.14,0.1652,293.884
"NRS18_NM_10013",3.32,0.0635,66.801
"NRS18_NM_10014",1.98,0,50.464
"NRS18_NM_10019",5.97,0,73.526
"NRS18_NM_10031",2.67,0.367,209.21
"NRS18_NM_10035",0.52,0.2339,44.581
"NRS18_NM_10038",4.85,0.0953,197.773
"NRS18_NM_10042",2.52,0.2693,213.065
"NRS18_NM_10381",2.7,0.0912,26.395
"NRS18_NM_10397",2.97,0.0428,48.434
"NRS18_NM_10507",11.44,0.0077,28.871
"NRS18_NM_10511",1.71,0.5965,76.254
"NRS18_NM_10645",8.55,0.0038,113.109
"NRS18_NM_10805",12.34,0.0057,179.598
"NRS18_NM_10809",1.4,0.454,45.36
"NRS18_NM_10947",4.86,0.0336,160.92
"NRS18_NM_10951",9.94,0.0693,16.851
"NRS18_NM_10968",5.64,0.0081,51.346
"NRS18_NM_11002",5.24,0.0076,38.284
"NRS18_NM_11094",2.09,0.0063,152.871
"NRS18_NM_11246",3.87,0.1177,289.524
"NRS18_NM_11252",6.9,0.0031,381.525
"NRS18_NM_11401",7.325,0.09625,709.697
"NRS18_NM_11409",7.36,0.07575,620.6295
"NRS18_NM_11434",3.51,0.094,184.274
"NRS18_NM_11437",1.61,0.2597,28.859
"NRS18_NM_11545",1.54,0.0041,79.285
