"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"NLA06608-0170",43.9911006,-86.1068888,6.94,780,8
"NLA06608-0173",33.0733313,-115.5092281,12.72,2218,57
"NLA06608-0174",46.2521236,-96.0363618,8.725,902.5,16
"NLA06608-0175",39.6810204,-84.6870539,4,698,55
"NLA06608-0176",35.1423948,-90.4577985,5.64,848,207
"NLA06608-0177",43.8920364,-73.0523234,3.59,177,6
"NLA06608-0179",44.3645622,-101.0545158,66.945,6597,236
"NLA06608-0180",34.5189406,-98.8813287,5.9,721,61
"NLA06608-0181",37.788611,-119.0740544,5.06,514,6
"NLA06608-0183",45.3262471,-92.4249623,3.73,907,68
"NLA06608-0184",38.8346196,-94.7490051,4.65,1049,100
"NLA06608-0185",41.1113046,-75.4575046,4.01,284,9
"NLA06608-0189",40.0294239,-80.5793985,3.92,759.5,71
"NLA06608-0190",47.6725431,-93.7594914,10.52,666,16
"NLA06608-0191",35.1678348,-83.6670913,1.05,48,1
"NLA06608-0193",48.7043858,-121.1758404,1.07,71,3
"NLA06608-0195",46.8919755,-99.0810106,16.66,1955,447
"NLA06608-0196",38.7769252,-88.0616458,6.35,1250,94
"NLA06608-0198",41.713076,-70.0895413,1.99,353,25
"NLA06608-0201",39.1122501,-120.4416484,1.47,40,3
"NLA06608-0203",34.0063327,-87.3160987,1.71,239,1
"NLA06608-0204",35.4359245,-99.2419746,7.26,1355,125
"NLA06608-0207",32.6030125,-84.818076,4.11,401.5,16
"NLA06608-0208",35.583845,-90.9632959,5.12,1687,162
"NLA06608-0209",47.57601,-122.0836788,2.58,203,5
"NLA06608-0211",47.4653421,-95.7698221,16.91,1340,42
"NLA06608-0212",39.0276686,-86.468475,3,88,8
"NLA06608-0215",45.2593824,-94.9644135,7.95,1463,83
"NLA06608-0216",40.3285507,-96.5287762,10.93,1367,619
"NLA06608-0217",36.1528831,-79.1460479,7.1,508,6
"NLA06608-0219",41.4004365,-85.3710292,10.91,1826,36
"NLA06608-0220",42.5046548,-100.5303638,114.54,22613,872
"NLA06608-0221",37.2991359,-76.8212295,6.11,594,38
"NLA06608-0222",48.4068932,-102.9398075,22.93,2008,114
"NLA06608-0223",33.58413,-84.2075299,3.235,637,44.5
"NLA06608-0224",37.6478366,-90.5898421,3.495,334,10.5
"NLA06608-0225",47.4803998,-112.5389845,3.125,318,25
"NLA06608-0226",43.1995256,-71.2474086,3.69,328,8
"NLA06608-0228",38.0621971,-103.6093941,5.525,559,60.5
"NLA06608-0229",43.9529554,-74.449008,4.23,219,4
"NLA06608-0234",43.2185569,-85.4679966,6.21,584,14
"NLA06608-0235",41.3229061,-85.7547779,7.8,626,8
"NLA06608-0237",38.3884904,-115.1177953,5.915,633,24
"NLA06608-0238",46.5788167,-94.1753168,3.17,265,7
"NLA06608-0239",35.0189509,-85.5598072,2.07,383,36
"NLA06608-0240",48.4775695,-107.5902123,5.02,396,14
"NLA06608-0241",42.2915429,-111.7292621,3.18,774,80
"NLA06608-0242",41.568323,-71.9105117,4.74,300,20
"NLA06608-0243",44.7364729,-100.7421974,3.31,203,7
"NLA06608-0244",33.739388,-99.2319984,4.66,436,15
"NLA06608-0245",38.3639678,-122.1300516,3.75,329,11
"NLA06608-0247",43.5347421,-96.96004,12.69,1625,202
"NLA06608-0253",32.4773684,-81.8306872,13.05,968,127
"NLA06608-0254",47.9667831,-99.0949499,16.3,2816,175
"NLA06608-0255",35.9483577,-85.3193018,4.19,276,4
"NLA06608-0257",48.5413951,-115.2253416,1.67,79,1
"NLA06608-0259",46.3742121,-98.9912397,21.94,3172,613
"NLA06608-0260",36.6734362,-106.6907196,2.44,136,8
"NLA06608-0268",35.5084897,-96.3212198,7.21,464,20
"NLA06608-0271",40.4778707,-83.8790661,5.59,857,99
"NLA06608-0275",46.2719907,-99.3808764,26.13,3084,331
"NLA06608-0276",38.776371,-105.0043919,2.02,254,7
"NLA06608-0277",42.6781739,-113.4006122,2.33,451,117
"NLA06608-0279",44.1924423,-93.8978566,18.8,4600,239
