"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NMRF-0002",36.58843,-103.3149,3.27,126,15,8.4
"NMRF-0009",36.06703,-104.3721,5.48,818,134,6.104477612
"NMRM-1001",34.35425,-106.8532,2.87,1160,462,2.510822511
"NMRM-1002",34.80287,-104.6276,0.79,76,24,3.166666667
"NMRM-1005",36.75052,-108.4182,2.33,626,244,2.56557377
"NMRM-1007",33.03974,-108.5324,1.2,121,142,0.852112676
"NMRO-1025",36.97114,-103.3905,1.38,454,110,4.127272727
"NMRO-1028",35.8127,-104.906,2.21,210,33,6.363636364
"NMRO-1030",33.55138,-107.5537,0.84,571,121,4.719008264
"NMS9-0920",36.1106,-105.7319,4.45,401,56,7.2128205125
"NMS9-0924",36.78886,-106.2405,2.91,275,169,1.627218935
"NMS9-0925",36.79741,-104.8783,3.71,354,104,3.403846154
"NMS9-0926",35.77146,-105.0074,3.175,292,21.5,13.559210525
"NMSS-1076",36.78769,-108.0619,1.24,274,68,4.029411765
"NMSS-1081",35.88864,-105.448,7.24,341,50,6.82
"NMSS-1085",35.71713,-105.4943,3.25,166,32,5.1875
"NVLS-1046",41.55244,-116.196,2.29,153,142,1.077464789
"NVLS-1048",40.19137,-117.2531,1.28,151,178,0.848314607
"NVLS-1067",41.88354,-115.4309,0.73,25,51.9,0.481695568
"NVLS-1069",41.99317,-117.528,2.28,201,134,1.5
"NVLS-1072",38.4235,-119.0023,2.7,236,363,0.650137741
"NVLS-1074",41.58071,-115.3591,2.5,190,84.5,2.24852071
"NVR9-0902",35.07424,-114.6043,2.47,506,8,63.25
"NVR9-0905",40.8147,-115.8061,4.3,618,198,3.121212121
"NVR9-0910",39.08216,-119.7573,4.72,458,305,1.497236314
"NVR9-0917",41.00565,-117.3393,4.51,513,196,2.617346939
"NVR9-0920",41.88666,-114.6866,2.795,325.5,178,1.909090909
"NVRM-1001",36.73991,-114.206,1.06,130,55,2.363636364
"NVRM-1006",40.70241,-116.5235,2.16,320,89,3.595505618
"NVRM-1007",38.43849,-119.0592,6.75,1396,280,4.985714286
"NVRO-1020",39.19519,-117.3465,1.98,286,110,2.6
"NVRO-1024",40.57471,-116.4405,2.77,359,79,4.544303797
"NVRO-1027",41.52683,-117.4287,1.1,845,187,4.518716578
"NVRO-1041",41.78608,-114.9674,4.03,353,149,2.369127517
"NVS9-0921",40.7413,-115.5544,0.945,348,99,3.704328767
"NVS9-0924",39.21429,-114.5413,0.8,149,47,3.170212766
