SITE_ID,DOC_Median,TN_Median,NO3_Median,TP_Median,TNtoTP_Median,NO3toTP_Median,TPtoTN
WCOP99-0516,4.3,280,0,25,11.2,0,0.089285714
WCOP99-0518,0.89,180,10,1,180,10,0.005555556
WCOP99-0563,6.83,470,0,4,117.5,0,0.008510638
WCOP99-0565,4.91,409,0,38,10.76315789,0,0.092909535
WCOP99-0566,4.54,1220,61.4,154,7.922077922,0.398701299,0.126229508
WCOP99-0567,4.04,135,1.4,2,67.5,0.7,0.014814815
WCOP99-0568,2.22,168,2.1,32,5.25,0.065625,0.19047619
WCOP99-0569,3.27,224,3.6,21,10.66666667,0.171428571,0.09375
WCOP99-0572,6.43,290,0,74,3.918918919,0,0.255172414
WCOP99-0574,0.63,145,0,17,8.529411765,0,0.117241379
WCOP99-0577,3.2,229,6.4,4,57.25,1.6,0.017467249
WCOP99-0578,2.39,150,0,5,30,0,0.033333333
WCOP99-0591,1.91,95,0,3,31.66666667,0,0.031578947
WCOP99-0593,3.16,181,7.9,8,22.625,0.9875,0.044198895
WCOP99-0595,0.95,315,15.7,18,17.5,0.872222222,0.057142857
WCOP99-0597,3.03,133,0,25,5.32,0,0.187969925
WCOP99-0599,0.7,196,12.9,0,NA,NA,NA
WCOP99-0601,4.08,390,0,9,43.33333333,0,0.023076923
WCOP99-0621,3.93,439,7.1,11,39.90909091,0.645454545,0.025056948
WCOP99-0622,4.76,263,2.9,6,43.83333333,0.483333333,0.022813688
WCOP99-0626,0.96,151,5,12,12.58333333,0.416666667,0.079470199
WCOP99-0627,3.62,224,5.7,176,1.272727273,0.032386364,0.785714286
WCOP99-0629,2.47,166,4.3,33,5.03030303,0.13030303,0.198795181
WCOP99-0632,1.06,223,11.9,1,223,11.9,0.004484305
WCOP99-0633,3.08,131,1.4,5,26.2,0.28,0.038167939
WCOP99-0634,0.51,106,5.7,6,17.66666667,0.95,0.056603774
WCOP99-0637,4.63,244,1.4,17,14.35294118,0.082352941,0.069672131
WCOP99-0638,2.2,199,2.2,28,7.107142857,0.078571429,0.140703518
WCOP99-0646,7.98,566,2.1,25,22.64,0.084,0.044169611
WCOP99-0647,1.31,141,5,3,47,1.666666667,0.021276596
WCOP99-0649,0.93,109,2.9,1,109,2.9,0.009174312
WCOP99-0650,1.95,114,0,9,12.66666667,0,0.078947368
WCOP99-0670,6.19,250,0,14,17.85714286,0,0.056
WCOP99-0672,5.47,500,0,131,3.816793893,0,0.262
WIDP99-0501,0.82,213,11.4,1,213,11.4,0.004694836
WIDP99-0502,0.95,49,0,7,7,0,0.142857143
WIDP99-0503,2.52,79,0,14,5.642857143,0,0.17721519
WIDP99-0504,0.6,39,2.1,1,39,2.1,0.025641026
WIDP99-0508,0.7,139,5.7,5,27.8,1.14,0.035971223
WIDP99-0510,1.17,399,24.3,1,399,24.3,0.002506266
WIDP99-0511,1.05,69,2.1,6,11.5,0.35,0.086956522
WIDP99-0514,1.37,59,0,10,5.9,0,0.169491525
WIDP99-0515,0.76,214,13.6,19,11.26315789,0.715789474,0.088785047
WIDP99-0516,1.23,81,0,11,7.363636364,0,0.135802469
WIDP99-0520,1.13,68,2.9,17,4,0.170588235,0.25
WIDP99-0524,0.88,98,2.9,14,7,0.207142857,0.142857143
WIDP99-0595,1.66,185,0,49,3.775510204,0,0.264864865
WIDP99-0596,1.88,254,13.6,67,3.791044776,0.202985075,0.263779528
WIDP99-0597,5.04,344,3.6,84,4.095238095,0.042857143,0.244186047
WIDP99-0599,1.25,38,0,1,38,0,0.026315789
WIDP99-0600,2.06,141,0,88,1.602272727,0,0.624113475
WIDP99-0602,1.21,54,0,4,13.5,0,0.074074074
WIDP99-0603,1.83,166,0,34,4.882352941,0,0.204819277
WIDP99-0605,1.1,64,0,5,12.8,0,0.078125
WIDP99-0607,3.07,128,0,9,14.22222222,0,0.0703125
WIDP99-0610,1.01,119,0,25,4.76,0,0.210084034
WIDP99-0611,1.59,76,0,1,76,0,0.013157895
WIDP99-0613,2.37,78,0,23,3.391304348,0,0.294871795
WIDP99-0614,1.21,99,5,2,49.5,2.5,0.02020202
WIDP99-0615,0.89,55,0,12,4.583333333,0,0.218181818
WIDP99-0690,2.47,99,2.1,5,19.8,0.42,0.050505051
WIDP99-0694,1.83,179,2.9,25,7.16,0.116,0.139664804
WIDP99-0695,1.15,83,0,39,2.128205128,0,0.469879518
WIDP99-0697,0.64,94,5.7,2,47,2.85,0.021276596
WIDP99-0698,2.59,767,33.6,113,6.787610619,0.297345133,0.147327249
WIDP99-0699,2.02,148,5,39,3.794871795,0.128205128,0.263513514
WIDP99-0700,1.92,9931,671.8,182,54.56593407,3.691208791,0.018326453
WIDP99-0701,0.73,84,0,38,2.210526316,0,0.452380952
WIDP99-0724,1.01,66,0,49,1.346938776,0,0.742424242
WIDP99-0725,1.78,136,2.9,29,4.689655172,0.1,0.213235294
WIDP99-0726,2.76,151,0,32,4.71875,0,0.21192053
WIDP99-0727,0.96,138,5,11,12.54545455,0.454545455,0.079710145
WIDP99-0729,1.06,89,2.9,3,29.66666667,0.966666667,0.033707865
WIDP99-0737,1.45,121,2.1,21,5.761904762,0.1,0.173553719
WIDP99-0738,2.15,144,1.4,16,9,0.0875,0.111111111
WIDP99-0768,2.04,221,3.6,32,6.90625,0.1125,0.14479638
WIDP99-0769,0.62,104,0,3,34.66666667,0,0.028846154
WIDP99-0770,1.56,83,0,19,4.368421053,0,0.228915663
WIDP99-0772,0.98,319,4.3,76,4.197368421,0.056578947,0.238244514
WMTP99-0503,0.84,38,1.3,5,7.6,0.26,0.131578947
WMTP99-0505,3,183,0,27,6.777777778,0,0.147540984
WMTP99-0507,0.79,67,2.1,2,33.5,1.05,0.029850746
WMTP99-0509,3.74,223,7.1,85,2.623529412,0.083529412,0.381165919
WMTP99-0510,2.79,209,5,14,14.92857143,0.357142857,0.066985646
WMTP99-0515,0.64,44,0,1,44,0,0.022727273
WMTP99-0516,1.25,98,3.6,5,19.6,0.72,0.051020408
WMTP99-0517,1.04,34,0,2,17,0,0.058823529
WMTP99-0518,1.19,85,1.4,7,12.14285714,0.2,0.082352941
WMTP99-0521,2,83,0,32,2.59375,0,0.385542169
WMTP99-0523,0.62,900,5.7,2,450,2.85,0.002222222
WMTP99-0600,0.8,49,0,2,24.5,0,0.040816327
WMTP99-0604,7.95,556,0,22,25.27272727,0,0.039568345
WMTP99-0607,0.58,66,2.9,0,NA,NA,NA
WMTP99-0608,0.8,76,5,1,76,5,0.013157895
WMTP99-0609,2.08,95,0,1,95,0,0.010526316
WMTP99-0613,1.47,885,52.1,5,177,10.42,0.005649718
WMTP99-0628,2.06,114,0,2,57,0,0.01754386
WMTP99-0633,4.46,128,0,8,16,0,0.0625
WMTP99-0635,39.27,4200,2.9,452,9.292035398,0.006415929,0.107619048
WMTP99-0648,9.9,789,0,40,19.725,0,0.050697085
WMTP99-0653,9.27,1334,0,166,8.036144578,0,0.124437781
WMTP99-0697,5.57,455,0,19,23.94736842,0,0.041758242
WMTP99-0698,1.98,134,0,15,8.933333333,0,0.111940299
WMTP99-0699,0.89,154,0,13,11.84615385,0,0.084415584
WMTP99-0701,0.77,129,5.7,7,18.42857143,0.814285714,0.054263566
WMTP99-0702,1.29,134,2.1,19,7.052631579,0.110526316,0.141791045
WMTP99-0703,0.76,161,7.1,0,NA,NA,NA
WMTP99-0704,2.55,185,3.6,25,7.4,0.144,0.135135135
WMTP99-0705,1.54,64,0,9,7.111111111,0,0.140625
WMTP99-0707,1.48,210,4.3,7,30,0.614285714,0.033333333
WMTP99-0712,3.34,1633,69.2,196,8.331632653,0.353061224,0.120024495
WMTP99-0713,0.71,128,5.8,1,128,5.8,0.0078125
WMTP99-0715,3.99,629,7.1,68,9.25,0.104411765,0.108108108
WMTP99-0716,2.06,71,0,1,71,0,0.014084507
WMTP99-0719,3.28,194,2,102,1.901960784,0.019607843,0.525773196
WMTP99-0721,1.67,113,0,13,8.692307692,0,0.115044248
WMTP99-0722,1.19,176,10.8,1,176,10.8,0.005681818
WMTP99-0723,2.06,99,1.4,7,14.14285714,0.2,0.070707071
WMTP99-0727,0.91,306,11.4,11,27.81818182,1.036363636,0.035947712
WMTP99-0729,1.96,115,0,18,6.388888889,0,0.156521739
WMTP99-0731,5.27,1060,8.2,534,1.985018727,0.015355805,0.503773585
WMTP99-0733,2.16,723,28.6,191,3.785340314,0.14973822,0.26417704
WMTP99-0745,2.02,226,3.3,53,4.264150943,0.062264151,0.234513274
WMTP99-0748,5.8,788,2.1,420,1.876190476,0.005,0.532994924
WMTP99-0749,1.12,138,4.6,4,34.5,1.15,0.028985507
WMTP99-0793,4.33,616,0,107,5.757009346,0,0.173701299
WMTP99-0801,0.95,203,10,18,11.27777778,0.555555556,0.088669951
WMTP99-0803,1.81,163,0,19,8.578947368,0,0.116564417
WMTP99-0804,10.57,721,0,15,48.06666667,0,0.020804438
WMTP99-0836,1.1,83,4.3,3,27.66666667,1.433333333,0.036144578
WMTP99-0837,1.11,43,2.9,1,43,2.9,0.023255814
WMTP99-0838,2.03,174,2.1,18,9.666666667,0.116666667,0.103448276
WMTP99-0839,0.82,78,2.9,4,19.5,0.725,0.051282051
WNDP99-0505,8.58,954,2.9,228,4.184210526,0.012719298,0.238993711
WNDP99-0506,13.67,1994,28.6,326,6.116564417,0.087730061,0.163490471
WNDP99-0507,14.05,948,0,17,55.76470588,0,0.017932489
WNDP99-0508,10.02,814,0,30,27.13333333,0,0.036855037
WNDP99-0514,9.84,3500,17.1,5418,0.645994832,0.003156146,1.548
WNDP99-0529,13.14,926,0,34,27.23529412,0,0.036717063
WNDP99-0531,15.73,1128,5,214,5.271028037,0.023364486,0.189716312
WNDP99-0539,9.75,976,2.1,65,15.01538462,0.032307692,0.066598361
WNDP99-0544,8.1,569,2.1,18,31.61111111,0.116666667,0.031634446
WNDP99-0546,5.21,5133,22.8,1485,3.456565657,0.015353535,0.2893045
WNDP99-0570,16.49,2065,4.3,541,3.817005545,0.007948244,0.261985472
WNDP99-0574,11.21,809,0,154,5.253246753,0,0.190358467
WNDP99-0575,6.82,1250,25,112,11.16071429,0.223214286,0.0896
WNDP99-0576,17.13,1701,5.7,144,11.8125,0.039583333,0.084656085
WNDP99-0578,20.44,1723,0,169,10.19526627,0,0.098084736
WNDP99-0580,13.63,2215,20.7,390,5.679487179,0.053076923,0.176072235
WNDP99-0582,17.07,1645,8.6,214,7.686915888,0.040186916,0.130091185
WNDP99-0584,11.41,1089,0,129,8.441860465,0,0.1184573
WNDP99-0605,11.15,870,0,60,14.5,0,0.068965517
WNDP99-0611,19.76,2420,2.9,455,5.318681319,0.006373626,0.188016529
WNDP99-0615,9.13,1014,0,264,3.840909091,0,0.26035503
WNDP99-0617,17.5,1575,4.3,87,18.10344828,0.049425287,0.055238095
WNDP99-0633,6.18,533,0,171,3.116959064,0,0.320825516
WNDP99-0648,9.58,972,2.9,205,4.741463415,0.014146341,0.21090535
WNDP99-0650,5.68,558,0,96,5.8125,0,0.172043011
WNDP99-0654,11.21,772,0,143,5.398601399,0,0.185233161
WNDP99-0655,4.92,671,7.9,48,13.97916667,0.164583333,0.071535022
WNDP99-0671,28.77,3410,5,618,5.517799353,0.008090615,0.181231672
WNDP99-0676,15.41,1425,0,232,6.142241379,0,0.162807018
WNDP99-0680,14.62,1600,0,937,1.707577375,0,0.585625
WNDP99-0683,10.57,1559,27.1,229,6.807860262,0.118340611,0.146889031
WNDP99-0685,11.01,914,0,100,9.14,0,0.10940919
WNDP99-0688,19.41,2261,5,181,12.49171271,0.027624309,0.080053074
WNDP99-0689,6.86,1128,7.1,165,6.836363636,0.043030303,0.146276596
WNDP99-0700,19.82,3823,2.1,2587,1.477773483,0.000811751,0.676693696
WNDP99-0701,18.78,1120,0,45,24.88888889,0,0.040178571
WNDP99-0703,8.27,812,0,75,10.82666667,0,0.092364532
WNDP99-0706,13.07,1014,0,20,50.7,0,0.019723866
WNDP99-0707,19.13,1089,0,35,31.11428571,0,0.032139578
WNDP99-0711,10.38,1668,5,148,11.27027027,0.033783784,0.088729017
WNDP99-0712,17.74,1713,0,254,6.744094488,0,0.148277875
WNDP99-0713,24.75,1949,0,145,13.44137931,0,0.074397127
WNDP99-0714,12.04,864,0,52,16.61538462,0,0.060185185
WNDP99-0716,8.19,725,0,181,4.005524862,0,0.249655172
WNDP99-0717,15.3,1965,0,390,5.038461538,0,0.198473282
WNVP99-0503,1.41,353,7.1,106,3.330188679,0.066981132,0.300283286
WNVP99-0505,1.54,773,10,179,4.318435754,0.055865922,0.23156533
WNVP99-0509,2.72,764,3.6,266,2.872180451,0.013533835,0.348167539
WNVP99-0511,3.84,704,7.9,237,2.970464135,0.033333333,0.336647727
WNVP99-0514,0.94,91,0,7,13,0,0.076923077
WNVP99-0516,2.07,194,2.9,40,4.85,0.0725,0.206185567
WNVP99-0518,2.19,423,7.1,99,4.272727273,0.071717172,0.234042553
WNVP99-0519,1.51,271,0,26,10.42307692,0,0.095940959
WNVP99-0520,1.43,1898,114.2,25,75.92,4.568,0.01317176
WNVP99-0521,2.95,501,2.9,76,6.592105263,0.038157895,0.151696607
WNVP99-0522,1.23,575,3.6,50,11.5,0.072,0.086956522
WNVP99-0524,1.62,1729,98.5,5,345.8,19.7,0.002891845
WNVP99-0555,2.35,525,0,149,3.523489933,0,0.283809524
WNVP99-0556,3.36,464,0,32,14.5,0,0.068965517
WNVP99-0557,1.36,123,0,77,1.597402597,0,0.62601626
WNVP99-0559,4.48,285,1.4,33,8.636363636,0.042424242,0.115789474
WNVP99-0561,1.43,228,6.4,38,6,0.168421053,0.166666667
WNVP99-0562,5.95,836,2.1,52,16.07692308,0.040384615,0.062200957
WNVP99-0566,3.61,246,2.1,114,2.157894737,0.018421053,0.463414634
WNVP99-0570,0.89,576,31.4,33,17.45454545,0.951515152,0.057291667
WNVP99-0571,0.77,74,1.4,30,2.466666667,0.046666667,0.405405405
WNVP99-0573,2.14,366,8.6,76,4.815789474,0.113157895,0.207650273
WNVP99-0576,0.8,234,11.4,22,10.63636364,0.518181818,0.094017094
WNVP99-0577,1.05,210,9.3,20,10.5,0.465,0.095238095
