"SITECODE","LCODE","SDATE","SHOUR","SMINS","LAB_NID","PHDATE","PHHOUR","PHMINS","FILTDATE","COMPDATE"
"T08","02",31-DEC-15,9,2,"",04-JAN-16,13,35,,
"T08","01",31-DEC-15,12,25,"",04-JAN-16,13,35,,
"T08","04",31-DEC-15,9,35,"",04-JAN-16,13,35,,
"T08","03",31-DEC-15,11,35,"",,,,,
"T02","01",30-DEC-15,14,55,"",11-JAN-16,10,12,11-JAN-16,22-JAN-16
"T04","01",29-DEC-15,10,45,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T04","03",29-DEC-15,11,40,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T07","02",29-DEC-15,14,10,"",15-JAN-16,12,49,15-JAN-16,28-JAN-16
"T07","01",29-DEC-15,15,20,"",15-JAN-16,12,45,15-JAN-16,28-JAN-16
"T04","02",29-DEC-15,13,56,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T08","03",23-DEC-15,12,20,"",,,,,
"T08","04",23-DEC-15,10,35,"",23-DEC-15,19,10,,
"T02","01",23-DEC-15,,,"",,,,,
"T04","01",23-DEC-15,12,30,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T04","02",23-DEC-15,12,13,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T05","01",23-DEC-15,10,10,"",23-DEC-15,,,23-DEC-15,
"T04","03",23-DEC-15,13,0,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T05","03",23-DEC-15,9,27,"",23-DEC-15,,,23-DEC-15,
"T05","02",23-DEC-15,9,25,"",23-DEC-15,,,23-DEC-15,
"T06","01",23-DEC-15,10,33,"",,,,,
"T07","02",23-DEC-15,9,20,"",15-JAN-16,11,57,15-JAN-16,28-JAN-16
"T07","01",23-DEC-15,11,10,"",15-JAN-16,11,53,15-JAN-16,28-JAN-16
"T08","01",23-DEC-15,13,55,"",23-DEC-15,16,10,,
"T08","02",23-DEC-15,10,0,"",23-DEC-15,17,10,,
"T08","02",16-DEC-15,9,56,"",16-DEC-15,14,51,,
"T08","03",16-DEC-15,11,25,"",,,,,
"T04","01",16-DEC-15,11,30,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T02","01",16-DEC-15,14,20,"",11-JAN-16,10,4,11-JAN-16,22-JAN-16
"T08","01",16-DEC-15,12,15,"",16-DEC-15,14,51,,
"T04","03",16-DEC-15,11,48,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T06","01",16-DEC-15,9,41,"",,,,,
"T04","02",16-DEC-15,12,0,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T08","04",16-DEC-15,10,30,"",16-DEC-15,14,51,,
"T07","01",15-DEC-15,11,10,"",17-DEC-15,12,33,17-DEC-15,14-JAN-16
"T07","02",15-DEC-15,9,50,"",17-DEC-15,12,37,17-DEC-15,14-JAN-16
"T08","01",10-DEC-15,12,55,"",,,,,
"T08","02",10-DEC-15,10,37,"",11-DEC-15,10,46,,
"T08","03",10-DEC-15,12,15,"",,,,,
"T08","04",10-DEC-15,11,6,"",11-DEC-15,10,46,,
"T04","03",09-DEC-15,13,5,"",17-DEC-15,11,50,17-DEC-15,22-FEB-16
"T05","02",09-DEC-15,9,42,"",09-DEC-15,,,09-DEC-15,
"T07","01",09-DEC-15,10,55,"",17-DEC-15,11,40,17-DEC-15,14-JAN-16
"T04","01",09-DEC-15,12,0,"",15-DEC-15,10,55,15-DEC-15,22-FEB-16
"T05","03",09-DEC-15,9,44,"",09-DEC-15,,,09-DEC-15,
"T02","01",09-DEC-15,10,25,"",10-DEC-15,9,54,10-DEC-15,22-JAN-16
"T06","01",09-DEC-15,10,35,"",,,,,
"T07","02",09-DEC-15,9,10,"",17-DEC-15,11,44,17-DEC-15,14-JAN-16
"T04","02",09-DEC-15,12,25,"",15-DEC-15,10,55,15-DEC-15,22-FEB-16
"T05","01",09-DEC-15,9,50,"",09-DEC-15,,,09-DEC-15,
"T08","01",02-DEC-15,12,45,"",02-DEC-15,14,42,,
"T08","02",02-DEC-15,10,2,"",02-DEC-15,14,42,,
"T07","01",02-DEC-15,10,30,"",17-DEC-15,11,27,17-DEC-15,14-JAN-16
"T04","01",02-DEC-15,11,28,"",04-DEC-15,11,40,04-DEC-15,22-FEB-16
"T04","02",02-DEC-15,12,5,"",04-DEC-15,11,40,04-DEC-15,22-FEB-16
"T08","03",02-DEC-15,11,55,"",,,,,
"T02","01",02-DEC-15,10,45,"",10-DEC-15,9,46,10-DEC-15,22-JAN-16
"T04","03",02-DEC-15,12,57,"",04-DEC-15,11,40,04-DEC-15,22-FEB-16
"T08","04",02-DEC-15,10,30,"",02-DEC-15,14,42,,
"T06","01",02-DEC-15,10,0,"",,,,,
"T07","02",02-DEC-15,9,15,"",17-DEC-15,11,31,17-DEC-15,14-JAN-16
"T04","02",25-NOV-15,13,40,"",26-NOV-15,11,20,26-NOV-15,04-FEB-16
"T06","01",25-NOV-15,10,49,"",,,,,
"T04","01",25-NOV-15,10,52,"",26-NOV-15,11,20,26-NOV-15,04-FEB-16
"T05","01",25-NOV-15,10,12,"",25-NOV-15,,,25-NOV-15,
"T07","02",25-NOV-15,9,45,"",17-DEC-15,10,21,17-DEC-15,14-JAN-16
"T08","04",25-NOV-15,10,36,"",26-NOV-15,13,38,,
"T08","01",25-NOV-15,12,45,"",26-NOV-15,13,38,,
"T04","03",25-NOV-15,13,47,"",26-NOV-15,11,20,26-NOV-15,04-FEB-16
"T08","02",25-NOV-15,10,14,"",26-NOV-15,13,38,,
"T02","01",25-NOV-15,10,15,"",26-NOV-15,9,43,26-NOV-15,04-DEC-15
"T07","01",25-NOV-15,11,40,"",17-DEC-15,10,17,17-DEC-15,14-JAN-16
"T05","03",25-NOV-15,10,3,"",25-NOV-15,,,25-NOV-15,
"T08","03",25-NOV-15,11,45,"",,,,,
"T05","02",25-NOV-15,10,0,"",25-NOV-15,,,25-NOV-15,
"T08","02",18-NOV-15,12,0,"",19-NOV-15,,,,
"T07","02",18-NOV-15,15,10,"",20-NOV-15,10,58,20-NOV-15,08-DEC-15
"T02","01",18-NOV-15,14,34,"",26-NOV-15,9,34,26-NOV-15,04-DEC-15
"T07","01",18-NOV-15,16,20,"",20-NOV-15,10,54,20-NOV-15,08-DEC-15
"T08","01",18-NOV-15,12,15,"",19-NOV-15,,,,
"T04","01",18-NOV-15,10,55,"",19-NOV-15,10,30,19-NOV-15,04-FEB-16
"T08","04",18-NOV-15,10,20,"",19-NOV-15,,,,
"T06","01",18-NOV-15,9,47,"",,,,,
"T04","02",18-NOV-15,13,40,"",19-NOV-15,10,30,19-NOV-15,04-FEB-16
"T04","03",18-NOV-15,13,46,"",19-NOV-15,10,30,19-NOV-15,04-FEB-16
"T08","03",18-NOV-15,11,20,"",,,,,
"T04","03",11-NOV-15,12,45,"",12-NOV-15,12,30,12-NOV-15,25-JAN-16
"T05","03",11-NOV-15,9,53,"",11-NOV-15,,,11-NOV-15,
"T05","02",11-NOV-15,9,50,"",11-NOV-15,,,11-NOV-15,
"T07","01",11-NOV-15,,,"",,,,,
"T06","01",11-NOV-15,10,41,"",,,,,
"T07","02",11-NOV-15,,,"",,,,,
"T08","01",11-NOV-15,12,10,"",,,,,
"T08","02",11-NOV-15,9,58,"",11-NOV-15,14,49,,
"T08","03",11-NOV-15,11,45,"",,,,,
"T08","04",11-NOV-15,10,30,"",11-NOV-15,14,49,,
"T02","01",11-NOV-15,11,5,"",12-NOV-15,10,3,12-NOV-15,15-DEC-15
"T04","01",11-NOV-15,10,50,"",12-NOV-15,12,30,12-NOV-15,25-JAN-16
"T04","02",11-NOV-15,12,55,"",12-NOV-15,12,30,12-NOV-15,25-JAN-16
"T05","01",11-NOV-15,10,0,"",11-NOV-15,,,11-NOV-15,
"T02","01",04-NOV-15,10,35,"",12-NOV-15,9,55,12-NOV-15,15-DEC-15
"T07","02",04-NOV-15,,,"",,,,,
"T08","01",04-NOV-15,14,30,"",,,,,
"T04","01",04-NOV-15,10,20,"",05-NOV-15,12,0,05-NOV-15,25-JAN-16
"T08","04",04-NOV-15,11,28,"",05-NOV-15,10,43,,
"T04","03",04-NOV-15,10,59,"",05-NOV-15,12,0,05-NOV-15,25-JAN-16
"T04","02",04-NOV-15,11,20,"",05-NOV-15,12,0,05-NOV-15,25-JAN-16
"T06","01",04-NOV-15,9,37,"",,,,,
"T08","03",04-NOV-15,14,30,"",,,,,
"T07","01",04-NOV-15,,,"",,,,,
"T08","02",04-NOV-15,13,20,"",05-NOV-15,10,43,,
"T08","04",28-OCT-15,9,35,"",29-OCT-15,10,49,,
"T06","01",28-OCT-15,10,12,"",,,,,
"T04","01",28-OCT-15,10,39,"",29-OCT-15,11,0,29-OCT-15,21-DEC-15
"T05","02",28-OCT-15,10,6,"",28-OCT-15,,,28-OCT-15,
"T07","02",28-OCT-15,10,50,"",20-NOV-15,10,6,20-NOV-15,08-DEC-15
"T08","03",28-OCT-15,13,0,"",,,,,
"T08","01",28-OCT-15,11,45,"",,,,,
"T04","02",28-OCT-15,12,5,"",29-OCT-15,11,0,29-OCT-15,21-DEC-15
"T08","02",28-OCT-15,9,1,"",29-OCT-15,10,49,,
"T02","01",28-OCT-15,10,10,"",29-OCT-15,10,19,29-OCT-15,03-DEC-15
"T07","01",28-OCT-15,11,10,"",20-NOV-15,10,2,20-NOV-15,08-DEC-15
"T05","01",28-OCT-15,10,15,"",28-OCT-15,,,28-OCT-15,
"T04","03",28-OCT-15,11,50,"",29-OCT-15,11,0,29-OCT-15,21-DEC-15
"T05","03",28-OCT-15,10,8,"",28-OCT-15,,,28-OCT-15,
"T08","02",21-OCT-15,8,55,"",22-OCT-15,9,48,,
"T07","02",21-OCT-15,14,25,"",23-OCT-15,12,9,23-OCT-15,03-DEC-15
"T04","01",21-OCT-15,9,54,"",22-OCT-15,11,0,22-OCT-15,21-DEC-15
"T02","01",21-OCT-15,8,47,"",29-OCT-15,10,11,29-OCT-15,03-DEC-15
"T07","01",21-OCT-15,16,0,"",23-OCT-15,12,5,23-OCT-15,03-DEC-15
"T04","03",21-OCT-15,10,30,"",22-OCT-15,11,0,22-OCT-15,21-DEC-15
"T08","04",21-OCT-15,9,25,"",22-OCT-15,9,48,,
"T08","03",21-OCT-15,10,35,"",,,,,
"T06","01",21-OCT-15,9,45,"",,,,,
"T04","02",21-OCT-15,10,40,"",22-OCT-15,11,0,22-OCT-15,21-DEC-15
"T08","01",21-OCT-15,11,30,"",,,,,
"T04","03",14-OCT-15,13,8,"",15-OCT-15,12,0,15-OCT-15,17-DEC-15
"T05","03",14-OCT-15,8,52,"",14-OCT-15,,,14-OCT-15,
"T07","01",14-OCT-15,11,10,"",23-OCT-15,11,18,23-OCT-15,03-DEC-15
"T06","01",14-OCT-15,7,48,"",,,,,
"T07","02",14-OCT-15,10,45,"",23-OCT-15,11,22,23-OCT-15,03-DEC-15
"T08","01",14-OCT-15,10,50,"",,,,,
"T08","02",14-OCT-15,8,11,"",15-OCT-15,10,8,,
"T08","04",14-OCT-15,8,37,"",,,,,
"T08","03",14-OCT-15,12,0,"",,,,,
"T02","01",14-OCT-15,10,0,"",15-OCT-15,10,15,15-OCT-15,21-OCT-15
"T04","01",14-OCT-15,9,52,"",15-OCT-15,12,0,15-OCT-15,17-DEC-15
"T04","02",14-OCT-15,11,15,"",15-OCT-15,12,0,15-OCT-15,17-DEC-15
"T05","02",14-OCT-15,8,50,"",14-OCT-15,,,14-OCT-15,
"T05","01",14-OCT-15,9,0,"",14-OCT-15,,,14-OCT-15,
"T02","01",07-OCT-15,8,17,"",15-OCT-15,10,7,15-OCT-15,21-OCT-15
"T07","02",07-OCT-15,9,35,"",23-OCT-15,11,9,23-OCT-15,03-DEC-15
"T08","01",07-OCT-15,11,30,"",,,,,
"T04","01",07-OCT-15,9,34,"",09-OCT-15,10,30,09-OCT-15,17-DEC-15
"T08","03",07-OCT-15,10,31,"",,,,,
"T04","03",07-OCT-15,11,11,"",09-OCT-15,10,30,09-OCT-15,17-DEC-15
"T06","01",07-OCT-15,8,4,"",,,,,
"T08","04",07-OCT-15,8,44,"",08-OCT-15,9,56,,
"T07","01",07-OCT-15,10,0,"",23-OCT-15,11,5,23-OCT-15,03-DEC-15
"T08","02",07-OCT-15,8,15,"",08-OCT-15,9,56,,
"T04","02",07-OCT-15,12,30,"",09-OCT-15,10,30,09-OCT-15,17-DEC-15
"T05","01",30-SEP-15,8,50,"",30-SEP-15,,,30-SEP-15,
"T05","03",30-SEP-15,8,44,"",30-SEP-15,,,30-SEP-15,
"T07","01",30-SEP-15,11,15,"",23-OCT-15,10,17,23-OCT-15,03-DEC-15
"T06","01",30-SEP-15,8,1,"",,,,,
"T08","03",30-SEP-15,13,30,"",01-OCT-15,14,25,,
"T04","02",30-SEP-15,11,0,"",01-OCT-15,10,58,01-OCT-15,04-NOV-15
"T07","02",30-SEP-15,10,55,"",23-OCT-15,10,21,23-OCT-15,03-DEC-15
"T08","01",30-SEP-15,12,0,"",01-OCT-15,14,25,,
"T08","02",30-SEP-15,8,21,"",01-OCT-15,14,25,,
"T02","01",30-SEP-15,9,10,"",01-OCT-15,11,24,01-OCT-15,07-OCT-15
"T04","01",30-SEP-15,9,40,"",01-OCT-15,10,58,01-OCT-15,04-NOV-15
"T08","04",30-SEP-15,11,16,"",01-OCT-15,14,25,,
"T04","03",30-SEP-15,13,0,"",01-OCT-15,10,58,01-OCT-15,04-NOV-15
"T05","02",30-SEP-15,8,42,"",30-SEP-15,,,30-SEP-15,
"T04","01",23-SEP-15,10,30,"",25-SEP-15,11,20,25-SEP-15,04-NOV-15
"T08","02",23-SEP-15,7,45,"",24-SEP-15,12,38,,
"T07","01",23-SEP-15,10,55,"",25-SEP-15,11,27,25-SEP-15,06-OCT-15
"T04","02",23-SEP-15,14,50,"",25-SEP-15,11,20,25-SEP-15,04-NOV-15
"T04","03",23-SEP-15,14,40,"",25-SEP-15,11,20,25-SEP-15,04-NOV-15
"T08","03",23-SEP-15,10,58,"",24-SEP-15,12,38,,
"T07","02",23-SEP-15,10,30,"",25-SEP-15,11,31,25-SEP-15,06-OCT-15
"T08","04",23-SEP-15,8,18,"",24-SEP-15,12,38,,
"T08","01",23-SEP-15,10,5,"",24-SEP-15,12,38,,
"T06","01",23-SEP-15,7,57,"",,,,,
"T02","01",23-SEP-15,8,55,"",01-OCT-15,11,20,01-OCT-15,07-OCT-15
"T05","01",16-SEP-15,9,20,"",16-SEP-15,,,16-SEP-15,
"T04","03",16-SEP-15,11,20,"",17-SEP-15,11,15,17-SEP-15,04-NOV-15
"T05","03",16-SEP-15,9,12,"",16-SEP-15,,,16-SEP-15,
"T08","04",16-SEP-15,12,9,"",17-SEP-15,12,49,,
"T06","01",16-SEP-15,7,57,"",,,,,
"T04","02",16-SEP-15,11,35,"",17-SEP-15,11,15,17-SEP-15,04-NOV-15
"T05","02",16-SEP-15,9,10,"",16-SEP-15,,,16-SEP-15,
"T07","01",16-SEP-15,11,10,"",25-SEP-15,10,51,25-SEP-15,06-OCT-15
"T07","02",16-SEP-15,10,45,"",25-SEP-15,10,55,25-SEP-15,06-OCT-15
"T04","01",16-SEP-15,10,22,"",17-SEP-15,11,15,17-SEP-15,04-NOV-15
"T02","01",16-SEP-15,9,15,"",17-SEP-15,11,6,17-SEP-15,01-OCT-15
"T08","01",16-SEP-15,10,35,"",17-SEP-15,12,49,,
"T08","03",16-SEP-15,13,30,"",17-SEP-15,12,49,,
"T08","02",16-SEP-15,9,45,"",17-SEP-15,12,49,,
"T07","01",09-SEP-15,10,0,"",25-SEP-15,10,38,25-SEP-15,06-OCT-15
"T06","01",09-SEP-15,7,52,"",,,,,
"T07","02",09-SEP-15,9,45,"",25-SEP-15,10,42,25-SEP-15,06-OCT-15
"T08","01",09-SEP-15,12,0,"",10-SEP-15,10,5,,
"T08","02",09-SEP-15,9,20,"",10-SEP-15,10,5,,
"T08","04",09-SEP-15,10,50,"",10-SEP-15,10,5,,
"T08","03",09-SEP-15,15,10,"",10-SEP-15,10,5,,
"T02","01",09-SEP-15,11,20,"",17-SEP-15,10,58,17-SEP-15,01-OCT-15
"T04","01",09-SEP-15,9,40,"",10-SEP-15,11,45,10-SEP-15,04-NOV-15
"T04","03",09-SEP-15,10,19,"",10-SEP-15,11,45,10-SEP-15,04-NOV-15
"T04","02",09-SEP-15,10,35,"",10-SEP-15,11,45,10-SEP-15,04-NOV-15
"T07","01",02-SEP-15,11,15,"",25-SEP-15,9,50,25-SEP-15,06-OCT-15
"T06","01",02-SEP-15,7,55,"",,,,,
"T04","03",02-SEP-15,12,25,"",03-SEP-15,11,30,03-SEP-15,02-OCT-15
"T08","03",02-SEP-15,12,50,"",03-SEP-15,10,5,,
"T04","01",02-SEP-15,9,55,"",03-SEP-15,11,30,03-SEP-15,02-OCT-15
"T08","04",02-SEP-15,9,41,"",03-SEP-15,10,5,,
"T05","02",02-SEP-15,10,10,"",02-SEP-15,,,02-SEP-15,
"T08","01",02-SEP-15,11,25,"",03-SEP-15,10,5,,
"T08","02",02-SEP-15,9,15,"",03-SEP-15,10,5,,
"T05","03",02-SEP-15,10,12,"",02-SEP-15,,,02-SEP-15,
"T02","01",02-SEP-15,9,35,"",17-SEP-15,9,39,17-SEP-15,01-OCT-15
"T04","02",02-SEP-15,12,15,"",03-SEP-15,11,30,03-SEP-15,02-OCT-15
"T05","01",02-SEP-15,8,42,"",02-SEP-15,,,02-SEP-15,
"T07","02",02-SEP-15,11,0,"",25-SEP-15,9,54,25-SEP-15,06-OCT-15
"T08","01",26-AUG-15,10,43,"",28-AUG-15,11,45,,
"T07","02",26-AUG-15,10,30,"",28-AUG-15,10,34,28-AUG-15,04-NOV-15
"T08","03",26-AUG-15,12,15,"",30-AUG-15,11,45,,
"T04","03",26-AUG-15,12,20,"",27-AUG-15,11,30,27-AUG-15,02-OCT-15
"T04","02",26-AUG-15,12,10,"",27-AUG-15,11,30,27-AUG-15,02-OCT-15
"T08","02",26-AUG-15,9,5,"",29-AUG-15,11,45,,
"T08","04",26-AUG-15,9,31,"",31-AUG-15,11,45,,
"T06","01",26-AUG-15,7,32,"",,,,,
"T07","01",26-AUG-15,11,50,"",28-AUG-15,10,30,28-AUG-15,04-NOV-15
"T02","01",26-AUG-15,8,20,"",17-SEP-15,9,31,17-SEP-15,01-OCT-15
"T04","01",26-AUG-15,10,42,"",27-AUG-15,11,30,27-AUG-15,02-OCT-15
"T08","02",19-AUG-15,9,30,"",20-AUG-15,13,30,,
"T08","04",19-AUG-15,9,50,"",20-AUG-15,13,30,,
"T08","03",19-AUG-15,14,45,"",20-AUG-15,13,30,,
"T02","01",19-AUG-15,9,40,"",20-AUG-15,10,10,20-AUG-15,27-AUG-15
"T04","01",19-AUG-15,9,50,"",25-AUG-15,10,0,25-AUG-15,02-OCT-15
"T04","03",19-AUG-15,13,0,"",25-AUG-15,10,0,25-AUG-15,02-OCT-15
"T04","02",19-AUG-15,12,0,"",25-AUG-15,10,0,25-AUG-15,02-OCT-15
"T05","02",19-AUG-15,8,18,"",19-AUG-15,,,19-AUG-15,
"T05","01",19-AUG-15,8,25,"",19-AUG-15,,,19-AUG-15,
"T06","01",19-AUG-15,7,43,"",,,,,
"T05","03",19-AUG-15,8,19,"",19-AUG-15,,,19-AUG-15,
"T07","01",19-AUG-15,11,10,"",28-AUG-15,9,59,28-AUG-15,04-NOV-15
"T07","02",19-AUG-15,10,50,"",28-AUG-15,10,3,28-AUG-15,04-NOV-15
"T08","01",19-AUG-15,13,20,"",20-AUG-15,13,30,,
"T08","04",12-AUG-15,9,40,"",13-AUG-15,11,15,,
"T08","03",12-AUG-15,10,40,"",13-AUG-15,11,15,,
"T04","02",12-AUG-15,11,30,"",13-AUG-15,11,43,13-AUG-15,02-OCT-15
"T07","02",12-AUG-15,9,45,"",28-AUG-15,9,51,28-AUG-15,04-NOV-15
"T04","03",12-AUG-15,9,20,"",13-AUG-15,11,43,13-AUG-15,02-OCT-15
"T04","01",12-AUG-15,9,55,"",13-AUG-15,11,43,13-AUG-15,02-OCT-15
"T02","01",12-AUG-15,13,47,"",20-AUG-15,10,1,20-AUG-15,27-AUG-15
"T07","01",12-AUG-15,10,0,"",28-AUG-15,9,47,28-AUG-15,04-NOV-15
"T06","01",12-AUG-15,7,45,"",,,,,
"T08","02",12-AUG-15,9,20,"",13-AUG-15,11,15,,
"T08","01",12-AUG-15,11,12,"",13-AUG-15,11,15,,
"T08","01",05-AUG-15,10,30,"",06-AUG-15,9,55,,
"T04","03",05-AUG-15,10,52,"",07-AUG-15,11,30,07-AUG-15,17-SEP-15
"T07","02",05-AUG-15,10,45,"",28-AUG-15,9,16,28-AUG-15,04-NOV-15
"T08","03",05-AUG-15,9,10,"",06-AUG-15,9,55,,
"T07","01",05-AUG-15,11,5,"",28-AUG-15,9,12,28-AUG-15,04-NOV-15
"T02","01",05-AUG-15,11,20,"",06-AUG-15,8,20,06-AUG-15,19-AUG-15
"T05","03",05-AUG-15,8,45,"",05-AUG-15,,,05-AUG-15,
"T04","02",05-AUG-15,10,40,"",07-AUG-15,11,30,07-AUG-15,17-SEP-15
"T05","02",05-AUG-15,8,44,"",05-AUG-15,,,05-AUG-15,
"T05","01",05-AUG-15,8,50,"",05-AUG-15,,,05-AUG-15,
"T08","02",05-AUG-15,6,43,"",06-AUG-15,9,55,,
"T04","01",05-AUG-15,11,20,"",07-AUG-15,11,30,07-AUG-15,17-SEP-15
"T08","04",05-AUG-15,9,10,"",06-AUG-15,9,55,,
"T06","01",05-AUG-15,7,55,"",,,,,
"T08","02",29-JUL-15,9,17,"",30-JUL-15,10,50,,
"T02","01",29-JUL-15,11,27,"",06-AUG-15,8,12,06-AUG-15,19-AUG-15
"T04","01",29-JUL-15,9,43,"",30-JUL-15,15,30,30-JUL-15,17-SEP-15
"T04","03",29-JUL-15,14,15,"",30-JUL-15,15,30,30-JUL-15,17-SEP-15
"T08","01",29-JUL-15,11,30,"",30-JUL-15,10,50,,
"T04","02",29-JUL-15,11,0,"",30-JUL-15,15,30,30-JUL-15,17-SEP-15
"T07","02",29-JUL-15,10,45,"",31-JUL-15,10,52,31-JUL-15,11-SEP-15
"T06","01",29-JUL-15,7,41,"",,,,,
"T07","01",29-JUL-15,13,5,"",31-JUL-15,10,48,31-JUL-15,11-SEP-15
"T08","03",29-JUL-15,11,10,"",30-JUL-15,10,50,,
"T08","04",29-JUL-15,9,39,"",30-JUL-15,10,50,,
"T08","02",22-JUL-15,8,55,"",23-JUL-15,11,20,,
"T07","02",22-JUL-15,10,35,"",31-JUL-15,10,9,31-JUL-15,11-SEP-15
"T08","04",22-JUL-15,9,25,"",23-JUL-15,11,20,,
"T05","02",22-JUL-15,8,40,"",22-JUL-15,,,22-JUL-15,
"T08","01",22-JUL-15,,,"",23-JUL-15,11,20,,
"T06","01",22-JUL-15,7,51,"",,,,,
"T04","02",22-JUL-15,9,15,"",23-JUL-15,13,45,23-JUL-15,11-SEP-15
"T04","01",22-JUL-15,11,30,"",23-JUL-15,13,45,23-JUL-15,11-SEP-15
"T08","03",22-JUL-15,,,"",23-JUL-15,11,20,,
"T05","01",22-JUL-15,8,55,"",22-JUL-15,,,22-JUL-15,
"T07","01",22-JUL-15,10,50,"",31-JUL-15,10,6,31-JUL-15,11-SEP-15
"T05","03",22-JUL-15,8,44,"",22-JUL-15,,,22-JUL-15,
"T04","03",22-JUL-15,9,15,"",23-JUL-15,13,45,23-JUL-15,11-SEP-15
"T02","01",22-JUL-15,9,7,"",23-JUL-15,8,34,23-JUL-15,18-AUG-15
"T06","01",15-JUL-15,8,5,"",,,,,
"T02","01",15-JUL-15,10,45,"",23-JUL-15,8,27,23-JUL-15,18-AUG-15
"T07","01",15-JUL-15,9,55,"",31-JUL-15,9,54,31-JUL-15,11-SEP-15
"T07","02",15-JUL-15,9,40,"",31-JUL-15,9,58,31-JUL-15,11-SEP-15
"T04","01",15-JUL-15,10,40,"",16-JUL-15,12,0,16-JUL-15,11-SEP-15
"T08","04",15-JUL-15,9,32,"",16-JUL-15,14,0,,
"T08","03",15-JUL-15,10,33,"",16-JUL-15,14,0,,
"T08","02",15-JUL-15,8,59,"",16-JUL-15,14,0,,
"T04","03",15-JUL-15,13,20,"",16-JUL-15,12,0,16-JUL-15,11-SEP-15
"T04","02",15-JUL-15,12,40,"",16-JUL-15,12,0,16-JUL-15,11-SEP-15
"T08","01",15-JUL-15,11,5,"",16-JUL-15,14,0,,
"T04","02",08-JUL-15,10,30,"",09-JUL-15,11,0,09-JUL-15,08-SEP-15
"T05","02",08-JUL-15,9,5,"",08-JUL-15,,,08-JUL-15,
"T05","01",08-JUL-15,9,10,"",08-JUL-15,,,08-JUL-15,
"T06","01",08-JUL-15,7,53,"",,,,,
"T05","03",08-JUL-15,9,6,"",08-JUL-15,,,08-JUL-15,
"T07","01",08-JUL-15,11,15,"",31-JUL-15,9,11,31-JUL-15,11-SEP-15
"T07","02",08-JUL-15,11,0,"",31-JUL-15,9,15,31-JUL-15,11-SEP-15
"T08","01",08-JUL-15,10,50,"",09-JUL-15,14,0,,
"T08","03",08-JUL-15,12,55,"",09-JUL-15,14,0,,
"T08","02",08-JUL-15,9,2,"",09-JUL-15,14,0,,
"T08","04",08-JUL-15,9,30,"",09-JUL-15,14,0,,
"T02","01",08-JUL-15,9,50,"",09-JUL-15,9,51,09-JUL-15,16-JUL-15
"T04","01",08-JUL-15,9,50,"",09-JUL-15,11,0,09-JUL-15,08-SEP-15
"T04","03",08-JUL-15,9,23,"",09-JUL-15,11,0,09-JUL-15,08-SEP-15
"T07","01",01-JUL-15,11,25,"",03-JUL-15,11,21,03-JUL-15,15-JUL-15
"T04","01",01-JUL-15,10,15,"",03-JUL-15,11,50,03-JUL-15,08-SEP-15
"T08","02",01-JUL-15,9,12,"",02-JUL-15,9,30,,
"T07","02",01-JUL-15,11,0,"",03-JUL-15,11,25,03-JUL-15,15-JUL-15
"T08","01",01-JUL-15,,,"",02-JUL-15,9,30,,
"T04","03",01-JUL-15,12,25,"",03-JUL-15,11,50,03-JUL-15,08-SEP-15
"T02","01",01-JUL-15,8,15,"",09-JUL-15,9,42,09-JUL-15,16-JUL-15
"T06","01",01-JUL-15,7,56,"",,,,,
"T04","02",01-JUL-15,13,15,"",03-JUL-15,11,50,03-JUL-15,08-SEP-15
"T08","04",01-JUL-15,9,45,"",02-JUL-15,9,30,,
"T08","03",01-JUL-15,13,59,"",02-JUL-15,9,30,,
"T08","04",24-JUN-15,9,35,"",26-JUN-15,10,0,,
"T08","02",24-JUN-15,9,15,"",26-JUN-15,10,0,,
"T08","03",24-JUN-15,11,23,"",26-JUN-15,10,0,,
"T08","01",24-JUN-15,10,48,"",26-JUN-15,10,0,,
"T07","02",24-JUN-15,10,45,"",03-JUL-15,10,49,03-JUL-15,15-JUL-15
"T07","01",24-JUN-15,11,15,"",03-JUL-15,10,45,03-JUL-15,15-JUL-15
"T05","03",24-JUN-15,8,46,"",24-JUN-15,,,24-JUN-15,
"T06","01",24-JUN-15,7,58,"",24-JUN-15,13,10,24-JUN-15,30-JUL-15
"T05","01",24-JUN-15,9,5,"",24-JUN-15,,,24-JUN-15,
"T05","02",24-JUN-15,8,45,"",24-JUN-15,,,24-JUN-15,
"T04","02",24-JUN-15,11,0,"",25-JUN-15,7,45,25-JUN-15,02-SEP-15
"T04","03",24-JUN-15,13,35,"",25-JUN-15,7,45,25-JUN-15,02-SEP-15
"T04","01",24-JUN-15,9,58,"",25-JUN-15,7,45,25-JUN-15,02-SEP-15
"T02","01",24-JUN-15,10,30,"",25-JUN-15,9,6,25-JUN-15,15-JUL-15
"T07","02",17-JUN-15,9,35,"",03-JUL-15,10,37,03-JUL-15,15-JUL-15
