SITECODE,LAT,LON
T02,56.909267,-2.553372
T04,54.695042,-2.38785
T05,50.781933,-3.917806
T06,51.803425,-0.372683
T07,55.489853,-2.212033
T08,51.78135,-1.336058
T11,53.07455,-4.033511
T12,57.116344,-3.829717
