"SITECODE","SDATE","FIELDNAME","VALUE"
"T05",01-JAN-96,"CALCIUM",4.438
"T05",01-JAN-96,"SODIUM",4.079
"T05",01-JAN-96,"CHLORIDE",12.027
"T05",01-JAN-96,"CHLORIDE",12.669
"T05",01-JAN-96,"MAGNESIUM",2.413
"T05",01-JAN-96,"MAGNESIUM",2.492
"T05",01-JAN-96,"NH4N",0
"T05",01-JAN-96,"NO3N",0.779
"T05",01-JAN-96,"NO3N",0.782
"T05",01-JAN-96,"NO3N",0.842
"T05",01-JAN-96,"PO4P",0.105
"T05",01-JAN-96,"PO4P",0.133
"T05",01-JAN-96,"PO4P",0.137
"T05",01-JAN-96,"POTASSIUM",3.68
"T05",01-JAN-96,"POTASSIUM",3.753
"T05",01-JAN-96,"SO4S",1.731
"T05",01-JAN-96,"SO4S",1.8
"T05",01-JAN-96,"SO4S",2.26
"T05",01-JAN-96,"SODIUM",4.022
"T05",01-JAN-96,"CALCIUM",4.676
"T05",03-JAN-96,"CALCIUM",4.128
"T03",03-JAN-96,"SODIUM",3.3
"T05",03-JAN-96,"MAGNESIUM",2.344
"T05",03-JAN-96,"NH4N",0
"T05",03-JAN-96,"NO3N",0.759
"T05",03-JAN-96,"PO4P",0.133
"T05",03-JAN-96,"POTASSIUM",3.697
"T05",03-JAN-96,"SO4S",1.743
"T05",03-JAN-96,"SODIUM",4.048
"T03",03-JAN-96,"ALUMINIUM",0.23
"T03",03-JAN-96,"CALCIUM",4.66
"T03",03-JAN-96,"CHLORIDE",12.26
"T03",03-JAN-96,"CONDY",89.5
"T03",03-JAN-96,"IRON",0.54
"T03",03-JAN-96,"MAGNESIUM",2.07
"T03",03-JAN-96,"NH4N",0.78
"T03",03-JAN-96,"NO3N",0.723
"T03",03-JAN-96,"PH",3.88
"T03",03-JAN-96,"PHAQCS",3.72
"T03",03-JAN-96,"PHAQCU",4.04
"T03",03-JAN-96,"PO4P",0.119
"T03",03-JAN-96,"POTASSIUM",3.82
"T03",03-JAN-96,"SO4S",1.88
"T05",03-JAN-96,"CHLORIDE",11.679
"T04",04-JAN-96,"ALUMINIUM",0.36
"T04",04-JAN-96,"CALCIUM",9.7
"T04",04-JAN-96,"CHLORIDE",10.8
"T04",04-JAN-96,"DOC",1.1
"T04",04-JAN-96,"IRON",0.38
"T04",04-JAN-96,"MAGNESIUM",2.2
"T04",04-JAN-96,"TOTALP",0.106
"T04",04-JAN-96,"NO3N",0.742
"T04",04-JAN-96,"PO4P",0.091
"T04",04-JAN-96,"POTASSIUM",3.68
"T04",04-JAN-96,"SO4S",1.67
"T04",04-JAN-96,"SODIUM",3.71
"T04",04-JAN-96,"TOTALN",0.83
"T04",04-JAN-96,"NH4N",0.78
"T07",08-JAN-96,"Q1",511
"T02",08-JAN-96,"SODIUM",3.913
"T07",08-JAN-96,"SODIUM",3.936
"T07",08-JAN-96,"ALUMINIUM",0.396
"T07",08-JAN-96,"CALCIUM",4.907
"T07",08-JAN-96,"CONDY",88
"T07",08-JAN-96,"IRON",0.382
"T07",08-JAN-96,"MAGNESIUM",2.43
"T07",08-JAN-96,"NH4N",0.76
"T07",08-JAN-96,"PH",4.05
"T07",08-JAN-96,"PO4P",0.115
"T07",08-JAN-96,"POTASSIUM",3.861
"T02",08-JAN-96,"ALKY",0
"T02",08-JAN-96,"ALUMINIUM",0.411
"T02",08-JAN-96,"CALCIUM",4.935
"T02",08-JAN-96,"CHLORIDE",10.1
"T02",08-JAN-96,"CONDY",90
"T02",08-JAN-96,"DOC",6.3
"T02",08-JAN-96,"IRON",0.385
"T02",08-JAN-96,"MAGNESIUM",2.44
"T02",08-JAN-96,"NH4N",0.778
"T02",08-JAN-96,"NO3N",0.696
"T02",08-JAN-96,"PH",4.13
"T02",08-JAN-96,"PO4P",0.111
"T02",08-JAN-96,"POTASSIUM",3.844
"T02",08-JAN-96,"Q1",511
"T02",08-JAN-96,"SO4S",1.7
"T07",08-JAN-96,"Q2",999
"T08",11-JAN-96,"CHLORIDE",10
"T08",11-JAN-96,"CONDY",98.1
"T08",11-JAN-96,"DOC",2.6
"T08",11-JAN-96,"NH4N",0.73
"T08",11-JAN-96,"NO3N",0.702
"T08",11-JAN-96,"TOTALP",0.092
"T08",11-JAN-96,"PHAQCS",4.06
"T08",11-JAN-96,"PHAQCU",4.09
"T08",11-JAN-96,"PO4P",0.084
"T08",11-JAN-96,"SO4S",1.68
"T08",11-JAN-96,"TOTALN",0.67
"T08",11-JAN-96,"PH",4.2
"T03",17-JAN-96,"PHAQCU",3.91
"T03",17-JAN-96,"PO4P",0.121
"T03",17-JAN-96,"POTASSIUM",3.84
"T03",17-JAN-96,"SO4S",1.83
"T03",17-JAN-96,"SODIUM",3.26
"T01",17-JAN-96,"ALUMINIUM",0.288
"T01",17-JAN-96,"CALCIUM",5.17
"T01",17-JAN-96,"CHLORIDE",7.9
"T01",17-JAN-96,"CONDY",87
"T01",17-JAN-96,"DOC",8.5
"T01",17-JAN-96,"IRON",0.114
"T01",17-JAN-96,"MAGNESIUM",2.45
"T01",17-JAN-96,"NH4N",0.875
"T01",17-JAN-96,"NO3N",0.72
"T01",17-JAN-96,"PH",3.9
"T01",17-JAN-96,"PO4P",0.133
"T01",17-JAN-96,"POTASSIUM",4.07
"T01",17-JAN-96,"SO4S",1.1
"T01",17-JAN-96,"SODIUM",4.59
"T03",17-JAN-96,"ALKY",90.9
"T03",17-JAN-96,"ALUMINIUM",0.231
"T03",17-JAN-96,"CALCIUM",4.59
"T03",17-JAN-96,"CHLORIDE",12.53
"T03",17-JAN-96,"IRON",0.517
"T03",17-JAN-96,"MAGNESIUM",2.08
"T03",17-JAN-96,"NH4N",0.84
"T03",17-JAN-96,"NO3N",0.734
"T03",17-JAN-96,"PH",3.74
"T03",17-JAN-96,"PHAQCS",3.57
"T04",18-JAN-96,"SODIUM",3.91
"T04",18-JAN-96,"SO4S",1.59
"T04",18-JAN-96,"TOTALP",0.097
"T04",18-JAN-96,"ALUMINIUM",0.42
"T04",18-JAN-96,"CALCIUM",4.61
"T04",18-JAN-96,"CHLORIDE",10.1
"T04",18-JAN-96,"COLOUR",0
"T04",18-JAN-96,"DOC",6.5
"T04",18-JAN-96,"IRON",0.33
"T04",18-JAN-96,"MAGNESIUM",2.26
"T04",18-JAN-96,"NH4N",0.74
"T04",18-JAN-96,"NO3N",0.7
"T04",18-JAN-96,"PO4P",0.093
"T04",18-JAN-96,"POTASSIUM",3.69
"T04",18-JAN-96,"TOTALN",0.76
"T08",25-JAN-96,"PO4P",0.077
"T08",25-JAN-96,"POTASSIUM",3.81
"T08",25-JAN-96,"PHAQCU",4.08
"T08",25-JAN-96,"SODIUM",3.67
"T08",25-JAN-96,"TOTALN",0.75
"T08",25-JAN-96,"TOTALP",0.097
"T08",25-JAN-96,"ALUMINIUM",0.35
"T08",25-JAN-96,"CALCIUM",4.57
"T08",25-JAN-96,"CHLORIDE",9.3
"T08",25-JAN-96,"CONDY",95.1
"T08",25-JAN-96,"DOC",1.4
"T08",25-JAN-96,"IRON",0.34
"T08",25-JAN-96,"MAGNESIUM",2.11
"T08",25-JAN-96,"NH4N",0.72
"T08",25-JAN-96,"NO3N",0.658
"T08",25-JAN-96,"SO4S",1.64
"T08",25-JAN-96,"PHAQCS",4.01
"T08",25-JAN-96,"PH",4.19
"T01",31-JAN-96,"NH4N",0.857
"T01",31-JAN-96,"MAGNESIUM",2.49
"T01",31-JAN-96,"IRON",0.11
"T01",31-JAN-96,"DOC",7.3
"T01",31-JAN-96,"CONDY",87
"T01",31-JAN-96,"CHLORIDE",7.9
"T01",31-JAN-96,"CALCIUM",5.4
"T01",31-JAN-96,"ALUMINIUM",0.315
"T01",31-JAN-96,"TOTALN",0.55
"T01",31-JAN-96,"SODIUM",4.04
"T01",31-JAN-96,"SO4S",1.8
"T01",31-JAN-96,"POTASSIUM",3.9
"T01",31-JAN-96,"PO4P",0.124
"T01",31-JAN-96,"PH",4.1
"T03",31-JAN-96,"SODIUM",3.25
"T01",31-JAN-96,"NO3N",0.78
"T03",31-JAN-96,"POTASSIUM",3.8
"T03",31-JAN-96,"PO4P",0.122
"T03",31-JAN-96,"PHAQCU",3.97
"T03",31-JAN-96,"PHAQCS",3.5
"T03",31-JAN-96,"PH",3.74
"T03",31-JAN-96,"NO3N",0.708
"T03",31-JAN-96,"NH4N",0.846
"T03",31-JAN-96,"MAGNESIUM",2.05
"T03",31-JAN-96,"IRON",0.526
"T03",31-JAN-96,"CHLORIDE",12.48
"T03",31-JAN-96,"CALCIUM",4.61
"T03",31-JAN-96,"ALUMINIUM",0.286
"T03",31-JAN-96,"ALKY",95
"T03",31-JAN-96,"SO4S",1.83
"T04",01-FEB-96,"ALUMINIUM",0.38
"T04",01-FEB-96,"TOTALP",0.099
"T04",01-FEB-96,"CHLORIDE",10.6
"T04",01-FEB-96,"COLOUR",0
"T04",01-FEB-96,"DOC",7.1
"T04",01-FEB-96,"IRON",0.37
"T04",01-FEB-96,"MAGNESIUM",2.34
"T04",01-FEB-96,"NH4N",0.76
"T04",01-FEB-96,"NO3N",0.737
"T04",01-FEB-96,"PO4P",0.102
"T04",01-FEB-96,"POTASSIUM",3.59
"T04",01-FEB-96,"SO4S",1.79
"T04",01-FEB-96,"SODIUM",3.95
"T04",01-FEB-96,"TOTALN",0.88
"T04",01-FEB-96,"CALCIUM",4.66
"T08",08-FEB-96,"ALUMINIUM",0.37
"T08",08-FEB-96,"TOTALP",0.095
"T08",08-FEB-96,"CHLORIDE",10.7
"T08",08-FEB-96,"CONDY",91
"T08",08-FEB-96,"DOC",0.8
"T08",08-FEB-96,"IRON",0.29
"T08",08-FEB-96,"MAGNESIUM",2.37
"T08",08-FEB-96,"NH4N",0.78
"T08",08-FEB-96,"NO3N",0.68
"T08",08-FEB-96,"PH",4.05
"T08",08-FEB-96,"PHAQCS",3.94
"T08",08-FEB-96,"PHAQCU",3.99
"T08",08-FEB-96,"PO4P",0.089
"T08",08-FEB-96,"POTASSIUM",4.14
"T08",08-FEB-96,"SO4S",1.76
"T08",08-FEB-96,"SODIUM",3.66
"T08",08-FEB-96,"TOTALN",0.79
"T08",08-FEB-96,"CALCIUM",4.68
"T07",12-FEB-96,"PO4P",0.114
"T02",12-FEB-96,"PO4P",0.114
"T07",12-FEB-96,"Q1",511
"T07",12-FEB-96,"SO4S",1.68
"T07",12-FEB-96,"SODIUM",4.68
"T07",12-FEB-96,"ALUMINIUM",0.393
"T07",12-FEB-96,"CALCIUM",4.888
"T07",12-FEB-96,"CHLORIDE",10.57
"T07",12-FEB-96,"CONDY",92
"T07",12-FEB-96,"DOC",6.05
"T07",12-FEB-96,"IRON",0.37
"T07",12-FEB-96,"MAGNESIUM",2.357
"T07",12-FEB-96,"NH4N",0.77
"T07",12-FEB-96,"NO3N",0.743
"T07",12-FEB-96,"PH",4.08
"T02",12-FEB-96,"POTASSIUM",4.2
"T02",12-FEB-96,"POTASSIUM",4.291
"T02",12-FEB-96,"Q1",511
"T02",12-FEB-96,"Q2",511
"T02",12-FEB-96,"SO4S",1.66
"T02",12-FEB-96,"SO4S",1.68
"T02",12-FEB-96,"SODIUM",4.22
"T02",12-FEB-96,"SODIUM",4.29
"T02",12-FEB-96,"ALUMINIUM",0.377
"T02",12-FEB-96,"ALUMINIUM",0.4
"T02",12-FEB-96,"CALCIUM",4.78
"T02",12-FEB-96,"CALCIUM",4.945
"T02",12-FEB-96,"CHLORIDE",10.57
"T02",12-FEB-96,"CHLORIDE",10.58
"T02",12-FEB-96,"CONDY",96
"T02",12-FEB-96,"DOC",6.34
"T02",12-FEB-96,"IRON",0.367
"T02",12-FEB-96,"IRON",0.375
"T02",12-FEB-96,"MAGNESIUM",2.325
"T02",12-FEB-96,"MAGNESIUM",2.377
"T02",12-FEB-96,"NH4N",0.751
"T02",12-FEB-96,"NH4N",0.77
"T02",12-FEB-96,"NO3N",0.743
"T02",12-FEB-96,"NO3N",0.746
"T02",12-FEB-96,"PH",4.08
"T02",12-FEB-96,"PH",4.09
"T02",12-FEB-96,"PO4P",0.111
"T07",12-FEB-96,"POTASSIUM",4.73
"T03",14-FEB-96,"NH4N",0.807
"T03",14-FEB-96,"NO3N",0.755
"T03",14-FEB-96,"PH",3.83
"T03",14-FEB-96,"PHAQCS",3.75
"T03",14-FEB-96,"PHAQCU",3.9
"T03",14-FEB-96,"PO4P",0.121
"T03",14-FEB-96,"POTASSIUM",3.79
"T03",14-FEB-96,"SO4S",1.75
"T03",14-FEB-96,"SODIUM",3.19
"T01",14-FEB-96,"ALUMINIUM",0.248
"T01",14-FEB-96,"CALCIUM",4.69
"T01",14-FEB-96,"CHLORIDE",9.5
"T01",14-FEB-96,"CONDY",92
"T01",14-FEB-96,"DOC",7.1
"T01",14-FEB-96,"IRON",0.151
"T01",14-FEB-96,"MAGNESIUM",2.27
"T01",14-FEB-96,"NH4N",0.759
"T01",14-FEB-96,"NO3N",0.81
"T01",14-FEB-96,"PH",4
"T01",14-FEB-96,"PO4P",0.2
"T01",14-FEB-96,"POTASSIUM",4.04
"T01",14-FEB-96,"SO4S",1.8
"T01",14-FEB-96,"SODIUM",3.9
"T01",14-FEB-96,"TOTALN",1.88
"T03",14-FEB-96,"ALKY",91.1
"T03",14-FEB-96,"ALUMINIUM",0.25
"T03",14-FEB-96,"CALCIUM",4.56
"T03",14-FEB-96,"CHLORIDE",12.65
"T03",14-FEB-96,"IRON",0.514
"T03",14-FEB-96,"MAGNESIUM",2.1
"T04",21-FEB-96,"SODIUM",3.83
"T04",21-FEB-96,"SO4S",1.72
"T04",21-FEB-96,"TOTALP",0.095
"T04",21-FEB-96,"ALUMINIUM",0.36
"T04",21-FEB-96,"CALCIUM",4.55
"T04",21-FEB-96,"CHLORIDE",10.4
"T04",21-FEB-96,"COLOUR",0.002
"T04",21-FEB-96,"DOC",7.1
"T04",21-FEB-96,"IRON",0.38
"T04",21-FEB-96,"MAGNESIUM",2.35
"T04",21-FEB-96,"NH4N",0.75
"T04",21-FEB-96,"NO3N",0.722
"T04",21-FEB-96,"PO4P",0.095
"T04",21-FEB-96,"POTASSIUM",3.67
"T04",21-FEB-96,"TOTALN",0.83
"T08",22-FEB-96,"CALCIUM",4.64
"T08",22-FEB-96,"CHLORIDE",10.4
"T08",22-FEB-96,"ALUMINIUM",0.37
"T08",22-FEB-96,"DOC",7.1
"T08",22-FEB-96,"IRON",0.32
"T08",22-FEB-96,"MAGNESIUM",2.29
"T08",22-FEB-96,"NH4N",0.77
"T08",22-FEB-96,"NO3N",0.722
"T08",22-FEB-96,"PH",4.14
"T08",22-FEB-96,"PHAQCS",3.9
"T08",22-FEB-96,"PHAQCU",3.97
"T08",22-FEB-96,"PO4P",0.088
"T08",22-FEB-96,"POTASSIUM",3.75
"T08",22-FEB-96,"SO4S",1.7
"T08",22-FEB-96,"SODIUM",3.91
"T08",22-FEB-96,"CONDY",93
"T08",22-FEB-96,"TOTALP",0.113
"T08",22-FEB-96,"TOTALN",0.88
"T01",28-FEB-96,"SODIUM",4.02
"T01",28-FEB-96,"SO4S",1.7
"T01",28-FEB-96,"POTASSIUM",3.85
"T01",28-FEB-96,"PO4P",0.125
"T01",28-FEB-96,"PH",3.9
"T01",28-FEB-96,"NO3N",0.72
"T01",28-FEB-96,"NH4N",0.898
"T01",28-FEB-96,"MAGNESIUM",2.48
"T01",28-FEB-96,"IRON",0.153
"T01",28-FEB-96,"DOC",4.3
"T01",28-FEB-96,"CONDY",87
"T01",28-FEB-96,"CHLORIDE",10.9
"T01",28-FEB-96,"CALCIUM",5.01
"T01",28-FEB-96,"ALUMINIUM",0.265
"T03",28-FEB-96,"CHLORIDE",12.82
"T01",28-FEB-96,"TOTALN",1.15
"T03",28-FEB-96,"ALUMINIUM",0.219
"T03",28-FEB-96,"ALKY",92.2
"T03",28-FEB-96,"SODIUM",3.26
"T03",28-FEB-96,"SO4S",1.81
"T03",28-FEB-96,"POTASSIUM",3.81
"T03",28-FEB-96,"PO4P",0.127
"T03",28-FEB-96,"PHAQCU",3.9
"T03",28-FEB-96,"PHAQCS",3.7
"T03",28-FEB-96,"PH",3.8
"T03",28-FEB-96,"NO3N",0.741
"T03",28-FEB-96,"NH4N",0.78
"T03",28-FEB-96,"MAGNESIUM",2.1
"T03",28-FEB-96,"IRON",0.497
"T03",28-FEB-96,"CALCIUM",4.56
"T04",01-MAR-96,"ALUMINIUM",0.37
"T04",01-MAR-96,"TOTALP",0.099
"T04",01-MAR-96,"CHLORIDE",10.7
"T04",01-MAR-96,"COLOUR",0.002
"T04",01-MAR-96,"DOC",6.6
"T04",01-MAR-96,"IRON",0.33
"T04",01-MAR-96,"MAGNESIUM",2.39
"T04",01-MAR-96,"NH4N",0.75
"T04",01-MAR-96,"NO3N",0.773
"T04",01-MAR-96,"PO4P",0.098
"T04",01-MAR-96,"POTASSIUM",3.77
"T04",01-MAR-96,"SO4S",1.62
"T04",01-MAR-96,"SODIUM",3.9
"T04",01-MAR-96,"TOTALN",0.88
"T04",01-MAR-96,"CALCIUM",4.7
"T08",07-MAR-96,"ALUMINIUM",0.34
"T08",07-MAR-96,"TOTALP",0.095
"T08",07-MAR-96,"CHLORIDE",10.2
"T08",07-MAR-96,"CONDY",98.7
"T08",07-MAR-96,"DOC",6.4
"T08",07-MAR-96,"IRON",0.36
"T08",07-MAR-96,"MAGNESIUM",2.1
"T08",07-MAR-96,"NH4N",0.8
"T08",07-MAR-96,"NO3N",0.716
"T08",07-MAR-96,"PH",4.02
"T08",07-MAR-96,"PHAQCS",3.84
"T08",07-MAR-96,"PHAQCU",4.01
"T08",07-MAR-96,"PO4P",0.091
"T08",07-MAR-96,"POTASSIUM",3.5
"T08",07-MAR-96,"SO4S",1.7
"T08",07-MAR-96,"SODIUM",3.48
"T08",07-MAR-96,"TOTALN",0.74
"T08",07-MAR-96,"CALCIUM",4.27
"T01",13-MAR-96,"ALUMINIUM",0.288
"T03",13-MAR-96,"SODIUM",3.34
"T01",13-MAR-96,"CHLORIDE",12.2
"T01",13-MAR-96,"CONDY",92
"T01",13-MAR-96,"DOC",7.3
"T01",13-MAR-96,"IRON",0.309
"T01",13-MAR-96,"MAGNESIUM",2.46
"T01",13-MAR-96,"NH4N",0.876
"T01",13-MAR-96,"NO3N",0.86
"T01",13-MAR-96,"PH",3.9
"T01",13-MAR-96,"PO4P",0.132
"T01",13-MAR-96,"POTASSIUM",3.96
"T01",13-MAR-96,"SO4S",1.7
"T01",13-MAR-96,"SODIUM",4.18
"T01",13-MAR-96,"TOTALN",1.09
"T03",13-MAR-96,"ALKY",91.7
"T03",13-MAR-96,"ALUMINIUM",0.219
"T03",13-MAR-96,"CALCIUM",4.69
"T03",13-MAR-96,"CHLORIDE",13.01
"T03",13-MAR-96,"IRON",0.495
"T03",13-MAR-96,"MAGNESIUM",2.09
"T03",13-MAR-96,"NH4N",0.771
"T03",13-MAR-96,"NO3N",0.72
"T03",13-MAR-96,"PH",3.77
"T03",13-MAR-96,"PHAQCS",3.67
"T03",13-MAR-96,"PHAQCU",3.86
"T03",13-MAR-96,"PO4P",0.126
"T03",13-MAR-96,"POTASSIUM",3.77
"T03",13-MAR-96,"SO4S",1.92
"T01",13-MAR-96,"CALCIUM",5.04
"T04",20-MAR-96,"ALUMINIUM",0.35
"T04",20-MAR-96,"CALCIUM",4.63
"T04",20-MAR-96,"CHLORIDE",12.3
"T04",20-MAR-96,"DOC",6.7
"T04",20-MAR-96,"IRON",0.37
"T04",20-MAR-96,"MAGNESIUM",2.25
"T04",20-MAR-96,"TOTALP",0.129
"T04",20-MAR-96,"NO3N",0.872
"T04",20-MAR-96,"PO4P",0.118
"T04",20-MAR-96,"POTASSIUM",3.76
"T04",20-MAR-96,"SO4S",1.9
"T04",20-MAR-96,"SODIUM",3.78
"T04",20-MAR-96,"TOTALN",1
"T04",20-MAR-96,"NH4N",0.9
"T07",21-MAR-96,"PO4P",0.118
"T02",21-MAR-96,"SODIUM",4.31
"T07",21-MAR-96,"Q1",511
"T07",21-MAR-96,"SO4S",1.68
"T07",21-MAR-96,"SODIUM",4.28
"T08",21-MAR-96,"ALUMINIUM",0.36
"T08",21-MAR-96,"CALCIUM",4.72
"T08",21-MAR-96,"CHLORIDE",10.7
"T08",21-MAR-96,"CONDY",99
"T08",21-MAR-96,"DOC",6.5
"T08",21-MAR-96,"IRON",0.29
"T08",21-MAR-96,"MAGNESIUM",2.05
"T08",21-MAR-96,"NH4N",0.76
"T08",21-MAR-96,"NO3N",0.734
"T08",21-MAR-96,"PH",4.08
"T08",21-MAR-96,"PHAQCS",3.98
"T08",21-MAR-96,"PHAQCU",3.99
"T08",21-MAR-96,"PO4P",0.092
"T08",21-MAR-96,"POTASSIUM",3.81
"T08",21-MAR-96,"SO4S",1.8
"T08",21-MAR-96,"SODIUM",3.8
"T08",21-MAR-96,"TOTALN",0.82
"T08",21-MAR-96,"TOTALP",0.101
"T07",21-MAR-96,"ALUMINIUM",0.408
"T07",21-MAR-96,"CALCIUM",4.78
"T07",21-MAR-96,"CHLORIDE",10.14
"T07",21-MAR-96,"CONDY",90
"T07",21-MAR-96,"DOC",6.31
"T07",21-MAR-96,"IRON",0.362
"T07",21-MAR-96,"MAGNESIUM",2.37
"T07",21-MAR-96,"NH4N",0.77
"T07",21-MAR-96,"NO3N",0.783
"T07",21-MAR-96,"PH",4.12
"T02",21-MAR-96,"ALUMINIUM",0.401
"T02",21-MAR-96,"CALCIUM",4.83
"T02",21-MAR-96,"CHLORIDE",10.14
"T02",21-MAR-96,"CONDY",92
"T02",21-MAR-96,"DOC",6.31
"T02",21-MAR-96,"IRON",0.372
"T02",21-MAR-96,"MAGNESIUM",2.37
"T02",21-MAR-96,"NH4N",0.741
"T02",21-MAR-96,"NO3N",0.783
"T02",21-MAR-96,"PH",4.09
"T02",21-MAR-96,"PO4P",0.107
"T02",21-MAR-96,"POTASSIUM",4.32
"T02",21-MAR-96,"Q1",511
"T02",21-MAR-96,"SO4S",1.68
"T07",21-MAR-96,"POTASSIUM",4.36
"T03",27-MAR-96,"IRON",0.514
"T03",27-MAR-96,"MAGNESIUM",2.1
"T03",27-MAR-96,"NH4N",0.741
"T03",27-MAR-96,"NO3N",0.723
"T03",27-MAR-96,"PH",3.7
"T03",27-MAR-96,"PHAQCS",3.6
"T03",27-MAR-96,"PHAQCU",3.8
"T03",27-MAR-96,"PO4P",0.129
"T03",27-MAR-96,"POTASSIUM",3.72
"T03",27-MAR-96,"SO4S",1.83
"T03",27-MAR-96,"SODIUM",3.26
"T04",27-MAR-96,"PO4P",0.106
"T04",27-MAR-96,"POTASSIUM",3.82
"T04",27-MAR-96,"SO4S",1.71
"T04",27-MAR-96,"SODIUM",3.89
"T04",27-MAR-96,"TOTALN",0.78
"T04",27-MAR-96,"TOTALP",0.119
"T04",27-MAR-96,"ALUMINIUM",0.36
"T04",27-MAR-96,"CALCIUM",4.61
"T04",27-MAR-96,"CHLORIDE",10.5
"T04",27-MAR-96,"DOC",6.3
"T04",27-MAR-96,"IRON",0.39
"T04",27-MAR-96,"MAGNESIUM",2.18
"T04",27-MAR-96,"NH4N",0.76
"T04",27-MAR-96,"NO3N",0.757
"T01",27-MAR-96,"SODIUM",3.95
"T01",27-MAR-96,"TOTALN",0.5
"T01",27-MAR-96,"ALUMINIUM",0.261
"T01",27-MAR-96,"CALCIUM",4.74
"T01",27-MAR-96,"CHLORIDE",10.7
"T01",27-MAR-96,"CONDY",94
"T01",27-MAR-96,"DOC",6.6
"T01",27-MAR-96,"IRON",0.235
"T01",27-MAR-96,"MAGNESIUM",2.27
"T01",27-MAR-96,"NH4N",0.767
"T01",27-MAR-96,"NO3N",0.71
"T01",27-MAR-96,"PH",4.1
"T01",27-MAR-96,"PO4P",0.124
"T01",27-MAR-96,"POTASSIUM",3.7
"T01",27-MAR-96,"SO4S",1.9
"T03",27-MAR-96,"ALKY",95.5
"T03",27-MAR-96,"ALUMINIUM",0.224
"T03",27-MAR-96,"CALCIUM",4.53
"T03",27-MAR-96,"CHLORIDE",12.91
"T08",04-APR-96,"ALUMINIUM",0.36
"T08",04-APR-96,"CALCIUM",4.62
"T08",04-APR-96,"TOTALP",0.111
"T08",04-APR-96,"TOTALN",0.76
"T08",04-APR-96,"SODIUM",3.93
"T08",04-APR-96,"SO4S",1.68
"T08",04-APR-96,"POTASSIUM",3.85
"T08",04-APR-96,"PO4P",0.091
"T08",04-APR-96,"PHAQCU",3.96
"T08",04-APR-96,"PHAQCS",3.62
"T08",04-APR-96,"PH",3.82
"T08",04-APR-96,"NO3N",0.713
"T08",04-APR-96,"NH4N",0.77
"T08",04-APR-96,"MAGNESIUM",2.27
"T08",04-APR-96,"IRON",0.32
"T08",04-APR-96,"DOC",6.3
"T08",04-APR-96,"CONDY",97.8
"T08",04-APR-96,"CHLORIDE",9.6
"T04",10-APR-96,"CALCIUM",6.64
"T03",10-APR-96,"SODIUM",3.4
"T04",10-APR-96,"IRON",0.36
"T04",10-APR-96,"MAGNESIUM",2.36
"T04",10-APR-96,"NH4N",0.73
"T04",10-APR-96,"NO3N",0.721
"T04",10-APR-96,"PO4P",0.096
"T04",10-APR-96,"POTASSIUM",3.85
"T04",10-APR-96,"SO4S",1.67
"T04",10-APR-96,"SODIUM",3.97
"T04",10-APR-96,"TOTALN",0.8
"T04",10-APR-96,"TOTALP",0.106
"T03",10-APR-96,"SO4S",1.97
"T01",10-APR-96,"ALUMINIUM",0.241
"T01",10-APR-96,"CALCIUM",4.74
"T01",10-APR-96,"CHLORIDE",10.8
"T01",10-APR-96,"CONDY",97
"T01",10-APR-96,"DOC",6.5
"T01",10-APR-96,"IRON",0.269
"T01",10-APR-96,"MAGNESIUM",2.32
"T01",10-APR-96,"NH4N",0.763
"T01",10-APR-96,"NO3N",0.7
"T01",10-APR-96,"PH",4.1
"T01",10-APR-96,"PO4P",0.121
"T01",10-APR-96,"POTASSIUM",3.75
"T01",10-APR-96,"SO4S",1.9
"T04",10-APR-96,"ALUMINIUM",0.36
"T03",10-APR-96,"POTASSIUM",3.81
"T03",10-APR-96,"PO4P",0.126
"T03",10-APR-96,"PHAQCU",3.88
"T03",10-APR-96,"PHAQCS",3.75
"T03",10-APR-96,"PH",3.82
"T03",10-APR-96,"NO3N",0.731
"T03",10-APR-96,"NH4N",0.794
"T03",10-APR-96,"MAGNESIUM",2.09
"T03",10-APR-96,"IRON",0.524
"T03",10-APR-96,"CHLORIDE",12.8
"T03",10-APR-96,"CALCIUM",4.53
"T03",10-APR-96,"ALUMINIUM",0.227
"T03",10-APR-96,"ALKY",88.3
"T01",10-APR-96,"TOTALN",0.59
"T01",10-APR-96,"SODIUM",3.85
"T04",10-APR-96,"CHLORIDE",10.7
"T08",18-APR-96,"SO4S",1.81
"T08",18-APR-96,"SODIUM",4.28
"T08",18-APR-96,"TOTALN",0.72
"T08",18-APR-96,"TOTALP",0.105
"T08",18-APR-96,"ALUMINIUM",0.37
"T08",18-APR-96,"CALCIUM",5.09
"T08",18-APR-96,"CHLORIDE",10
"T08",18-APR-96,"CONDY",99
"T08",18-APR-96,"DOC",6.6
"T08",18-APR-96,"IRON",0.33
"T08",18-APR-96,"MAGNESIUM",2.4
"T08",18-APR-96,"NH4N",0.7
"T08",18-APR-96,"NO3N",0.76
"T08",18-APR-96,"PH",4.1
"T08",18-APR-96,"PHAQCS",3.99
"T08",18-APR-96,"PHAQCU",4.02
"T08",18-APR-96,"PO4P",0.081
"T08",18-APR-96,"POTASSIUM",4.29
"T07",22-APR-96,"ALUMINIUM",0.416
"T02",22-APR-96,"SODIUM",4.03
"T07",22-APR-96,"CHLORIDE",9.74
"T07",22-APR-96,"CONDY",74
"T07",22-APR-96,"DOC",5.62
