UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,SITETYPE,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,ANC,DOC,PH,NTL,PTL,NtoP
1002054,MNSS-1171,2013,1,6/6/2013,PROB,MN,44.94257,-93.02145,Upper Midwest,Y,2072.39,7.42,7.98,770,56,13.75
1002056,PAS9-0923,2013,1,6/10/2013,PROB,PA,40.52159,-79.39899,Southern Appalachians,Y,2678.06,1.36,8.02,688,28,24.57142857
1002057,NJS9-0909,2013,1,6/11/2013,PROB,NJ,41.11046,-74.84292,Southern Appalachians,Y,479.48,4.13,7.28,320,26,12.30769231
1002058,NER9-0904,2013,1,6/10/2013,PROB,NE,40.79966,-98.43775,Southern Plains,Y,4196.22,2.94,,1220,150,8.133333333
1002059,AZRM-1002,2013,1,6/8/2013,PROB,AZ,35.9166,-113.3347,Xeric,Y,2630.27,2.94,8.14,251,54,4.648148148
1002060,MDRM-1003,2013,1,6/11/2013,PROB,MD,39.44732,-78.97643,Southern Appalachians,Y,817.64,6.97,7.67,583,40,14.575
1002061,NVRM-1001,2013,1,6/10/2013,PROB,NV,36.73991,-114.206,Xeric,Y,2850.82,1.06,8.04,130,55,2.363636364
1002062,OKR9-0909,2013,1,6/11/2013,PROB,OK,34.59159,-99.02375,Southern Plains,Y,3664.29,15.59,7.83,3410,829,4.113389626
1002063,OKS9-0931,2013,1,6/10/2013,PROB,OK,34.83934,-98.306,Southern Plains,Y,4317.34,14.74,7.8,2433,1082,2.248613678
1002064,NELS-1074,2013,1,6/11/2013,PROB,NE,40.84166,-99.74438,Southern Plains,Y,4176.238,3.93,,970,110,8.818181818
1002065,PALS-1090,2013,1,6/11/2013,PROB,PA,41.51621,-79.32288,Northern Appalachians,Y,173.31,2.93,6.91,344,59,5.830508475
1002066,KSRS-1340,2013,1,6/10/2013,PROB,KS,38.43482,-95.74648,Temperate Plains,Y,1617.52,7.05,7.65,2053,257,7.988326848
1002067,NDSS-1103,2013,1,6/11/2013,PROB,ND,46.31488,-101.6123,Northern Plains,Y,7141.15,18.49,7.94,1383,66,20.95454545
1002068,TXSS-1216,2013,1,6/12/2013,PROB,TX,32.78727,-96.87091,Southern Plains,Y,2785.47,4.82,7.82,816,186,4.387096774
1002069,TXS9-0928,2013,1,6/11/2013,PROB,TX,33.75841,-97.29398,Southern Plains,Y,4732.57,2.93,7.93,236,42,5.619047619
1002070,KSR9-0906,2013,1,6/11/2013,PROB,KS,37.39754,-95.67977,Temperate Plains,Y,2496.34,4.99,7.89,1036,126,8.222222222
1002071,WIRF-0011,2013,1,6/12/2013,HAND,WI,44.01212,-89.78824,Upper Midwest,Y,1031.45,36.46,7.53,1745,88,19.82954545
1002072,PAS9-0922,2013,1,6/12/2013,PROB,PA,41.65698,-78.61148,Northern Appalachians,Y,33.82,2.43,6.17,249,12,20.75
1002073,MNS9-0933,2013,1,6/11/2013,PROB,MN,44.51765,-94.02858,Upper Midwest,Y,4183.82,6.02,8.12,19100,156,122.4358974
1002074,NJR9-0902,2013,1,6/12/2013,PROB,NJ,40.5089,-74.46615,Southern Appalachians,Y,771.46,6.02,7.38,1341,156,8.596153846
