"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","DOC","NO3 as N","PO4 as P","UNITS"
"61",2011,"EU_1278","47.58644","8.13326","River/Stream",1.65,1.340819505882,0.011038,"mg/L"
"62",2012,"EU_1278","47.58644","8.13326","River/Stream",1.684,1.196220931695,0.01108,"mg/L"
"63",2010,"EU_1279","48.92299","8.16898","River/Stream",1.90385,1.607505319413,0.025923,"mg/L"
"64",2011,"EU_1279","48.92299","8.16898","River/Stream",1.81538,1.530860774661,0.027231,"mg/L"
"65",2012,"EU_1279","48.92299","8.16898","River/Stream",1.88,1.350080055,0.02276,"mg/L"
"66",2010,"EU_1381","48.10187","14.94072","River/Stream",2.09167,1.974287068281,0.0210833,"mg/L"
"67",2011,"EU_1381","48.10187","14.94072","River/Stream",2.27778,1.710931452219,0.0127778,"mg/L"
"68",2012,"EU_1381","48.10187","14.94072","River/Stream",2.31111,1.69760066175,0.014,"mg/L"
"69",2009,"EU_1384","48.38892","15.52308","River/Stream",2.2692,1.829278469781,0.0119583,"mg/L"
"70",2010,"EU_1384","48.38892","15.52308","River/Stream",2.45833,2.19763031175,0.03125,"mg/L"
"71",2011,"EU_1384","48.38892","15.52308","River/Stream",2.125,2.158457988969,0.031625,"mg/L"
"72",2012,"EU_1384","48.38892","15.52308","River/Stream",1.93333,2.0141194302,0.0291,"mg/L"
"73",2009,"EU_1386","48.36702","15.77878","River/Stream",1.3317,1.664268685281,0.00454167,"mg/L"
"74",2010,"EU_1386","48.36702","15.77878","River/Stream",1.04167,2.016789588531,0.00916667,"mg/L"
"75",2011,"EU_1386","48.36702","15.77878","River/Stream",1.175,1.373411438469,0.0065,"mg/L"
"76",2012,"EU_1386","48.36702","15.77878","River/Stream",1.13333,1.033701294852,0.00666667,"mg/L"
"77",2009,"EU_1388","48.41189","15.70696","River/Stream",6.14,2.974346368281,0.0122083,"mg/L"
"78",2010,"EU_1388","48.41189","15.70696","River/Stream",5.44167,3.5052078465,0.03275,"mg/L"
"79",2009,"EU_1389","48.1439","16.52945","River/Stream",2.4892,2.76766411275,0.0260833,"mg/L"
"80",2010,"EU_1389","48.1439","16.52945","River/Stream",2.59167,2.968506021969,0.0571667,"mg/L"
"81",2009,"EU_1392","48.12035","16.60938","River/Stream",1.6867,2.780994903219,0.0095,"mg/L"
"82",2010,"EU_1392","48.12035","16.60938","River/Stream",1.40833,3.256023070719,0.0248333,"mg/L"
"83",2011,"EU_1392","48.12035","16.60938","River/Stream",1.95714,3.199279706037,0.018,"mg/L"
"84",2012,"EU_1392","48.12035","16.60938","River/Stream",1.21429,3.113824638852,0.0249091,"mg/L"
"85",2009,"EU_1393","48.11661","16.80332","River/Stream",2.1883,1.859280248781,0.011375,"mg/L"
"86",2010,"EU_1393","48.11661","16.80332","River/Stream",2.18333,2.191799966031,0.0324167,"mg/L"
"87",2011,"EU_1393","48.11661","16.80332","River/Stream",2.75,2.245963177719,0.0333182,"mg/L"
"88",2012,"EU_1393","48.11661","16.80332","River/Stream",1.94,1.8091072737,0.0367273,"mg/L"
"89",2009,"EU_1397","48.40232","15.99301","River/Stream",4.3308,5.93285179725,0.0816667,"mg/L"
"90",2010,"EU_1397","48.40232","15.99301","River/Stream",3.96667,7.422110105031,0.108917,"mg/L"
"91",2011,"EU_1397","48.40232","15.99301","River/Stream",3.525,6.942081641031,0.119083,"mg/L"
"92",2012,"EU_1397","48.40232","15.99301","River/Stream",3.47143,5.313645080469,0.145917,"mg/L"
"93",2009,"EU_1399","48.16339","16.99035","River/Stream",2.2325,1.889282027781,0.0145,"mg/L"
"94",2010,"EU_1399","48.16339","16.99035","River/Stream",2.32917,2.304306637281,0.0330938,"mg/L"
"95",2011,"EU_1399","48.16339","16.99035","River/Stream",2.62857,2.343468959469,0.039325,"mg/L"
"96",2012,"EU_1399","48.16339","16.99035","River/Stream",2.18667,1.961786327031,0.0337143,"mg/L"
"97",2009,"EU_1401","48.80483","16.46219","River/Stream",7.3475,4.928622249969,0.0463333,"mg/L"
"98",2010,"EU_1401","48.80483","16.46219","River/Stream",6.49,6.7133980809,0.0857,"mg/L"
"99",2011,"EU_1401","48.80483","16.46219","River/Stream",5.975,5.506996545531,0.0821667,"mg/L"
"100",2012,"EU_1401","48.80483","16.46219","River/Stream",5.47,4.011067842219,0.102273,"mg/L"
"101",2009,"EU_1403","48.71619","16.88903","River/Stream",6.9725,2.775914601975,0.11525,"mg/L"
"102",2010,"EU_1403","48.71619","16.88903","River/Stream",5.85833,4.671106980219,0.119917,"mg/L"
"103",2011,"EU_1403","48.71619","16.88903","River/Stream",5.94,3.327467307111,0.190333,"mg/L"
"104",2012,"EU_1403","48.71619","16.88903","River/Stream",5.73333,1.8291084597,0.235083,"mg/L"
"105",2011,"EU_1404","53.6697","10.0927","River/Stream",11.7417,2.543520821841,0.046154,"mg/L"
"106",2012,"EU_1404","53.6697","10.0927","River/Stream",10.0455,2.230582265685,0.043077,"mg/L"
"107",2010,"EU_1405","53.5418","9.8819","River/Stream",6.06667,3.50380776348,0.04375,"mg/L"
"108",2011,"EU_1405","53.5418","9.8819","River/Stream",6.66923,2.995547625441,0.032308,"mg/L"
"109",2012,"EU_1405","53.5418","9.8819","River/Stream",6.125,2.231312308974,0.041667,"mg/L"
"110",2009,"EU_1406","48.60164","16.93384","River/Stream",5.5858,2.471396545125,0.0884167,"mg/L"
"111",2010,"EU_1406","48.60164","16.93384","River/Stream",5,3.561041157219,0.124833,"mg/L"
"112",2011,"EU_1406","48.60164","16.93384","River/Stream",4.78,3.344368309281,0.113917,"mg/L"
"113",2012,"EU_1406","48.60164","16.93384","River/Stream",4.51,1.959286178781,0.169818,"mg/L"
"114",2009,"EU_1408","48.2801","16.91603","River/Stream",5.3971,2.425473822069,0.068875,"mg/L"
"115",2010,"EU_1408","48.2801","16.91603","River/Stream",5.07083,3.724390843281,0.0854583,"mg/L"
"116",2011,"EU_1408","48.2801","16.91603","River/Stream",4.8,3.109354373781,0.103417,"mg/L"
"117",2012,"EU_1408","48.2801","16.91603","River/Stream",4.2,1.947075454728,0.16025,"mg/L"
"118",2010,"EU_1410","53.3984","10.1796","River/Stream",6.09167,3.67101767844,0.03875,"mg/L"
"119",2011,"EU_1410","53.3984","10.1796","River/Stream",6.66667,2.774314507095,0.02625,"mg/L"
"120",2012,"EU_1410","53.3984","10.1796","River/Stream",5.88182,2.01151927602,0.032273,"mg/L"
"121",2009,"EU_1411","48.60394","16.78833","River/Stream",3.7858,4.764452515281,0.0786667,"mg/L"
"122",2010,"EU_1411","48.60394","16.78833","River/Stream",3.525,6.206198005719,0.10275,"mg/L"
"123",2011,"EU_1411","48.60394","16.78833","River/Stream",2.9375,6.15786513975,0.114083,"mg/L"
"124",2012,"EU_1411","48.60394","16.78833","River/Stream",3.34,4.318586076969,0.143833,"mg/L"
"125",2009,"EU_1414","48.26102","13.03435","River/Stream",1.505,2.000948649219,0.00945833,"mg/L"
"126",2010,"EU_1414","48.26102","13.03435","River/Stream",1.025,2.195960212719,0.0215833,"mg/L"
