"","DATE_COL","SITE_ID","DOC","NO3 as N","TP","LAT","LON","ECO_TYPE","UNITS"
"59","2008-07-01","NLA_59",0.71,0.2125,0.00084,43.9461,-72.7111,"River/Stream","mg/L"
"60","2008-07-01","NLA_60",3.97,1.2928,0.0258138,41.6947,-85.9174,"River/Stream","mg/L"
"61","2008-07-01","NLA_61",8.36,0.31135,0.0392775,41.6026,-86.1112,"River/Stream","mg/L"
"62","2008-07-01","NLA_62",6.85,2.26295,0.131195,43.311,-83.9679,"River/Stream","mg/L"
"63","2008-07-01","NLA_63",0.97,0.01543,0.0106263,34.2461,-84.6861,"River/Stream","mg/L"
"64","2008-07-01","NLA_64",1.82,0.45337,0.0103513,39.5967,-79.0839,"River/Stream","mg/L"
"65","2008-07-01","NLA_65",2.65,0.00256,0.023105,47.0818,-111.5943,"River/Stream","mg/L"
"66","2008-07-01","NLA_66",17.08,0,0.0307675,46.4179,-103.5124,"River/Stream","mg/L"
"67","2008-07-01","NLA_67",0.94,0.33511,0.0027788,37.8707,-91.9297,"River/Stream","mg/L"
"68","2008-07-01","NLA_68",0.65,0.0809,0.0140225,43.6029,-115.5733,"River/Stream","mg/L"
"69","2008-07-02","NLA_69",1.94,0.00139,0.0168775,39.3443,-104.9728,"River/Stream","mg/L"
"70","2008-07-02","NLA_70",1,0.09906,0.0043063,30.2872,-98.8956,"River/Stream","mg/L"
"71","2008-07-02","NLA_71",4.27,1.54003,0.0539225,41.6674,-85.942,"River/Stream","mg/L"
"72","2008-07-02","NLA_72",8,0.29993,3.603369,41.2742,-112.1539,"River/Stream","mg/L"
"73","2008-07-02","NLA_73",1.99,0.25202,0.0116275,39.6484,-79.9875,"River/Stream","mg/L"
"74","2008-07-02","NLA_74",1.13,0.04052,0.0100413,36.7094,-90.6967,"River/Stream","mg/L"
"75","2008-07-02","NLA_75",1.41,0.01794,0.03684,42.7527,-116.0744,"River/Stream","mg/L"
"76","2008-07-02","NLA_76",3.82,1.32086,0.0372175,41.6753,-86.0759,"River/Stream","mg/L"
"77","2008-07-03","NLA_77",1.34,0.08918,0.0034863,34.0695,-84.5363,"River/Stream","mg/L"
"78","2008-07-04","NLA_78",1.49,0.0404,0.6220763,33.9267,-85.0505,"River/Stream","mg/L"
"79","2008-07-05","NLA_79",2.24,0.00163,0.0234238,31.5415,-97.4166,"River/Stream","mg/L"
"80","2008-07-06","NLA_80",1.06,0.15099,0.0009725,30.5976,-98.0699,"River/Stream","mg/L"
"81","2008-07-06","NLA_81",0.46,0.07158,0.0149825,34.5267,-84.0911,"River/Stream","mg/L"
"82","2008-07-07","NLA_82",1.15,0.07527,0.011555,44.3729,-123.8363,"River/Stream","mg/L"
"83","2008-07-07","NLA_83",9.7,4.23467,0.094543,43.0044,-82.525,"River/Stream","mg/L"
"84","2008-07-07","NLA_84",6.85,0,0.2101363,46.1106,-106.4504,"River/Stream","mg/L"
"85","2008-07-07","NLA_85",8.44,0.00421,0.0532275,46.7758,-101.1706,"River/Stream","mg/L"
"86","2008-07-07","NLA_86",6.26,0.05371,0.0684463,35.5376,-96.3158,"River/Stream","mg/L"
"87","2008-07-07","NLA_87",10.92,0.00639,0.0680825,38.8224,-75.4304,"River/Stream","mg/L"
"88","2008-07-08","NLA_88",2.02,0.05471,0.3420175,39.0157,-95.8406,"River/Stream","mg/L"
"89","2008-07-08","NLA_89",1.15,0.01778,0.1539725,41.2739,-118.4606,"River/Stream","mg/L"
"90","2008-07-08","NLA_90",7.23,0,0.1147138,41.3204,-115.6571,"River/Stream","mg/L"
"91","2008-07-08","NLA_91",0.78,0.19023,0.0094638,44.8064,-123.973,"River/Stream","mg/L"
"92","2008-07-08","NLA_92",1.67,0,0.02246,30.8737,-97.621,"River/Stream","mg/L"
"93","2008-07-08","NLA_93",2.31,1.27763,0.0393938,39.1848,-77.4862,"River/Stream","mg/L"
"94","2008-07-08","NLA_94",4.51,0.20337,0.0495388,46.566,-107.9657,"River/Stream","mg/L"
"95","2008-07-08","NLA_95",1.85,1.08147,0.0694163,40.337,-74.9385,"River/Stream","mg/L"
"96","2008-07-08","NLA_96",3.18,0.15172,0.01637,43.1932,-71.5235,"River/Stream","mg/L"
"97","2008-07-08","NLA_97",14.74,0.37269,0.0339475,47.0465,-101.1047,"River/Stream","mg/L"
"98","2008-07-08","NLA_98",0.96,0.23211,0.0359575,37.516,-89.3805,"River/Stream","mg/L"
"99","2008-07-08","NLA_99",2.16,0.1499,0.00869,44.2812,-72.4538,"River/Stream","mg/L"
"100","2008-07-08","NLA_100",2.4,3.23088,0.139826,39.9238,-95.0612,"River/Stream","mg/L"
"101","2008-07-08","NLA_101",5.85,1.11403,0.2636263,39.0283,-93.6812,"River/Stream","mg/L"
"102","2008-07-08","NLA_102",0.96,0.55785,0.0557563,42.7673,-103.9276,"River/Stream","mg/L"
"103","2008-07-08","NLA_103",1.05,0.02717,0.0291938,42.6906,-103.5487,"River/Stream","mg/L"
"104","2008-07-08","NLA_104",1.85,0.00257,0.0031763,44.844,-113.8167,"River/Stream","mg/L"
"105","2008-07-08","NLA_105",4.54,0.07421,0.0353013,35.804,-96.4834,"River/Stream","mg/L"
"106","2008-07-08","NLA_106",6.98,0.00729,0.0653725,38.8297,-75.6463,"River/Stream","mg/L"
"107","2008-07-09","NLA_107",1.15,0,0.0132125,40.9031,-115.2243,"River/Stream","mg/L"
