"","DATE_COL","SITE_ID","DOC","NO3 as N","PO4 as P","UNITS","LAT","LON","ECO_TYPE"
"56",2017-07-19,"QU02PH9024",3.63,0.36,0.046,"mg/L",46.8071,-71.19,"River/Stream"
"57",2017-07-20,"QU02OD3004",8.09,0.79,0.0545,"mg/L",46.2454,-72.6512,"River/Stream"
"58",2017-07-20,"QU02OF3004",6.67,0.47,0.0455,"mg/L",46.0664,-72.8122,"River/Stream"
"59",2017-07-20,"QU02OG3007",6.66,1.79,0.07,"mg/L",46.0051,-72.9101,"River/Stream"
"60",2017-07-24,"QU02LB9001",6.81,0.25,0.0455,"mg/L",45.5676,-74.3799,"River/Stream"
"61",2017-07-25,"QU02OD3004",6.07,0.86,0.042,"mg/L",46.2454,-72.6512,"River/Stream"
"62",2017-07-25,"QU02OF3004",6.58,0.44,0.041,"mg/L",46.0664,-72.8122,"River/Stream"
"63",2017-07-25,"QU02OG3007",7.12,1,0.0505,"mg/L",46.0051,-72.9101,"River/Stream"
"64",2017-07-26,"QU02OJ0052",3.44,0.18,0.0445,"mg/L",46.034,-73.1176,"River/Stream"
"65",2017-08-02,"QU02PH9024",3.39,0.22,0.0465,"mg/L",46.8071,-71.19,"River/Stream"
"66",2017-08-03,"QU02OD3004",6.41,0.26,0.04,"mg/L",46.2454,-72.6512,"River/Stream"
"67",2017-08-03,"QU02OF3004",6.65,0.39,0.0415,"mg/L",46.0664,-72.8122,"River/Stream"
"68",2017-08-03,"QU02OG3007",6.77,0.75,0.044,"mg/L",46.0051,-72.9101,"River/Stream"
"69",2017-08-07,"QU02NG3013",5.79,0.18,0.06,"mg/L",46.382,-72.6105,"River/Stream"
"70",2017-08-07,"QU02OD9009",3.31,0.09,0.0465,"mg/L",46.3116,-72.546,"River/Stream"
"71",2017-08-08,"QU02OB9004",6.69,0.5,0.05,"mg/L",45.8744,-73.2806,"River/Stream"
"72",2017-08-10,"QU02OD3004",7.03,0.3,0.042,"mg/L",46.2454,-72.6512,"River/Stream"
"73",2017-08-10,"QU02OF3004",7.71,0.33,0.0415,"mg/L",46.0664,-72.8122,"River/Stream"
"74",2017-08-10,"QU02OG3007",6.37,0.35,0.0415,"mg/L",46.0051,-72.9101,"River/Stream"
"75",2017-08-14,"QU02OD3004",6.44,0.31,0.04,"mg/L",46.2454,-72.6512,"River/Stream"
"76",2017-08-14,"QU02OF3004",6.79,0.42,0.043,"mg/L",46.0664,-72.8122,"River/Stream"
"77",2017-08-14,"QU02OG3007",5.99,0.34,0.041,"mg/L",46.0051,-72.9101,"River/Stream"
"78",2018-08-28,"QU02NG3013",6.35,0.09,0.039,"mg/L",46.382,-72.6105,"River/Stream"
"79",2018-08-28,"QU02NG3020",3.78,0.09,0.038,"mg/L",46.6776,-72.8652,"River/Stream"
