Site Label,Collection Site or Zone,Plot,Point,Date,Depth,Plant,Rake fullness,Wet Mass ,Bag Dry Mass ,# of twists/point,Rake size,Dry Mass
Neils Dock-2,Neil,2,C,2018-08-23,1.8,Fries Pondweed,NA,NA,0.236,1,0.0214,11.028
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Fries Pondweed,NA,NA,0.1022,1,0.0214,4.776
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Eurasian Watermilfoil,NA,NA,0.0488,1,0.0214,2.28
Neils Dock-2,Neil,2,B,2018-08-23,1.8,Eurasian Watermilfoil,NA,NA,0.6211,1,0.0214,29.023
Neils Dock-2,Neil,2,C,2018-08-23,1.8,Naiad,NA,NA,0.1178,1,0.0214,5.505
Neils Dock-2,Neil,2,B,2018-08-23,1.8,Naiad,NA,NA,0.237,1,0.0214,11.075
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Sago Pondweed,NA,NA,NA,1,0.0214,NA
Neils Dock-2,Neil,2,B,2018-08-23,1.8,Chara spp.,NA,NA,NA,1,0.0214,NA
Neils Dock-2,Neil,2,C,2018-08-23,1.8,Water Crowfoot,NA,NA,0.4698,1,0.0214,21.953
Neils Dock-2,Neil,2,C,2018-08-23,1.8,Chara spp.,NA,NA,5.9414,1,0.0214,277.636
Neils Dock-2,Neil,2,C,2018-08-23,1.8,Eurasian Watermilfoil,NA,NA,0.0977,1,0.0214,4.565
Neils Dock-2,Neil,2,B,2018-08-23,1.8,Arrowhead,NA,NA,NA,1,0.0214,NA
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Water Crowfoot,NA,NA,0.2743,1,0.0214,12.818
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Chara spp.,NA,NA,8.2454,1,0.0214,385.299
Neils Dock-2,Neil,2,A,2018-08-23,1.8,Elodea,NA,NA,1.1884,1,0.0214,55.533
Neils Dock-3,Neil,3,C,2018-08-23,1.8,Chara spp.,NA,NA,4.9278,1,0.0214,230.271
Niels bouy 1 South,Neil,1,A+B+C,2017-08-24,1.1,Eurasian Watermilfoil,NA,NA,9.2,3,0.0214,143.302
Niels bouy 1 South,Neil,1,A+B+C,2017-08-24,1.1,Naiad,NA,NA,0.5259,3,0.0214,8.192
Niels bouy 1 South,Neil,1,A+B+C,2017-08-24,1.1,Chara spp.,NA,NA,3.1999,3,0.0214,49.843
Niels bouy 1 South,Neil,1,A+B+C,2017-08-24,1.1,Lake Quillwort,NA,NA,0.2658,3,0.0214,4.14
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Eurasian Watermilfoil,NA,NA,6.5243,3,0.0214,101.625
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Eel Grass/Water Celery,NA,NA,0.587,3,0.0214,9.143
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Elodea,NA,NA,2.0785,3,0.0214,32.375
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Water Crowfoot,NA,NA,2.0892,3,0.0214,32.542
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Chara spp.,NA,NA,4.5111,3,0.0214,70.266
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Slender Naiad,NA,NA,0.189,3,0.0214,2.944
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Northern Watermilfoil,NA,NA,0.1115,3,0.0214,1.737
Niels bouy 2 North,Neil,2,A+B+C,2017-08-24,1.8,Small Pondweed,NA,NA,0.2538,3,0.0214,3.953
Niels Dock-1,Neil,1,A,2018-08-23,2.2,Eurasian Watermilfoil,NA,NA,7.5025,1,0.0214,350.584
Niels Dock-1,Neil,1,C,2018-08-23,2.2,Chara spp.,NA,NA,0.0336,1,0.0214,1.57
Niels Dock-1,Neil,1,C,2018-08-23,2.2,Eel Grass/Water Celery,NA,NA,NA,1,0.0214,NA
Niels Dock-1,Neil,1,A,2018-08-23,2.2,Eel Grass/Water Celery,NA,NA,0.0086,1,0.0214,0.402
Niels Dock-1,Neil,1,A,2018-08-23,2.2,Naiad,NA,NA,NA,1,0.0214,NA
Niels Dock-1,Neil,1,B,2018-08-23,2.2,Chara spp.,NA,NA,0.306,1,0.0214,14.299
Niels Dock-1,Neil,1,C,2018-08-23,2.2,Eurasian Watermilfoil,NA,NA,8.6496,1,0.0214,404.187
Niels Dock-1,Neil,1,B,2018-08-23,2.2,Eurasian Watermilfoil,NA,NA,5.271,1,0.0214,246.308
Urie Point,Urie Point,NA,C,2018-08-22,nr,Chara spp.,NA,NA,1.0289,1,0.0214,48.079
Urie Point,Urie Point,NA,A,2018-08-22,nr,Eurasian Watermilfoil,NA,NA,2.2721,1,0.0214,106.173
Urie Point,Urie Point,NA,A,2018-08-22,nr,Eel Grass/Water Celery,NA,NA,0.5486,1,0.0214,25.636
Urie Point,Urie Point,NA,B,2018-08-22,nr,Eurasian Watermilfoil,NA,NA,2.5731,1,0.0214,120.238
Urie Point,Urie Point,NA,C,2018-08-22,nr,Naiad,NA,NA,0.2977,1,0.0214,13.911
