Master_Site,Site_Code,Date,Rep,CaQual,Ca,MgQual,Mg,NaQual,Na,KQual,K,SO4Qual,SO4,ClQual,Cl,NO3Qual,NO3,NH4Qual,NH4,NO2Qual,NO2,DOCQual,DOC,pHQual,pH,AlkalinityQual,Alkalinity,AlQual,Al,Total_NQual,Total_N,TONQual,TON,PO4_PQual,PO4_P,ConductivityQual,Conductivity,SiQual,Si,FeQual,Fe,POMQual,POM,POCQual,POC,SalinityQual,Salinity,FQual,F,BrQual,Br,TDPQual,TDP,LiQual,Li,BeQual,Be,Al27Qual,Al27,ScQual,Sc,VQual,V,CrQual,Cr,MnQual,Mn,Fe57Qual,Fe57,Ni58Qual,Ni58,CoQual,Co,Ni60Qual,Ni60,CuQual,Cu,ZnQual,Zn,AsQual,As,SeQual,Se,RbQual,Rb,SrQual,Sr,MoQual,Mo,CdQual,Cd,SbQual,Sb,CsQual,Cs,BaQual,Ba,PbQual,Pb,UQual,U,BQual,B,SQual,S,LaQual,La,CeQual,Ce,PrQual,Pr,WQual,W,TiQual,Ti,SnQual,Sn
Aber Las,CC51,03-Sep-08,1,,39.35,,40.833,,183.913,,1.769,,18.125,,164.789,<,0.714,,1.286,,,,21.4,,4.73,,-7.4,,137,,0.56,,,,,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,10-Dec-08,1,,69,,63,,569.565,,5.821,,40,,645.07,<,0.714,,0.786,,,,5.83,,5.2,,-2.4,,37,,0.18,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,06-Mar-09,1,,102,,66.25,,521.739,,8.231,,44.375,,554.93,,3,,1,<,0.005,,5.91,,5.97,,66.8,,31,,0.18,,,<,0.005,,80.7,,1.66,,604,,,,,,,,0.02,,0.017,,0.02,,0.562,,0.006,,36.6,,0.501,,0.073,,0.359,,231,,483,,0.792,,1.41,,0.505,,44.4,,15.5,,1.22,,0.082,,0.527,,5.7,<,0.03,,0.031,,0.034,,0.008,,2.38,,0.463,,0.002,,2.82,,0.784,,0.06,,0.115,,0.018,<,0.01,,0.493,<,0.006
Aber Las,CC51,10-Jun-09,1,,165,,90,,352.174,,3.231,,35.625,,354.93,,4.143,,1.071,<,0.005,,7.22,,6.64,,194,,59,,0.19,,,,0.018,,71.8,,2.34,,1080,,,,,,,,0.029,,0.026,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,0.669,,,,,,,,,,,,
Aber Las,CC51,10-Sep-09,1,,76.5,,55,,230,,2.821,,19.375,,205.634,<,0.714,,1.429,,,,12.6,,6.05,,41.6,,93,,0.29,,,,,,40.1,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,09-Dec-09,1,,31.4,,35.917,,206.522,,6.154,,31.25,,235.211,,7,,0.929,,,,5.12,,4.88,,-9.76,,46,,0.14,,,,,,38.5,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,04-Mar-10,1,,157,,90.833,,621.739,,7.154,,48.125,,639.437,,5.643,,1.214,,,,3.94,,6.38,,263,,24,,0.12,,,,,,101.8,,,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,02-Jun-10,1,,188,,100.833,,439.13,,5.641,,45,,422.535,<,0.714,,1.429,,,,10.5,,6.24,,220,,51,,0.2,,,,,,79.7,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,03-Sep-08,1,,76.5,,101.667,,223.913,,5.41,,21.875,,202.535,<,0.714,,1.929,,,,33.5,,5.08,,-9.4,,262,,1,,,,,,,,,,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,10-Dec-08,1,,48.8,,72.583,,217.391,,6.359,,57.5,,266.197,,2.214,,0.857,,,,6.21,,5.46,,3.2,,44,,0.25,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,06-Mar-09,1,,77,,98.333,,234.783,,8.051,,70,,224.507,,3,,1.143,<,0.005,,6.11,,6.46,,79.8,,36,,0.23,,,<,0.005,,46.6,,2.24,,160,,,,,,,,0.024,,0.014,,0.013,,1.24,,0.014,,41.7,,0.618,,0.046,,0.371,,43.4,,132,,0.447,,0.329,,0.43,,23,,4.49,,0.289,,0.065,,0.523,,6.21,<,0.03,,0.008,,0.028,,0.002,,1.26,,0.162,,0.005,,4.17,,1.19,,0.018,,0.031,,0.008,<,0.01,,0.493,<,0.006
Afon Cadnant,CC54,10-Jun-09,1,,156.5,,170.833,,262.609,,5.487,,59.375,,218.592,,4.857,,2.429,<,0.005,,8.43,,7.11,,267,,46,,0.37,,,,0.009,,62.3,,2.39,,303,,,,,,,,0.033,,0.031,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,,1.09,,,,,,,,,,,,
Afon Cadnant,CC54,10-Sep-09,1,,82,,118.333,,237.826,,4.615,,30,,205.634,<,0.714,,4.286,,,,18.3,,6.22,,59,,160,,0.55,,,,,,47.2,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,09-Dec-09,1,,35.05,,59.833,,203.043,,12.487,,51.875,,212.394,,8.357,,1.5,,,,8.36,,5.04,,-5.24,,66,,0.26,,,,,,39.5,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,04-Mar-10,1,,77.5,,99.167,,216.087,,9.282,,86.25,,184.225,,6.429,,1.357,,,,5.53,,6.46,,94.8,,40,,0.23,,,,,,45.7,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,02-Jun-10,1,,161,,164.167,,256.087,,7.436,,61.875,,191.549,,3.429,,1.429,,,,9.1,,6.75,,276,<,33,,0.25,,,,,,61.8,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,07-Sep-10,1,,126,,154.167,,250.435,,6.564,,38.125,,212.113,,0,,1.429,,,,20.6,,6.25,,12.5,,129,,0.57,,,,0.039,,53.1,,2.67,,975,,,,,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,,0.939,,,,,,,,,,,,
Afon Cadnant,CC54,04-Oct-10,1,,54.5,,73.083,,185.652,,6.282,,28.125,,163.944,,0,,2.214,,,,22.1,,5.22,,0.56,,161,,0.56,,,,0.002,,37.1,,1.61,,1160,,,,,,,,,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,,0.716,,,,,,,,,,,,
Afon Cadnant,CC54,09-Dec-10,1,,95.5,,117.5,,229.13,,7.564,,81.875,,203.38,<,0.714,,1.071,,,,4.64,,6.78,,119,<,33,,0.18,,,<,0.005,,48.9,,2.95,,227,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,1.4,,,,,,,,,,,,
Afon Cadnant,CC54,07-Jan-11,1,,55.5,,76.917,,202.174,,11.462,,38.125,,147.606,,4.214,,2.071,,,,7.77,,6.37,,30,,60,,0.28,,,<,0.005,,39.5,,2.16,,316,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,1.29,,,,,,,,,,,,
Afon Cadnant,CC54,09-Feb-11,1,,58,,76.583,,233.478,,20.462,,61.25,,281.69,,6.929,,1.214,,,,5.49,,5.63,,-5.6,,46,,0.23,,,,,,48.4,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,08-Mar-11,1,,84,,102.5,,227.391,,11.41,,66.875,,197.465,,6.5,,1.214,,,,4.88,,6.94,,100,,51,,0.19,,,,,,46.5,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,03-Sep-08,1,,52.5,,42.333,,196.087,,1.333,,61.875,,198.31,,2.071,<,0.714,,,,4.4,,5.63,,-3.2,,156,,0.19,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,10-Dec-08,1,,61,,52.417,,198.261,,1.974,,64.375,,237.746,,18.786,,1.143,,,,1.98,,5.79,,-5,,98,,0.38,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,06-Mar-09,1,,72,,57.083,,200.87,,2.103,,71.875,,250.423,,23.5,,1.857,<,0.005,,1.76,,5.48,,-0.6,,66,,0.42,,,<,0.005,,44.9,,0.975,,14,,,,,,,,0.025,,0.016,<,0.005,,1.18,,0.012,,60.7,,0.215,,0.043,,0.069,,26.4,,11.3,,1.26,,0.968,,1.26,,61.7,,15.9,,0.199,,0.072,,0.176,,3.26,<,0.03,,0.026,,0.016,<,0.002,,1.76,,0.162,<,0.002,,4.26,,1.18,,0.066,,0.172,,0.022,<,0.01,,0.161,<,0.006
Afon Cwm Penamnen,CC87,10-Jun-09,1,,75,,54.75,,210.87,,1.821,,68.125,,265.915,,5.286,,1.929,<,0.005,,1.91,,5.83,,7.2,,46,,0.17,,,<,0.005,,43.8,,0.868,,11,,,,,,,,0.023,,0.02,<,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,,1.07,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,10-Sep-09,1,,58.5,,45,,191.739,,1.026,,60,,208.451,,1.5,,1.429,,,,3.1,,6.7,,6.2,,120,,0.15,,,,,,36.9,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,09-Dec-09,1,,71.5,,60.167,,224.783,,3.641,,53.75,,292.958,,11.786,,0.857,,,,2,,5.24,,-21.4,,150,,0.19,,,,,,49.3,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,04-Mar-10,1,,73.5,,56.333,,206.957,,2.821,,73.125,,238.028,,19.714,,1.5,,,,1.79,,6.65,,-1.1,,76,,0.31,,,,,,43.3,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cwm Penamnen,CC87,02-Jun-10,1,,63,,46.667,,195.217,,1.026,,68.125,,225.352,,4.643,,1.429,,,,2.7,,5.89,,6.2,,68,,0.13,,,,,,39.6,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,06-Nov-06,2,,69.5,,39.16,,132.17,,1.79,,,,,,,,,,,,11.1,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,06-Nov-06,1,,70.5,,41,,138.261,,1.564,,22.5,,138.873,<,0.714,,0.857,,,,8.31,,5.89,,45.89,,60,,0.22,,,,,,,,,,661,,2.8,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,21-Nov-06,2,,140.5,,33.33,,136.08,,3.59,,,,,,,,,,,,8.53,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,21-Nov-06,1,,146,,36.333,,140,,3.051,,28.75,,175.493,,0.714,,3.5,,,,6.99,,4.73,,-15.8,,53,,0.24,,,,,,,,,,474,,0.8,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,05-Dec-06,2,,20,,42.5,,180.87,,7.43,,,,,,,,,,,,4.54,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,05-Dec-06,1,,20.7,,46,,183.913,,7.462,,30.625,,277.465,<,0.714,,5.5,,,,4.54,,4.36,,-47.89,,23,,0.2,,,,,,,,,,131,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,19-Dec-06,2,,42,,42.5,,183.04,,4.61,,,,,,,,,,,,4.7,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,19-Dec-06,1,,42.2,,46.333,,190.87,,3.974,,,,,,,,4.286,,,,5.5,,4.76,,-15.16,,36,,0.32,,,,,,,,,,326,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,03-Jan-07,2,,33,,46.66,,221.73,,6.15,,,,,,,,,,,,6.86,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,03-Jan-07,1,,37.75,,52.333,,233.478,,6.615,,,,,,,,15.071,,,,6.79,,4.46,,-35.34,,40,,0.48,,,,,,,,,,345,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,16-Jan-07,2,,27,,45.83,,233.47,,7.69,,,,,,,,,,,,5.24,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,16-Jan-07,1,,30.25,,49.667,,236.522,,7.333,,35,,326.761,,1.5,,2.857,,,,4.68,,4.41,,-40.5,,61,,0.25,,,,,,,,,,333,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,31-Jan-07,2,,73.5,,54.16,,240,,5.89,,,,,,,,,,,,3.43,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,31-Jan-07,1,,76,,58.167,,249.13,,5.282,,38.125,,326.761,<,0.714,<,0.714,,,,3.88,,5.85,,17.92,,21,,0.13,,,,,,,,,,401,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,13-Feb-07,2,,35.5,,53.33,,292.17,,9.74,,,,,,,,,,,,5.84,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,13-Feb-07,1,,36.7,,57.75,,297.391,,9.59,,42.5,,391.549,,2.429,,3.357,,,,4.94,,4.48,,-39.21,,39,,0.26,,,,,,,,,,293,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,27-Feb-07,2,,6.05,,7.16,,53.65,,2.02,,,,,,,,,,,,5.77,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,27-Feb-07,1,,7.95,,11,,70.87,,2.282,,6.25,,81.972,<,0.714,,1.357,,,,5.47,,4.64,,-22.08,,30,,0.2,,,,,,,,,,351,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,14-Mar-07,2,,58.95,,39.5,,200.04,,4.28,,,,,,,,,,,,6.79,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,14-Mar-07,1,,55.5,,41.917,,224.783,,3.846,,23.125,,280.563,<,0.714,<,0.714,,,,6,,5.3,,7.94,,38,,0.23,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,27-Mar-07,2,,86.15,,45.83,,217.17,,3.89,,,,,,,,,,,,4.78,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,27-Mar-07,1,,79.5,,49.5,,235.217,,3.385,,27.5,,290.141,<,0.714,,2.714,,,,3.76,,6.01,,41.06,,14,,0.25,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,10-Apr-07,2,,185.25,,66.83,,215.56,,4.1,,,,,,,,,,,,4.54,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,10-Apr-07,1,,180,,69.75,,225.217,,3.59,,20.625,,252.394,,0.786,,4.857,,,,4.93,,6.61,,187.81,,14,,0.3,,,,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,24-Apr-07,2,,30.8,,44.91,,227.95,,7.51,,,,,,,,,,,,12.4,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,24-Apr-07,1,,26.75,,43.833,,236.957,,6.795,,60,,242.817,<,0.714,,2.429,,,,9.73,,4.47,,-39.21,,46,,0.25,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,09-May-07,2,,59.2,,50.25,,241.65,,1.74,,,,,,,,,,,,12.4,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,09-May-07,1,,62.5,,55.167,,249.565,,1.128,,67.5,,272.958,<,0.714,,1.643,,,,10.9,,4.74,,-11.67,,69,,0.32,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,22-May-07,1,,61.5,,38.25,,192.174,,1.821,,27.5,,184.225,<,0.714,,13.143,,,,9.67,,5.76,,35.87,,68,,0.35,,,,,,,,,,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,22-May-07,2,,66.05,,32.66,,175.43,,1.59,,,,,,,,,,,,10.9,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,05-Jun-07,2,,132.15,,52.25,,191.52,,4.1,,,,,,,,,,,,10.8,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,05-Jun-07,1,,122.5,,53.917,,199.565,,3.179,,16.25,,194.648,<,0.714,,15.357,,,,10.2,,6.91,,117.1,,54,,0.5,,,,,,,,,,896,,4.8,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,19-Jun-07,2,,87.3,,45.58,,184.65,,1.51,,,,,,,,,,,,18.8,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,19-Jun-07,1,,81.5,,47.583,,195.652,,1.333,,18.75,,180.563,<,0.714,<,0.714,,,,15.4,,6.01,,40.96,,123,,0.41,,,,,,,,,,1210,,2.8,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,03-Jul-07,2,,19.75,,20.5,,105.13,,0.76,,,,,,,,,,,,19.5,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,03-Jul-07,1,,15.25,,22.083,,116.522,,0.256,,16.25,,96.056,<,0.714,,0.929,,,,14.1,,4.61,,-23.64,,93,,0.39,,,,,,,,,,813,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,16-Jul-07,1,,39.05,,32.5,,134.348,,0.538,,11.25,,111.268,<,0.714,,1,,,,20.2,,4.96,,1.58,,139,,0.53,,,,,,,,,,1340,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,31-Jul-07,1,,81,,44.5,,153.478,,1.179,,11.875,,118.31,<,0.714,<,0.714,,,,16.9,,5.94,,56.31,,138,,0.48,,,,,,,,,,1470,,2.78,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,14-Aug-07,1,,246.5,,87.5,,184.348,,2.923,,10.625,,155.211,<,0.714,<,0.714,,,,19.9,,5.42,,30.46,,124,,0.52,,,,,,,,,,1920,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,28-Aug-07,1,,75.5,,47.25,,142.609,,1.308,,11.25,,116.901,<,0.714,,1.214,,,,21.4,,6.37,,170.26,,160,,0.49,,,,,,,,,,1690,,9.2,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,10-Sep-07,1,,184,,78.417,,188.261,,6.333,,13.75,,160.563,,1.857,,22.5,,,,17.7,,6.45,,176.03,,115,,1.1,,,,,,,,,,1990,,13.6,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,25-Sep-07,1,,22.5,,30,,118.696,<,0.256,,15.625,,129.577,<,0.714,,2.143,,,,13.8,,4.59,,-44,,76,,0.51,,,,,,,,,,800,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,08-Oct-07,1,,115,,52.667,,154.783,,1.282,,12.5,,153.239,<,0.714,,7.714,,,,9.7,,6.41,,80.8,,73,,0.342,,,,,,,,,,1140,,2.05,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Ddu Lower,CC11,24-Oct-07,1,,135.5,,56.833,,162.609,,1.641,,13.75,,155.493,<,0.714,,2.214,,,,10.4,,6.43,,132,,75,,0.371,,,,,,,,,,1850,,4.4,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
