"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","VARIABLE","UNIT","RESULT","TROPHIC_STATE"
"44","2016-02-10T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.546998584630755,"Oligotrophic"
"45","2016-03-16T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.487053534260261,"Oligotrophic"
"46","2016-04-13T09:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.551161435350928,NA
"47","2016-05-26T10:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.465406710515361,"Oligotrophic"
"48","2016-06-21T11:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.542003163766547,"Oligotrophic"
"49","2016-07-19T08:50:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.564482557655482,"Oligotrophic"
"50","2016-08-09T08:05:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.482058113396054,"Oligotrophic"
"51","2016-09-15T10:35:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.461243859795188,"Oligotrophic"
"52","2016-10-19T08:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.447090167346599,"Oligotrophic"
"53","2016-11-09T08:05:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.521188910165681,"Oligotrophic"
"54","2016-12-14T08:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.514528349013404,"Oligotrophic"
"55","2017-01-18T08:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.517858629589543,"Mesotrophic"
"56","2017-02-15T09:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.508700358005162,"Oligotrophic"
"57","2017-03-15T09:10:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.602780784281076,"Mesotrophic"
"58","2017-04-19T08:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.611939055865457,"Mesotrophic"
"59","2017-06-01T07:35:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.486220964116227,NA
"60","2017-07-11T09:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.471234701523603,NA
"61","2017-09-20T08:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.467904420947465,NA
"62","2017-10-31T07:55:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.579468820248106,NA
"63","2017-11-29T08:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.54783115477479,NA
"64","2017-12-13T08:20:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.527016901173924,NA
"65","2018-01-17T08:40:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.566147697943552,NA
