"","DATE_COL","UNIT","SITE_ID","ECO_TYPE","LAT","LON","VARIABLE","RESULT"
"54","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TDP",0.38583976549122
"55","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"PP",1.36608133187432
"56","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOP",0.0729967123902309
"57","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"IP",0.31284305310099
"58","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOC",6.63
"59","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"NO3 as N",0.0038403
"60","2008-06-03","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"PO4 as P",0.00899888815974688
"61","2008-06-06",NA,"NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"pH",5.95
"62","2008-06-06","uS/cm","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SP_COND",9.08
"63","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"CALCIUM",932.770306127573
"64","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"MAGNESIUM",222.517378727432
"65","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SODIUM",515.753622290175
"66","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"POTASSIUM",260.986650299217
"67","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"CHLORIDE",109.990691901955
"68","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SULFATE",1346.97756439618
"69","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TN",28.9931443506125
