"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"55",38.6718,-75.18588,"LAGOS_142394","Lake",2010-01-19,"secchi_m",0.6,"m"
"56",38.6718,-75.18588,"LAGOS_142394","Lake",2010-01-19,"tss",3,"mg/L"
"57",38.59432,-75.29099,"LAGOS_142130","Lake",2010-07-26,"DOC",3.9,"mg/L"
"58",38.59432,-75.29099,"LAGOS_142130","Lake",2010-07-26,"turb_ntu",3,"ntu"
"59",38.59432,-75.29099,"LAGOS_142130","Lake",2010-07-26,"secchi_m",1,"m"
"60",38.59432,-75.29099,"LAGOS_142130","Lake",2010-07-26,"tss",5,"mg/L"
"61",31.63733,-81.27427,"LAGOS_169226","Lake",2006-03-01,"DOC",8.15,"mg/L"
"62",38.6718,-75.18588,"LAGOS_142394","Lake",2012-07-30,"DOC",5.9,"mg/L"
"63",38.6718,-75.18588,"LAGOS_142394","Lake",2012-07-30,"turb_ntu",4,"ntu"
"64",38.6718,-75.18588,"LAGOS_142394","Lake",2012-07-30,"secchi_m",0.7,"m"
"65",38.6718,-75.18588,"LAGOS_142394","Lake",2012-07-30,"tss",7,"mg/L"
"66",36.303,-91.535,"LAGOS_43619","Lake",2015-09-29,"DOC",4.02,"mg/L"
"67",36.303,-91.535,"LAGOS_43619","Lake",2015-09-29,"turb_ntu",0.94,"ntu"
"68",36.303,-91.535,"LAGOS_43619","Lake",2015-09-29,"tss",1,"mg/L"
"69",38.6718,-75.18588,"LAGOS_142394","Lake",2013-01-28,"DOC",4.7,"mg/L"
"70",38.6718,-75.18588,"LAGOS_142394","Lake",2013-01-28,"turb_ntu",1,"ntu"
"71",38.6718,-75.18588,"LAGOS_142394","Lake",2013-01-28,"secchi_m",0.8,"m"
"72",38.59432,-75.29099,"LAGOS_142130","Lake",2013-11-18,"DOC",3.5,"mg/L"
"73",38.59432,-75.29099,"LAGOS_142130","Lake",2013-11-18,"turb_ntu",2,"ntu"
"74",38.59432,-75.29099,"LAGOS_142130","Lake",2013-11-18,"secchi_m",1.2,"m"
"75",38.59432,-75.29099,"LAGOS_142130","Lake",2013-11-18,"tss",2,"mg/L"
"76",38.59432,-75.29099,"LAGOS_142130","Lake",2013-06-11,"DOC",10,"mg/L"
"77",38.59432,-75.29099,"LAGOS_142130","Lake",2013-06-11,"turb_ntu",3,"ntu"
"78",38.59432,-75.29099,"LAGOS_142130","Lake",2013-06-11,"secchi_m",1,"m"
"79",38.59432,-75.29099,"LAGOS_142130","Lake",2013-06-11,"tss",4,"mg/L"
"80",38.59432,-75.29099,"LAGOS_142130","Lake",2012-12-11,"DOC",4.3,"mg/L"
"81",38.59432,-75.29099,"LAGOS_142130","Lake",2012-12-11,"turb_ntu",3,"ntu"
"82",38.59432,-75.29099,"LAGOS_142130","Lake",2012-12-11,"secchi_m",1.8,"m"
"83",38.59432,-75.29099,"LAGOS_142130","Lake",2012-12-11,"tss",3,"mg/L"
"84",38.59432,-75.29099,"LAGOS_142130","Lake",2002-09-16,"DOC",5.5,"mg/L"
"85",38.59432,-75.29099,"LAGOS_142130","Lake",2002-09-16,"turb_ntu",4,"ntu"
"86",38.59432,-75.29099,"LAGOS_142130","Lake",2002-09-16,"secchi_m",1.3208,"m"
"87",38.59432,-75.29099,"LAGOS_142130","Lake",2002-09-16,"tss",6,"mg/L"
