"LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-04-22","pH",6.78,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2015-04-22","SULFATE",4.8,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-04-22","TEMP",18.68,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","CALCIUM",8,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","CHLORIDE",14,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","SP_COND",133,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","DO",8.37,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","MAGNESIUM",3.37,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","pH",7,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","SULFATE",4.1,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-26","TEMP",21.95,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","CALCIUM",5.71,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","CHLORIDE",20,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","SP_COND",166,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","DO",10.82,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","MAGNESIUM",3.31,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","pH",7.08,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","SULFATE",7.5,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2015-12-07","TEMP",9.35,"degc"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","CALCIUM",7.87,"mgl"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","CHLORIDE",5.22,"mgl"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","SP_COND",84,"uS/cm"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","DO",2.68,"mgl"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","MAGNESIUM",2.22,"mgl"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","pH",7.62,NA
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","SULFATE",4.85,"mgl"
33.69667,-93.96111,"LAGOS_408132","Lake","2011-07-12","TEMP",30.1,"degc"
33.21906,-88.28606,"LAGOS_247437","Lake","2006-08-29","CHLORIDE",48.469,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","CALCIUM",1.54,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","CHLORIDE",2.06,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","SP_COND",23,"uS/cm"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","DO",11.2,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","MAGNESIUM",1.05,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","pH",6.6,NA
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","SULFATE",3.55,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2012-02-22","TEMP",9.56,"degc"
38.59506,-75.31243,"LAGOS_141830","Lake","2001-04-17","SP_COND",110.8,"uS/cm"
38.59506,-75.31243,"LAGOS_141830","Lake","2001-04-17","DO",9.99,"mgl"
38.59506,-75.31243,"LAGOS_141830","Lake","2001-04-17","pH",6.9,NA
38.59506,-75.31243,"LAGOS_141830","Lake","2001-04-17","TEMP",14.6,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","CALCIUM",6.64,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","CHLORIDE",16,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","SP_COND",126,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","DO",8.73,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","MAGNESIUM",2.71,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","pH",6.93,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","SULFATE",9.6,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2015-10-05","TEMP",17.09,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","CALCIUM",8.81,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","CHLORIDE",16,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","SP_COND",152,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","DO",11.78,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","MAGNESIUM",3.65,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","pH",6.52,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","SULFATE",3.9,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-11-28","TEMP",8.62,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","CALCIUM",8.63,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","CHLORIDE",18,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","SP_COND",169,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","DO",7.44,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","MAGNESIUM",3.92,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","pH",7.42,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","SULFATE",3.6,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-20","TEMP",24.06,"degc"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","CALCIUM",5.04,"mgl"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","CHLORIDE",4.69,"mgl"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","SP_COND",72,"uS/cm"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","DO",5.6,"mgl"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","MAGNESIUM",2.19,"mgl"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","pH",6.5,NA
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","SULFATE",2.69,"mgl"
36.15083,-78.83,"LAGOS_153842","Lake","2000-09-26","TEMP",22.9,"degc"
33.31843,-85.58105,"LAGOS_237212","Lake","2015-06-16","CALCIUM",2.8,"mgl"
33.31843,-85.58105,"LAGOS_237212","Lake","2015-06-16","CHLORIDE",2.26,"mgl"
33.59443,-86.21167,"LAGOS_236199","Lake","2013-07-30","CHLORIDE",3.03,"mgl"
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","CALCIUM",71.2,"mgl"
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","CHLORIDE",73.2,"mgl"
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","SP_COND",2620,"uS/cm"
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","MAGNESIUM",62.7,"mgl"
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","pH",8.58,NA
48.99164,-102.78601,"LAGOS_310696","Lake","2005-08-28","SULFATE",902,"mgl"
