"LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","CALCIUM",6.37,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","CHLORIDE",38,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","SP_COND",341,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","DO",8.54,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","MAGNESIUM",5.84,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","pH",7.87,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","SULFATE",12,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-03-27","TEMP",13.65,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-01-19","CALCIUM",6.06,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-01-19","CHLORIDE",14,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-01-19","MAGNESIUM",2.62,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-01-19","SULFATE",5.9,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","CALCIUM",7.96,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","CHLORIDE",30,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","SP_COND",323,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","DO",4.26,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","MAGNESIUM",7.17,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","pH",7.52,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","SULFATE",12.3,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-09-26","TEMP",22.05,"degc"
38.59584,-75.30421,"LAGOS_142280","Lake","2016-01-19","CALCIUM",4.75,"mgl"
38.59584,-75.30421,"LAGOS_142280","Lake","2016-01-19","CHLORIDE",13,"mgl"
38.59584,-75.30421,"LAGOS_142280","Lake","2016-01-19","MAGNESIUM",2,"mgl"
38.59584,-75.30421,"LAGOS_142280","Lake","2016-01-19","SULFATE",5.5,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-08-22","CALCIUM",8.09,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-08-22","CHLORIDE",13,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-08-22","SP_COND",130,"uS/cm"
