"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","GREEN LAKE 4",1982,1982-03-11,"DNS","6.4","18","88.51","NP","NP","0.4","NP","114.77","24.68","21.75","10.23","25.39","NP","58.30","NP","83.20","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-04-22,"DNS","5.7","18","90.15","NP","NP","2","NP","99.8","24.68","17.4","12.79","9.59","NP","72.87","NP","44.93","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-05-06,"DNS","6","17","81.95","NP","NP","1","NP","99.8","16.45","26.1","12.79","16.93","NP","85.36","NP","39.94","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-05-27,"DNS","6.3","17","99.98","NP","NP","0.5","NP","139.72","25.5","23.93","8.95","24.54","NP","108.26","NP","34.94","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-06-03,"DNS","6.2","19","90.15","NP","NP","0.63","NP","149.7","27.97","24.36","13.55","31.88","NP","99.94","NP","34.94","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-06-10,"DNS","6.2","18.8","90.15","NP","NP","0.63","NP","134.73","26.32","20.01","12.79","33.85","NP","89.53","NP","29.95","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-06-24,"DNS","6","14.6","78.67","NP","NP","1","NP","74.85","16.45","10.88","8.44","4.80","NP","41.64","NP","24.96","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-07-08,"DNS","5.9","9.7","78.67","NP","NP","1.26","NP","54.89","10.69","7.4","4.86","3.10","NP","37.48","NP","11.65","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-07-29,"DNS","6","9.2","78.67","NP","NP","1","NP","49.9","9.05","1.74","2.56","6.77","NP","27.07","NP","19.97","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-08-12,"DNS","6.5","9.7","78.67","NP","NP","0.32","NP","49.9","8.23","1.74","2.56","5.08","NP","29.15","NP","19.97","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-08-26,"DNS","6.6","10.8","81.95","NP","NP","0.25","NP","56.89","15.63","14.36","6.14","2.26","NP","33.94","NP","20.80","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 4",1982,1982-09-17,"DNS","6.6","12.8","86.87","NP","NP","0.25","NP","64.87","17.27","16.53","4.86","2.54","NP","40.18","NP","20.80","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
