"","DATE_COL","SITE_ID","DOC","TP","NO3 as N","UNITS","LAT","LON","ECO_TYPE"
"57",2000-02-16,"MA05KH0001",4.12,0.02,0.238,"mg/L",53.8417,-101.3344,"River/Stream"
"58",2000-02-16,"SA05KH0002",4.86,0.038,0.029,"mg/L",53.6,-102.1167,"River/Stream"
"59",2000-02-16,"SA06EA0003",5.02,0.009,0.046,"mg/L",55.6081,-102.1956,"River/Stream"
"60",2000-02-17,"NW06MA0001",3.7,0.021,0.024,"mg/L",64.7731,-97.0678,"River/Stream"
"61",2000-02-21,"BC08NB0002",0.5,0.006,0.19,"mg/L",51.3834,-117.4504,"River/Stream"
"62",2000-02-21,"BC08ND0003",0.5,0.005,0.246,"mg/L",51.2138,-117.6958,"River/Stream"
"63",2000-02-21,"NW07OB0002",33.1,0.107,0.432,"mg/L",60.0044,-116.9692,"River/Stream"
"64",2000-02-23,"BC08EF0001",1.7,0.01,0.114,"mg/L",54.6344,-128.4092,"River/Stream"
"65",2000-02-23,"YT10AA0001",0.9,0.007,0.1,"mg/L",60.0477,-128.9018,"River/Stream"
"66",2000-02-27,"YT09FB0003",0.9,0.003,0.242,"mg/L",67.58,-139.78,"River/Stream"
"67",2000-02-28,"BC08NA0033",0.5,0.002,0.158,"mg/L",51.4192,-116.4378,"River/Stream"
"68",2000-02-28,"BC08NF0001",0.5,0.004,0.114,"mg/L",50.8856,-116.0431,"River/Stream"
"69",2000-02-28,"BC08NK0003",0.5,0.007,0.358,"mg/L",49.1797,-115.167,"River/Stream"
"70",2000-03-06,"BC08EF0001",1.8,0.011,0.11,"mg/L",54.6344,-128.4092,"River/Stream"
"71",2000-03-06,"YT08AA0010",1,0.012,0.054,"mg/L",60.7478,-137.5036,"River/Stream"
"72",2000-03-07,"AL05AK0001",1.48,0.016,0.851,"mg/L",50.7375,-110.0956,"River/Stream"
"73",2000-03-07,"AL05CK0001",3.43,0.036,0.491,"mg/L",50.9028,-110.2969,"River/Stream"
"74",2000-03-07,"MA05PF0022",9.21,0.021,0.082,"mg/L",50.3008,-95.5556,"River/Stream"
"75",2000-03-07,"SA05JM0014",1.53,0.132,0.207,"mg/L",50.4839,-101.5431,"River/Stream"
"76",2000-03-08,"AL05EF0003",1.68,0.043,0.51,"mg/L",53.6014,-110.0083,"River/Stream"
"77",2000-03-08,"AL06AD0001",11.1,0.034,0.036,"mg/L",54.3542,-110.2119,"River/Stream"
"78",2000-03-08,"MA05OB0001",11.6,0.488,2.74,"mg/L",49.0314,-98.2778,"River/Stream"
"79",2000-03-08,"MA05OC0001",13.9,0.39,3.9,"mg/L",49.0081,-97.2108,"River/Stream"
"80",2000-03-08,"SA05FE0001",8.09,0.027,0.24,"mg/L",52.9403,-109.8733,"River/Stream"
"81",2000-03-08,"SA06AF0001",6.74,0.023,0.011,"mg/L",54.5667,-109.8361,"River/Stream"
"82",2000-03-09,"BC08MH0027",4.5,0.136,3.26,"mg/L",49.0024,-122.2323,"River/Stream"
"83",2000-03-12,"YT09FB0003",1.2,0.002,0.238,"mg/L",67.58,-139.78,"River/Stream"
"84",2000-03-13,"AL05BA0011",0.013,0.002,0.083,"mg/L",51.4433,-116.2117,"River/Stream"
"85",2000-03-13,"AL05BE0013",0.498,0.019,0.089,"mg/L",51.1228,-115.3867,"River/Stream"
"86",2000-03-13,"BC08NF0001",0.5,0.002,0.11,"mg/L",50.8856,-116.0431,"River/Stream"
"87",2000-03-13,"BC08NK0003",0.9,0.011,0.25,"mg/L",49.1797,-115.167,"River/Stream"
"88",2000-03-14,"AL05DA0001",0.294,0.002,0.109,"mg/L",52.0028,-116.4719,"River/Stream"
"89",2000-03-14,"AL07AA0015",0.3185,0.002,0.1065,"mg/L",52.6644,-117.8808,"River/Stream"
"90",2000-03-14,"AL07AA0023",0.39,0.006,0.094,"mg/L",53.0417,-118.0872,"River/Stream"
"91",2000-03-14,"SA05MD0002",15.8,0.353,0.965,"mg/L",51.5331,-101.8889,"River/Stream"
"92",2000-03-15,"MA05KH0001",4.42,0.019,0.244,"mg/L",53.8417,-101.3344,"River/Stream"
"93",2000-03-15,"SA05KH0002",11.8,0.035,0.094,"mg/L",53.6,-102.1167,"River/Stream"
"94",2000-03-15,"SA06EA0003",4.75,0.008,0.049,"mg/L",55.6081,-102.1956,"River/Stream"
"95",2000-03-19,"YT08AA0010",1.8,0.027,0.05,"mg/L",60.7478,-137.5036,"River/Stream"
"96",2000-03-20,"BC08NB0002",0.5,0.002,0.174,"mg/L",51.3834,-117.4504,"River/Stream"
"97",2000-03-20,"BC08ND0003",0.5,0.004,0.238,"mg/L",51.2138,-117.6958,"River/Stream"
"98",2000-03-21,"BC08NA0033",0.5,0.007,0.15,"mg/L",51.4192,-116.4378,"River/Stream"
"99",2000-03-21,"YT10AA0001",0.5,0.007,0.1,"mg/L",60.0477,-128.9018,"River/Stream"
"100",2000-03-23,"BC08NF0001",0.5,0.002,0.115,"mg/L",50.8856,-116.0431,"River/Stream"
"101",2000-03-26,"YT09FB0003",0.5,0.002,0.238,"mg/L",67.58,-139.78,"River/Stream"
"102",2000-03-27,"BC08EF0001",2.5,0.017,0.105,"mg/L",54.6344,-128.4092,"River/Stream"
"103",2000-03-27,"BC08NA0033",0.5,0.002,0.161,"mg/L",51.4192,-116.4378,"River/Stream"
"104",2000-03-28,"BC08NK0003",0.5,0.013,0.218,"mg/L",49.1797,-115.167,"River/Stream"
"105",2000-03-29,"PE01CD0050",5.5,0.0238,0.207,"mg/L",46.4531,-62.3825,"River/Stream"
"106",2000-03-30,"PE01CA0001",9,0.0286,0.544,"mg/L",46.7442,-64.1817,"River/Stream"
"107",2000-03-30,"PE01CB0143",3.7,0.0881,4.2,"mg/L",46.3933,-63.6586,"River/Stream"
"108",2000-04-03,"BC08EF0001",6.6,0.102,0.254,"mg/L",54.6344,-128.4092,"River/Stream"
"109",2000-04-04,"BC08NB0002",0.5,0.005,0.228,"mg/L",51.3834,-117.4504,"River/Stream"
"110",2000-04-04,"BC08ND0003",0.5,0.003,0.313,"mg/L",51.2138,-117.6958,"River/Stream"
"111",2000-04-04,"MA05PF0022",9.7,0.019,0.082,"mg/L",50.3008,-95.5556,"River/Stream"
"112",2000-04-04,"YT08AA0010",1.2,0.016,0.05,"mg/L",60.7478,-137.5036,"River/Stream"
"113",2000-04-05,"MA05OC0001",11.4,0.385,2.82,"mg/L",49.0081,-97.2108,"River/Stream"
"114",2000-04-05,"NW10LA0003",4.7,0.011,0.157,"mg/L",67.4561,-133.7369,"River/Stream"
"115",2000-04-07,"YT10AA0001",0.5,0.007,0.096,"mg/L",60.0477,-128.9018,"River/Stream"
"116",2000-04-09,"NW07OB0002",34.6,0.069,0.435,"mg/L",60.0044,-116.9692,"River/Stream"
"117",2000-04-10,"BC08NA0033",0.5,0.002,0.175,"mg/L",51.4192,-116.4378,"River/Stream"
"118",2000-04-10,"BC08NF0001",0.5,0.002,0.109,"mg/L",50.8856,-116.0431,"River/Stream"
"119",2000-04-10,"BC08NK0003",0.5,0.019,0.301,"mg/L",49.1797,-115.167,"River/Stream"
"120",2000-04-10,"NW07RD0001",2.8,0.009,0.019,"mg/L",62.8889,-108.4719,"River/Stream"
"121",2000-04-11,"AL05DA0001",0.47,0.002,0.098,"mg/L",52.0028,-116.4719,"River/Stream"
"122",2000-04-11,"AL07AA0015",0.48,0.002,0.0965,"mg/L",52.6644,-117.8808,"River/Stream"
"123",2000-04-11,"AL07AA0023",0.544,0.006,0.066,"mg/L",53.0417,-118.0872,"River/Stream"
"124",2000-04-12,"AL05BA0011",0.557,0.002,0.078,"mg/L",51.4433,-116.2117,"River/Stream"
"125",2000-04-12,"AL05BE0013",0.669,0.016,0.039,"mg/L",51.1228,-115.3867,"River/Stream"
"126",2000-04-12,"MA05OB0001",8.88,0.137,0.01,"mg/L",49.0314,-98.2778,"River/Stream"
"127",2000-04-13,"US05NF0001",10,0.182,0.01,"mg/L",48.9997,-100.9,"River/Stream"
"128",2000-04-17,"AL07KC0001",2.56,0.156,0.112,"mg/L",59.1139,-112.4264,"River/Stream"
"129",2000-04-17,"BC08NB0002",0.5,0.007,0.24,"mg/L",51.3834,-117.4504,"River/Stream"
"130",2000-04-17,"BC08ND0003",0.7,0.006,0.347,"mg/L",51.2138,-117.6958,"River/Stream"
"131",2000-04-17,"YT09FB0003",1,0.002,0.227,"mg/L",67.58,-139.78,"River/Stream"
"132",2000-04-18,"SA05MD0002",11.6,0.111,0.01,"mg/L",51.5331,-101.8889,"River/Stream"
"133",2000-04-18,"YT08AA0010",1.9,0.017,0.023,"mg/L",60.7478,-137.5036,"River/Stream"
