"","SITE_ID","LAT","LON","ECO_TYPE"
"107","BC08HB0018",49.8128,-125.2028,"River/Stream"
"108","AK08DC0001",56.0217,-130.0714,"River/Stream"
"109","BC08MC0001",52.5296,-122.4423,"River/Stream"
"110","BC07FD0005",56.1261,-120.0564,"River/Stream"
"111","BC08CG0001",56.7389,-131.6731,"River/Stream"
"112","BC08LC0005",50.6848,-119.07,"River/Stream"
"113","BC08HA0018",48.7726,-123.6633,"River/Stream"
"114","BC08KH0013",52.84196,-122.22484,"River/Stream"
"115","BC08KH0014",52.6155,-121.57268,"River/Stream"
"116","BC10DA0002",59.98889,-122.95639,"River/Stream"
"117","BC07FB0005",55.55262,-121.20351,"River/Stream"
"118","QU02OB9004",45.8744,-73.2806,"River/Stream"
"119","QU02NG3020",46.6776,-72.8652,"River/Stream"
"120","QU02NG3013",46.382,-72.6105,"River/Stream"
"121","QU02OD9009",46.3116,-72.546,"River/Stream"
"122","QU02LB9001",45.5676,-74.3799,"River/Stream"
"123","QU02OJ0052",46.034,-73.1176,"River/Stream"
"124","QU02PH9024",46.8071,-71.19,"River/Stream"
"125","QU02OD3004",46.2454,-72.6512,"River/Stream"
"126","QU02OF3004",46.0664,-72.8122,"River/Stream"
"127","QU02OG3007",46.0051,-72.9101,"River/Stream"
